model,corpus,partition,side,band,policy,tiles,mean_kappa,absolute_ppl,delta_nll,ci95_low,ci95_high,relative_ppl_change
llama8b,c4,1,selected,1,boundary_part01_selected_band01,370,4.907760604958536,9.792521864425172,-0.0033485537985924615,-0.005009209708133595,-0.0017995997667447565,-0.0033429536448706405
llama8b,c4,1,selected,2,boundary_part01_selected_band02,370,3.7139336007839474,9.81107665512349,-0.001455554794289879,-0.0029041681402486364,-5.342790119712309e-05,-0.00145449598818936
llama8b,c4,1,selected,3,boundary_part01_selected_band03,370,3.2867774033121178,9.804249637244785,-0.0021516449895378344,-0.004480187944084187,-0.0003375735563645804,-0.002149331860765401
llama8b,c4,1,selected,4,boundary_part01_selected_band04,370,3.077384410769794,9.816634193534114,-0.0008892596616550489,-0.002289179305211358,0.00040770415142483556,-0.0008888643874579406
llama8b,c4,1,rejected,1,boundary_part01_rejected_band01,370,2.9330964700669164,9.809544791966928,-0.0016117030757072884,-0.003292911748506471,-0.00013177313510293507,-0.001610404979780553
llama8b,c4,1,rejected,2,boundary_part01_rejected_band02,370,2.8414831118133663,9.819830575353086,-0.000563703927992982,-0.0020212495406528577,0.0008349809519170831,-0.000563545076783517
llama8b,c4,1,rejected,3,boundary_part01_rejected_band03,370,2.7688399137671325,9.816937894059834,-0.0008583228026475561,-0.002135513716256825,0.00038053319472477077,-0.0008579545489984874
llama8b,c4,1,rejected,4,boundary_part01_rejected_band04,370,2.7100122849603974,9.818672909352948,-0.0006816015063264236,-0.0018445019143612919,0.0004284162785668345,-0.0006813692687871928
llama8b,c4,2,selected,1,boundary_part02_selected_band01,370,5.007252511080904,9.792542136006563,-0.003346483692374271,-0.0046927988334454955,-0.0020830626330758414,-0.003340890456786069
llama8b,c4,2,selected,2,boundary_part02_selected_band02,370,3.7263814925851464,9.809366387198727,-0.0016298900960337005,-0.002836689293045885,-0.00047855282330018387,-0.0016285625465223459
llama8b,c4,2,selected,3,boundary_part02_selected_band03,370,3.2994865749838054,9.814979229329872,-0.0010578616173385022,-0.002345533395892466,0.00018692957160050585,-0.0010573022789893594
llama8b,c4,2,selected,4,boundary_part02_selected_band04,370,3.0776370457413442,9.817986383837505,-0.0007515243486464399,-0.0022061332191273763,0.0005173598350651003,-0.0007512420249519416
llama8b,c4,2,rejected,1,boundary_part02_rejected_band01,370,2.9330964700669164,9.809544791966928,-0.0016117030757072884,-0.003390450816092108,-0.000160052539898347,-0.001610404979780553
llama8b,c4,2,rejected,2,boundary_part02_rejected_band02,370,2.8414831118133663,9.819830575353086,-0.000563703927992982,-0.002027750714459646,0.0008433852498139056,-0.000563545076783517
llama8b,c4,2,rejected,3,boundary_part02_rejected_band03,370,2.7688399137671325,9.816937894059834,-0.0008583228026475561,-0.002133405163509283,0.00039953100120844687,-0.0008579545489984874
llama8b,c4,2,rejected,4,boundary_part02_rejected_band04,370,2.7100122849603974,9.818672909352948,-0.0006816015063264236,-0.0018358759686469641,0.0004214181966784145,-0.0006813692687871928
llama8b,c4,3,selected,1,boundary_part03_selected_band01,370,5.028158890247054,9.790319140291853,-0.0035735185156189537,-0.005339922990486702,-0.002018250171134854,-0.0035671410971975007
llama8b,c4,3,selected,2,boundary_part03_selected_band02,370,3.750444150842071,9.806407953422731,-0.001931528333409259,-0.0034875361218653657,-0.0005300302831321767,-0.0019296641330030142
