model,corpus,kind,pool,p,policy,absolute_ppl,delta_nll,ci95_low,ci95_high,relative_ppl_change
llama8b,c4,near_boundary,1,0.0,corruption_p000_anchor,9.776161984175948,0.0,0.0,0.0,0.0
llama8b,c4,near_boundary,1,0.1,corruption_near_pool01_p010,9.779731386854035,0.00036504624462972945,-0.0008395417315775566,0.0015671169634028394,0.00036511288211843023
llama8b,c4,near_boundary,1,0.25,corruption_near_pool01_p025,9.789702108134009,0.0013840560330658194,1.0442931313303334e-05,0.0027868678906427065,0.0013850142806556107
llama8b,c4,near_boundary,1,0.5,corruption_near_pool01_p050,9.787178829501276,0.001126274555539627,9.488522862783266e-05,0.0021194029022165253,0.0011269090409060712
llama8b,c4,near_boundary,1,0.75,corruption_near_pool01_p075,9.79854263896885,0.0022866924406873177,0.0009439671431112407,0.003567063339704111,0.0022893089158243403
llama8b,c4,near_boundary,1,1.0,corruption_near_pool01_p100,9.80143770835372,0.0025821079823980493,0.0008414638180682722,0.004114652955897581,0.0025854444943411025
llama8b,c4,near_boundary,2,0.0,corruption_p000_anchor,9.776161984175948,0.0,0.0,0.0,0.0
llama8b,c4,near_boundary,2,0.1,corruption_near_pool02_p010,9.7805804380126,0.00045185990758911843,-0.0010958985800620371,0.001928001511359092,0.0004519620116554939
llama8b,c4,near_boundary,2,0.25,corruption_near_pool02_p025,9.783310532833852,0.0007309551901237014,-0.0006508413574027146,0.002214682211884663,0.0007312224029715924
llama8b,c4,near_boundary,2,0.5,corruption_near_pool02_p050,9.783845145344646,0.0007855990555617454,-0.0005307529884066332,0.00196990026767147,0.0007859077193231565
llama8b,c4,near_boundary,2,0.75,corruption_near_pool02_p075,9.788984168324788,0.0013107171175306517,-0.000324979513082939,0.0028112749261288584,0.001311576482632248
llama8b,c4,near_boundary,2,1.0,corruption_near_pool02_p100,9.801138503941923,0.0025515809324249696,0.0013307781883168763,0.0038010854806529086,0.0025548389855250668
llama8b,c4,near_boundary,3,0.0,corruption_p000_anchor,9.776161984175948,0.0,0.0,0.0,0.0
llama8b,c4,near_boundary,3,0.1,corruption_near_pool03_p010,9.777218013173497,0.00010801498244623977,-0.001265946608194626,0.0014216320727531394,0.00010802081627450127
llama8b,c4,near_boundary,3,0.25,corruption_near_pool03_p025,9.781886732066516,0.0005854109617093544,-0.0007638896308508271,0.0019411599155691017,0.000585582348148601
llama8b,c4,near_boundary,3,0.5,corruption_near_pool03_p050,9.789195201079158,0.0013322750724779687,4.776272319401081e-05,0.002568635712730164,0.001333162945165445
llama8b,c4,near_boundary,3,0.75,corruption_near_pool03_p075,9.793015716675827,0.001722477758086261,0.000382680262209846,0.0029714473797195556,0.001723962075011765
llama8b,c4,near_boundary,3,1.0,corruption_near_pool03_p100,9.809164268734536,0.003370106310001985,0.0021969466456348433,0.004586555866860377,0.0033757915030466394
llama8b,c4,near_boundary,4,0.0,corruption_p000_anchor,9.776161984175948,0.0,0.0,0.0,0.0
llama8b,c4,near_boundary,4,0.1,corruption_near_pool04_p010,9.776716643922912,5.673433131379965e-05,-0.0012858133021807188,0.0013469116314805691,5.673594073641082e-05
llama8b,c4,near_boundary,4,0.25,corruption_near_pool04_p025,9.78616811286969,0.0010229997670783842,-0.00012071503137448471,0.0022014222727996828,0.0010235232098188217
llama8b,c4,near_boundary,4,0.5,corruption_near_pool04_p050,9.802964770695759,0.0027378956782250067,0.0014379747853778984,0.004275492066640316,0.002741647137517536
llama8b,c4,near_boundary,4,0.75,corruption_near_pool04_p075,9.797236934742667,0.0021534286199541832,0.000938150485390961,0.003389095509304295,0.0021557489125940688
llama8b,c4,near_boundary,4,1.0,corruption_near_pool04_p100,9.810884133516662,0.003545423388865541,0.0021542323876129555,0.004914744061055753,0.0035517158366348933
llama8b,c4,matched_random,1,0.5,corruption_random_pool01_p050,9.798104111895807,0.00224193712323896,0.0011698750611291388,0.0033228036691290825,0.0022444521434257492
