model,domain,bin,endpoint,tiles,sum_ce_mean,mean_combined_election_margin,estimate,ci95_low,ci95_high,relative_ppl_change,p_two_sided_plus_one
llama8b,c4,1,full_context_marginal,145,-0.005339794284047683,2.1268566449123325e-05,-0.002206312253237846,-0.003840104844164539,-0.0007979283471642639,-0.002203880135357761,0.0045995400459954
llama8b,c4,1,group_only_vs_baseline,145,-0.005339794284047683,2.1268566449123325e-05,-0.0029160653527024803,-0.004458573850443779,-0.0015654352458816965,-0.00291181776388384,0.00039996000399960006
llama8b,c4,2,full_context_marginal,145,-0.001857643688725541,4.7902423386776615e-06,0.000580459245686849,-0.0006234299991509182,0.0018568020826316136,0.0005806277447555043,0.3705629437056294
llama8b,c4,2,group_only_vs_baseline,145,-0.001857643688725541,4.7902423386776615e-06,-0.0010329973503400184,-0.0023764285104698464,0.00016690735829605726,-0.0010324639922454214,0.10838916108389161
llama8b,c4,3,full_context_marginal,145,-0.0014482900429723111,2.8785825787234445e-06,-0.0008616052596704218,-0.0021190986875082355,0.0003447663736049479,-0.0008612341844397843,0.16948305169483052
llama8b,c4,3,group_only_vs_baseline,145,-0.0014482900429723111,2.8785825787234445e-06,-0.002566063611449591,-0.004230413334408935,-0.0010799323259332422,-0.002562774084533938,0.0016998300169983002
llama8b,c4,4,full_context_marginal,145,-0.0011585064977636672,1.7185902586594494e-06,-1.7364550726190304e-05,-0.0013812196797230033,0.001372869717253284,-1.7364399963251986e-05,0.9816018398160185
llama8b,c4,4,group_only_vs_baseline,145,-0.0011585064977636672,1.7185902586594494e-06,-0.00040770959478891026,-0.0015644210494562116,0.000717479294175534,-0.00040762649252631576,0.4764523547645235
llama8b,c4,5,full_context_marginal,145,-0.0008999646488621615,9.24455544726123e-07,-0.000900790551818473,-0.0021161829489531156,0.00032282087627810257,-0.0009003849618023764,0.14478552144785523
llama8b,c4,5,group_only_vs_baseline,145,-0.0008999646488621615,9.24455544726123e-07,-0.0010886448931993213,-0.0024805818890731783,0.00023650915651364122,-0.0010880525343232314,0.12068793120687932
llama8b,c4,6,full_context_marginal,145,-0.000744170983857595,5.433969837994894e-07,-0.0005811340683528292,-0.0018127149678156878,0.0006217070642921238,-0.0005809652426551676,0.35196480351964804
llama8b,c4,6,group_only_vs_baseline,145,-0.000744170983857595,5.433969837994894e-07,-0.0006415926205075559,-0.001906887387196919,0.0005425415532923512,-0.0006413868439727993,0.30156984301569845
llama8b,c4,7,full_context_marginal,145,-0.0007852466456881313,2.584642508495035e-07,-0.0005738338878710355,-0.0018904695451352838,0.000742594797122269,-0.0005736692766935971,0.3772622737726227
llama8b,c4,7,group_only_vs_baseline,145,-0.0007852466456881313,2.584642508495035e-07,-0.0008496405163358128,-0.002169854997637234,0.00045067826700529866,-0.0008492796740349614,0.20037996200379962
llama8b,c4,8,full_context_marginal,145,-0.0005659708103466499,7.635727524505679e-08,0.0007835663768535493,-0.00032699143781477196,0.0019620162755124636,0.0007838734451845863,0.17628237176282371
llama8b,c4,8,group_only_vs_baseline,145,-0.0005659708103466499,7.635727524505679e-08,-0.0014929212301236232,-0.00350192772740701,0.00024804846559262425,-0.0014918073775909307,0.11848815118488151
llama8b,wiki,1,full_context_marginal,145,-0.005339794284047683,2.1268566449123325e-05,-0.0013278019913969073,-0.002689367992275991,4.3393694959568614e-05,-0.0013269208523685962,0.055594440555944404
llama8b,wiki,1,group_only_vs_baseline,145,-0.005339794284047683,2.1268566449123325e-05,-0.0032288387629288468,-0.0045427112036040005,-0.0019332020536360756,-0.0032236316688470427,9.999000099990002e-05
llama8b,wiki,2,full_context_marginal,145,-0.001857643688725541,4.7902423386776615e-06,-0.0002065302087166263,-0.0015567369570854681,0.0011108205881010956,-0.0002065088828212425,0.7507249275072493
llama8b,wiki,2,group_only_vs_baseline,145,-0.001857643688725541,4.7902423386776615e-06,-0.0009255684453964032,-0.0026288893067591412,0.0007711731372421743,-0.0009251402390444649,0.28917108289171084
llama8b,wiki,3,full_context_marginal,145,-0.0014482900429723111,2.8785825787234445e-06,-0.0003207404058969342,-0.0019368875906620394,0.0012940336754555383,-0.00032068897419183567,0.7017298270172982
