model,domain,row_type,name,selected_tiles,absolute_ppl,estimate,ci95_low,ci95_high,relative_ppl_change,p_two_sided_plus_one,holm_adjusted_p
llama8b,c4,policy,four_over_six,0,9.825367612898917,0.0,0.0,0.0,0.0,1.0,
llama8b,c4,policy,ce_natural,11372,9.76808046509464,-0.005847598729721014,-0.008413220191818206,-0.0037306899744080535,-0.005830534801472574,9.999000099990002e-05,
llama8b,c4,policy,kl_natural,17091,9.998811300810662,0.017498642883024773,0.013856170044560866,0.020742452078122465,0.017652641076150607,9.999000099990002e-05,
llama8b,c4,policy,conjunction,1781,9.776161984175948,-0.005020601258433207,-0.006669680119192029,-0.003510170478502857,-0.005008019105399708,9.999000099990002e-05,
llama8b,c4,policy,ce_matched_k,1781,9.782387390076028,-0.00438400945490192,-0.005712697069378206,-0.0031143950261417193,-0.004374413713180502,9.999000099990002e-05,
llama8b,c4,policy,kl_matched_k,1781,9.770362806745919,-0.005613972986881449,-0.007299264316427038,-0.004076685585786938,-0.005598244088168484,9.999000099990002e-05,
llama8b,c4,policy,random_matched_k,1781,9.801884950043357,-0.0023928641041339725,-0.003981575030195513,-0.0009575540207633587,-0.002390003486967832,0.0022997700229977,
llama8b,c4,contrast,ce_matched_k_minus_conjunction,,,0.0006365918035312869,-0.0006141502180914615,0.0018891624225558148,0.0006367944710966707,0.3127687231276872,0.9383061693830617
llama8b,c4,contrast,kl_matched_k_minus_conjunction,,,-0.0005933717284482428,-0.0017980507780468928,0.0005647516052709278,-0.00059319571825906,0.31826817318268175,0.9383061693830617
llama8b,c4,contrast,ce_matched_k_minus_kl_matched_k,,,0.0012299635319795296,-3.0456993726051707e-05,0.0025549806618044937,0.0012307202473368255,0.06579342065793421,0.32896710328967105
llama8b,c4,contrast,ce_matched_k_minus_random,,,-0.0019911453507679474,-0.0030303185411510317,-0.00093158148733603,-0.0019891643359116512,0.00029997000299970003,0.0023997600239976003
llama8b,c4,contrast,kl_matched_k_minus_random,,,-0.0032211088827474765,-0.0044686108437218194,-0.0019467048288728248,-0.003215926677172929,9.999000099990002e-05,0.0023997600239976003
llama8b,c4,contrast,conjunction_minus_random,,,-0.0026277371542992338,-0.003979795287741686,-0.0013018493515019511,-0.0026242876751262335,9.999000099990002e-05,0.0023997600239976003
llama8b,wiki,policy,four_over_six,0,6.8754007343996815,0.0,0.0,0.0,0.0,1.0,
llama8b,wiki,policy,ce_natural,11372,6.836235788788159,-0.005712673619430611,-0.0072417679657599985,-0.004142826044351034,-0.005696387327005429,9.999000099990002e-05,
llama8b,wiki,policy,kl_natural,17091,7.022847745530635,0.0212188670418654,0.01884914708090538,0.023652142375676803,0.02144558794853151,9.999000099990002e-05,
llama8b,wiki,policy,conjunction,1781,6.843237338969587,-0.004689015657249762,-0.006380236354420858,-0.0031367838272853407,-0.00467803938600366,9.999000099990002e-05,
llama8b,wiki,policy,ce_matched_k,1781,6.835168303848352,-0.005868836795464697,-0.007559585495115157,-0.0042078667329666026,-0.005851648813723639,9.999000099990002e-05,
llama8b,wiki,policy,kl_matched_k,1781,6.830714946157718,-0.006520585060366849,-0.008199830938650928,-0.004783254607205294,-0.0064993721774473075,9.999000099990002e-05,
llama8b,wiki,policy,random_matched_k,1781,6.861275285391884,-0.002056604373025019,-0.003944796732876989,-0.0002562628850796074,-0.0020544910112827103,0.030796920307969204,
llama8b,wiki,contrast,ce_matched_k_minus_conjunction,,,-0.0011798211382149353,-0.002895938855849984,0.0004207919971544882,-0.0011791254228892935,0.15928407159284072,0.6371362863713629
llama8b,wiki,contrast,kl_matched_k_minus_conjunction,,,-0.001831569403117087,-0.003195532012990203,-0.0003081453315801203,-0.0018298931034537805,0.015798420157984203,0.09479052094790522
llama8b,wiki,contrast,ce_matched_k_minus_kl_matched_k,,,0.0006517482649021515,-0.0013925867340313306,0.002501139513835423,0.0006519606989512206,0.5161483851614839,0.9383061693830617
llama8b,wiki,contrast,ce_matched_k_minus_random,,,-0.0038122324224396788,-0.005380316113161099,-0.0021583134101072726,-0.0038049750895605863,9.999000099990002e-05,0.0023997600239976003
llama8b,wiki,contrast,kl_matched_k_minus_random,,,-0.00446398068734183,-0.006091947269360269,-0.002860306275207107,-0.0044540319347384835,9.999000099990002e-05,0.0023997600239976003
llama8b,wiki,contrast,conjunction_minus_random,,,-0.0026324112842247434,-0.004164425168492232,-0.0009959567836913359,-0.0026289495278951267,0.0010998900109989002,0.007699230076992301
qwen4b,c4,policy,four_over_six,0,17.302404123934327,0.0,0.0,0.0,0.0,1.0,
qwen4b,c4,policy,ce_natural,67068,15.548383729268425,-0.1068887655670513,-0.11507455737595289,-0.09838621339970155,-0.10137437445698984,9.999000099990002e-05,
qwen4b,c4,policy,kl_natural,11179,16.32226547065539,-0.05831530304431021,-0.06137797791562533,-0.05530204920938315,-0.05664754136236487,9.999000099990002e-05,
qwen4b,c4,policy,conjunction,4077,16.048517959734426,-0.07522895219499551,-0.07833565973015078,-0.07204167400056488,-0.0724688982651476,9.999000099990002e-05,
qwen4b,c4,policy,ce_matched_k,4077,15.162506320356327,-0.1320197674387706,-0.13769675016248256,-0.1261957137819776,-0.1236763277663744,9.999000099990002e-05,
qwen4b,c4,policy,kl_matched_k,4077,16.409961188748255,-0.05295691854856535,-0.05584134717800465,-0.05006848112798385,-0.05157912905013774,9.999000099990002e-05,
qwen4b,c4,policy,random_matched_k,4077,16.740159291999877,-0.033034877882976404,-0.035049248974643475,-0.031086803620480902,-0.03249518551914211,9.999000099990002e-05,
qwen4b,c4,contrast,ce_matched_k_minus_conjunction,,,-0.05679081524377513,-0.05995297932873317,-0.05359516635576773,-0.055208315285006124,9.999000099990002e-05,0.0023997600239976003
qwen4b,c4,contrast,kl_matched_k_minus_conjunction,,,0.022272033646430156,0.0208449527310828,0.023710656720509673,0.022521907002296396,9.999000099990002e-05,0.0023997600239976003
qwen4b,c4,contrast,ce_matched_k_minus_kl_matched_k,,,-0.07906284889020529,-0.08293354074960618,-0.07502883751791627,-0.07601814861373718,9.999000099990002e-05,0.0023997600239976003
qwen4b,c4,contrast,ce_matched_k_minus_random,,,-0.09898488955579425,-0.10319588917243903,-0.09441080230942478,-0.09424360569839454,9.999000099990002e-05,0.0023997600239976003
qwen4b,c4,contrast,kl_matched_k_minus_random,,,-0.019922040665588947,-0.021803852330879468,-0.01812503261412246,-0.01972490807834963,9.999000099990002e-05,0.0023997600239976003
qwen4b,c4,contrast,conjunction_minus_random,,,-0.0421940743120191,-0.04422132518057818,-0.04018893486650256,-0.041316293363826334,9.999000099990002e-05,0.0023997600239976003
qwen4b,wiki,policy,four_over_six,0,14.206212593958501,0.0,0.0,0.0,0.0,1.0,
qwen4b,wiki,policy,ce_natural,67068,10.991326882830734,-0.2565728789469043,-0.27103116536096694,-0.24389717709800465,-0.22630139383490466,9.999000099990002e-05,
qwen4b,wiki,policy,kl_natural,11179,12.29763062555955,-0.14427276379179504,-0.15353156514373512,-0.13600267059086696,-0.13434840255809144,9.999000099990002e-05,
qwen4b,wiki,policy,conjunction,4077,12.19677329401866,-0.15250794288560476,-0.16193293610329884,-0.1440810102386573,-0.14144792545160206,9.999000099990002e-05,
qwen4b,wiki,policy,ce_matched_k,4077,11.10477652353531,-0.24630404235198983,-0.2587534518082635,-0.23548641196027467,-0.2183154764093946,9.999000099990002e-05,
qwen4b,wiki,policy,kl_matched_k,4077,12.490220002072936,-0.12873343730629838,-0.13709079104588562,-0.12133009802479337,-0.1207917015556506,9.999000099990002e-05,
qwen4b,wiki,policy,random_matched_k,4077,13.282396711967154,-0.06723977248258546,-0.07291548341220011,-0.06189752774828434,-0.06502900585791797,9.999000099990002e-05,
qwen4b,wiki,contrast,ce_matched_k_minus_conjunction,,,-0.09379609946638505,-0.09823909452631364,-0.08954101627791129,-0.08953161169428796,9.999000099990002e-05,0.0023997600239976003
