artifact_id,model,draw,campaign,kind,path,sha256,bytes,source_commit,available,schema_verified,reuse_decision,sealed_member
llama8b/seed0/sequence_manifest,llama8b,seed0,mixfp4_n16k64_full_validation_20260911T065444Z,sequence_manifest,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_seed0_attempt1/calibration/calibration_manifest.json,66c7956bfb6b9948bb2b546852953e5fcea6821b4338027e9f6c1050a023a951,24947,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/seed0/calibration_report,llama8b,seed0,mixfp4_n16k64_full_validation_20260911T065444Z,calibration_report,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_seed0_attempt1/calibration/calibration_report.json,6c980b96370d16cbad663dd1e2782ebf8936c382cfc19eeb6dd3bf6d3e7c5e74,293907,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/seed0/moments,llama8b,seed0,mixfp4_n16k64_full_validation_20260911T065444Z,moments,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_seed0_attempt1/calibration/moments/moments_full.pt,e28c87a08db30cbd799a1886fe8b8fb2c821ed2c7adf8a6ffdab1735dd8095c6,818561333,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/seed0/ce_kl_map,llama8b,seed0,mixfp4_n16k64_full_validation_20260911T065444Z,ce_kl_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_seed0_attempt1/maps/llama8b_seed0_n16_k3.mixfp4map,0920f55ddc053a5f5a8b0d046d0b74a62d4abafcad5e36051d7682da961e1f2b,879366,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/seed0/ce_only_map,llama8b,seed0,mixfp4_n16k64_full_validation_20260911T065444Z,ce_only_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_seed0_attempt1/maps/llama8b_seed0_n16_k3_ce_only.mixfp4map,ab93e5a418dec168d069120a0c2adaa79ac94c872970a7d61c22391ff1fd610e,879537,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/seed0/kl_only_map,llama8b,seed0,mixfp4_n16k64_full_validation_20260911T065444Z,kl_only_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_seed0_attempt1/maps/llama8b_seed0_n16_k3_kl_only.mixfp4map,e11e47cb048d24e230307125f35bd64c59f295eba88e5c097fc6012dee1013db,879555,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw1/sequence_manifest,llama8b,draw1,mixfp4_n16k64_full_validation_20260911T065444Z,sequence_manifest,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw1_attempt1/calibration/calibration_manifest.json,657c9eedf75680e9a668f8df1baed36cb3fcf520b37830a8badf0de85e49d17e,24778,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw1/calibration_report,llama8b,draw1,mixfp4_n16k64_full_validation_20260911T065444Z,calibration_report,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw1_attempt1/calibration/calibration_report.json,32568e668fb65baed8a85f644271949b33b68e861698072edd2f3224f689f0cb,294400,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw1/moments,llama8b,draw1,mixfp4_n16k64_full_validation_20260911T065444Z,moments,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw1_attempt1/calibration/moments/moments_full.pt,255337804b1624d8f96462b4e926864f51fd6ebeb94602e9c1509685658c6c1f,818561333,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw1/ce_kl_map,llama8b,draw1,mixfp4_n16k64_full_validation_20260911T065444Z,ce_kl_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw1_attempt1/maps/llama8b_draw1_n16_k3.mixfp4map,3a8c7592a7c12a1673510489cd07019ab25618b4733f23535a817dab759e3f0c,879415,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw1/ce_only_map,llama8b,draw1,mixfp4_n16k64_full_validation_20260911T065444Z,ce_only_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw1_attempt1/maps/llama8b_draw1_n16_k3_ce_only.mixfp4map,a90a9aad080ea7ed26cf7047f49995755e44966f38a7866e0f7ae996a32b913d,879533,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw1/kl_only_map,llama8b,draw1,mixfp4_n16k64_full_validation_20260911T065444Z,kl_only_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw1_attempt1/maps/llama8b_draw1_n16_k3_kl_only.mixfp4map,a42788c35e9b98873bb067d29dd604f7d409212f46d4910bf8c1c7d2c4b54114,879542,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw2/sequence_manifest,llama8b,draw2,mixfp4_n16k64_full_validation_20260911T065444Z,sequence_manifest,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw2_attempt1/calibration/calibration_manifest.json,c2f4103270c5577b3d2325fca368313ac4ed9101e97c8e682fddd07251ca0ab0,24774,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw2/calibration_report,llama8b,draw2,mixfp4_n16k64_full_validation_20260911T065444Z,calibration_report,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw2_attempt1/calibration/calibration_report.json,7f694b23f3a9b42b2c76cba9152e9bd70da185971b707463ea6814ed90de4f50,293979,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw2/moments,llama8b,draw2,mixfp4_n16k64_full_validation_20260911T065444Z,moments,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw2_attempt1/calibration/moments/moments_full.pt,44ba134922831a45183e05d6188845d6713a0a1c3b82c03b1b484fe71e1e0b0e,818561333,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw2/ce_kl_map,llama8b,draw2,mixfp4_n16k64_full_validation_20260911T065444Z,ce_kl_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw2_attempt1/maps/llama8b_draw2_n16_k3.mixfp4map,ee7b38651bf7f7654d8168c078af2076ac3d0c89d2d2a1981ffda89b9f8a562f,879378,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw2/ce_only_map,llama8b,draw2,mixfp4_n16k64_full_validation_20260911T065444Z,ce_only_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw2_attempt1/maps/llama8b_draw2_n16_k3_ce_only.mixfp4map,9049c4a9d052186a52858430dcf03723c359cb50e510be16e2459ed8cd98a410,879550,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw2/kl_only_map,llama8b,draw2,mixfp4_n16k64_full_validation_20260911T065444Z,kl_only_map,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw2_attempt1/maps/llama8b_draw2_n16_k3_kl_only.mixfp4map,3a7f04f9e8d924ce04c3cfdd231b23e8f1334f910e3933c3e1bc47cf6c487d77,879545,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw3/sequence_manifest,llama8b,draw3,mixfp4_n16k64_full_validation_20260911T065444Z,sequence_manifest,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw3_attempt1/calibration/calibration_manifest.json,07b4457ea910d7f2df93d00629165271b9c9bada03af181cf15a5adc41f5dd73,24789,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw3/calibration_report,llama8b,draw3,mixfp4_n16k64_full_validation_20260911T065444Z,calibration_report,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw3_attempt1/calibration/calibration_report.json,84019cdd408f4161d5cfce27d898eabf1e57ab47b981429867aa82bb327ac7a5,293351,historical per-file source manifests; not current HEAD,True,True,verified input,False
llama8b/draw3/moments,llama8b,draw3,mixfp4_n16k64_full_validation_20260911T065444Z,moments,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V30_calib_llama8b_draw3_attempt1/calibration/moments/moments_full.pt,80706af59de5f5f1daf345e597404f84dd1165306c47c7fc55402732e549434b,818561333,historical per-file source manifests; not current HEAD,True,True,verified input,False
