question,source,sha256,verification,status
individual finite effects,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527,sealed raw records and paired SE independently recomputed,bounded evidence
individual finite effects,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3,sealed raw records and paired SE independently recomputed,bounded evidence
individual finite effects,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e,sealed raw records and paired SE independently recomputed,bounded evidence
historical aggregate/composition/breadth/reorder context,research/n16k64/campaigns/mechanism/MECHANISM_VERDICT.md,5522cc29957e0ed3c28c208cb3edf8a20f458e1486c5e3ffb1bad123a4541365,source read and hashed; not re-executed,historical bounded context
historical aggregate/composition/breadth/reorder context,research/n16k64/campaigns/followup/FOLLOWUP_VERDICT.md,33994896d80b9c644ccb450bdc6b64321a24c2241b7f7567f42c382bd33e3f20,source read and hashed; not re-executed,historical bounded context
historical aggregate/composition/breadth/reorder context,research/n16k64/campaigns/boundary/BOUNDARY_CORRUPTION_VERDICT.md,fc8d5cdb8093070cd6d2c5a5540b8e16cd44a54228327eb1a9c92d69223f60cb,source read and hashed; not re-executed,historical bounded context
historical aggregate/composition/breadth/reorder context,results/task_reorder/cluster_20260919/TARGET_90_PERCENT.json,742f7b80193a7613aebeee5e6807afca52ac3c6bdc4b74c6505c70c84d18a07c,source read and hashed; not re-executed,historical bounded context
historical aggregate/composition/breadth/reorder context,research/n16k64/validation/CURRENT_EVIDENCE_AUDIT.json,dde4b18494e63c001672ae8122ff3ffb038161277151898fff68f25aa5b8553c,source read and hashed; not re-executed,historical bounded context
historical retention versus incremental recovery,results/reorder_ratio_audit.csv,3857f3f85d5b01d412b73b3ce96ecda71c1386d7a3ea8f542f0680c354ffeacc,ratios recomputed; model/config and window identities checked; supplied Llama before reference qualified,bounded historical context
map stability,results/map_pairs.csv,edf13406a1f264049e5acdaebcf9fde15a6a5c7629cfb062aa879bf713a9587c,new CPU recomputation from verified raw inputs; missing results remain explicit,interim
objective quality,results/quality_results.csv,6e8e0240e0560ca1f67d0b72c5f62134f4b72aaf901544c83e509b48d949ad07,new CPU recomputation from verified raw inputs; missing results remain explicit,interim
granularity measured,results/granularity_quality.csv,8e3917ececf35516dfbf37c686280a2959c3a2a11fe02a5a588453cf9c368903,new CPU recomputation from verified raw inputs; missing results remain explicit,interim
granularity surrogate,results/granularity_results.csv,1596f5dee0e9c0278134d769a024ba97f5bb35673bed6b86b629074b0db49afc,new CPU recomputation from verified raw inputs; missing results remain explicit,interim
GPU numerical reproduction,results/anchor_windows.csv,08894b2c2fc51ec1158112ff19d2fa6bc95efab0552556612375dd1263a6b7ae,new CPU recomputation from verified raw inputs; missing results remain explicit,interim
historical composition and budget,results/composition_existing.csv,035123df2be53c6008914235b1deb023c7e0d6cb8465210a263fbeedb6193c5f,new CPU recomputation from verified raw inputs; missing results remain explicit,interim
