run_id,task,model,draw,N,policy,corpus,map_hash,map_payload_sha256,config_hash,status,reuse_source,estimated_gpu_hours,command,output_path,blocker
llama8b/seed0/ce_natural/wiki,T2,llama8b,seed0,16,ce_natural,wiki,6bfef3f5ea8bd5f81a4a1b6efc52aaf4cdcaa21e9cf4886f50e2c239b6c246f9,0a4323ab5dab761f09c7a0ddc7d53a4315a5fbb54b4c3d8c202bae5be7b14212,bba7a9ce8fc9fef9db3b59bbde7e6f78e04e2da629cd39cd0c4f5e22c5df3677,validated_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V42_ppl_controls_llama8b_attempt1/ppl/ppl_report.json,,,,
llama8b/seed0/kl_natural/wiki,T2,llama8b,seed0,16,kl_natural,wiki,aa26bd08cd8b13e32d050d16d6e3720546ffa84243512f65d4cde5ee1f89831d,775416d26336eca06445f3fc867cd06fec4f3ee00ade9e7010038262b3e6761d,682d39de6e53d180e5aa93891897b04dae766f65a63fee58c7a15275fbf3f298,validated_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V42_ppl_controls_llama8b_attempt1/ppl/ppl_report.json,,,,
llama8b/seed0/joint/wiki,T2,llama8b,seed0,16,joint,wiki,6d6bacbb67606f69fe33d7ef1d63e71c1596f3aa0c8eaa6b97c01f98c5b85595,b3a5ea198d55e1b1e10eda9d730be30c4c6907f10407da78a2567892058e1a5b,d83b4c7244befc12c2d7ca7e3a14f45871d584719a9e9d09aab6432ea1777cf5,validated_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_llama8b_attempt1/ppl/ppl_report.json,,,,
llama8b/seed0/ce_matched/wiki,T2,llama8b,seed0,16,ce_matched,wiki,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,cf184b2e530a045b5be81a477e16ce13fbe140078c206357fe175b7660469ed0,08ee5e428f1770d9d57a3ac06b989f36a96083d62cb1db88a42ef52a9685169a,validated_reuse,research_runs/mixfp4_n16k64_followup_20260917T090438Z/runs/F21_full_llama8b_attempt2/ppl/ppl_report.json,,,,
llama8b/seed0/kl_matched/wiki,T2,llama8b,seed0,16,kl_matched,wiki,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,3e1b458bf589c1066fac1f2e078a4e47ac392026e1cbf35d089c9cc530699a6e,4334979779601e40c8948f5656ba65ee8817c9d145115ddcdc1d9ec724af8eee,validated_reuse,research_runs/mixfp4_n16k64_followup_20260917T090438Z/runs/F21_full_llama8b_attempt2/ppl/ppl_report.json,,,,
llama8b/draw1/ce_natural/wiki,T2,llama8b,draw1,16,ce_natural,wiki,90f4ba1bff3f7dbbb201868030baea7dfae0cef267ed40c4e6e99d10deccd661,23c21d8db0175044211bdac897732c33528de644ad567bbcc1017372902ee567,894d8689dd793322fdb4a39bd9c927c777ed4b8e04b20d37ed8d22ee65c578d6,validated_new,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/t2_llama_draw1_attempt1/ppl/ppl_report.json,,,,
llama8b/draw1/kl_natural/wiki,T2,llama8b,draw1,16,kl_natural,wiki,640264a1b6ab48da7fcf8fa82dcfe2ddc0630cf3afc5e23c4e548bcb9e69ec4d,c5dcf039cc211dc47eb051953c671cda27e5ff0ce93d4d4df8bf5cb47421078d,53c6964c76c2a9e23aadd64f2d211de0adace75b30e0915db9bc552f913c385f,validated_new,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/t2_llama_draw1_attempt1/ppl/ppl_report.json,,,,
llama8b/draw1/joint/wiki,T2,llama8b,draw1,16,joint,wiki,e42a0d9861e7f6d7d20ed28f931b8cb22d64b13a0c2b4fe397f916485123ef08,09dd29da4d4e2e187bc58b21597222f5ca880abff40a3e99b068ee2ed0c1f05d,ec716c8d09ce3cc8c171ead5755a344322aa2a856aba15d92a02e3845aeacaf9,validated_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V50_ppl_draws_llama8b_attempt1/ppl/ppl_report.json,,,,
llama8b/draw1/ce_matched/wiki,T2,llama8b,draw1,16,ce_matched,wiki,d15ef626a9d3c02b2dba32085615bdb7e62a067781bb83193581cac2fc998898,f59d2f94f43e4b508d2d5c8dabdc0b9e5fc07df8f9077ec86aaeb91b11368adc,7bce15f42f311ae5e1b187182dfb18972e2b2550c80a448b41ed48299a545d72,validated_new,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/t2_llama_draw1_attempt1/ppl/ppl_report.json,,,,
llama8b/draw1/kl_matched/wiki,T2,llama8b,draw1,16,kl_matched,wiki,db3685e202019254cf8218abf703e2c2ec5de8a137997048d0e4ed13e212370e,ca5eff8d57637d8e22fe3704b0ffa24804494ae7c820c5f2a90295429e316b6d,9050d4eaa0672fa3ee4ab8e35642bdecd9fa1a6f78be05c48936a51857e3cd67,validated_new,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/t2_llama_draw1_attempt1/ppl/ppl_report.json,,,,
