model,draw,policy,task,status,metric,samples,value,delta_vs_baseline,map_hash,source,source_sha256,uncertainty
llama8b,seed0,ce_matched,arc_easy,coverage_gap,,,,,,,,
llama8b,seed0,ce_matched,arc_challenge,coverage_gap,,,,,,,,
llama8b,seed0,ce_matched,hellaswag,coverage_gap,,,,,,,,
llama8b,seed0,ce_matched,openbookqa,coverage_gap,,,,,,,,
llama8b,seed0,ce_matched,boolq,coverage_gap,,,,,,,,
llama8b,seed0,ce_matched,winogrande,coverage_gap,,,,,,,,
llama8b,seed0,ce_matched,piqa,coverage_gap,,,,,,,,
llama8b,seed0,ce_matched,mmlu,coverage_gap,,,,,,,,
llama8b,seed0,kl_matched,arc_easy,coverage_gap,,,,,,,,
llama8b,seed0,kl_matched,arc_challenge,coverage_gap,,,,,,,,
llama8b,seed0,kl_matched,hellaswag,coverage_gap,,,,,,,,
llama8b,seed0,kl_matched,openbookqa,coverage_gap,,,,,,,,
llama8b,seed0,kl_matched,boolq,coverage_gap,,,,,,,,
llama8b,seed0,kl_matched,winogrande,coverage_gap,,,,,,,,
llama8b,seed0,kl_matched,piqa,coverage_gap,,,,,,,,
llama8b,seed0,kl_matched,mmlu,coverage_gap,,,,,,,,
qwen4b,seed0,ce_matched,arc_easy,validated_new,acc_norm,2376,0.7571548821548821,0.008417508417508417,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,kl_matched,arc_easy,validated_new,acc_norm,2376,0.7449494949494949,-0.003787878787878788,0b8a87d581c779c0427a85385888bb844b97ae7b9c5bee542f634c894228a3c4,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,ce_matched,arc_challenge,validated_new,acc_norm,1172,0.5238907849829352,0.033276450511945395,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,kl_matched,arc_challenge,validated_new,acc_norm,1172,0.48976109215017066,-0.0008532423208191126,0b8a87d581c779c0427a85385888bb844b97ae7b9c5bee542f634c894228a3c4,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,ce_matched,hellaswag,validated_new,acc_norm,10042,0.6721768571997611,0.010256920932085242,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,kl_matched,hellaswag,validated_new,acc_norm,10042,0.6736705835490938,0.011750647281418045,0b8a87d581c779c0427a85385888bb844b97ae7b9c5bee542f634c894228a3c4,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,ce_matched,openbookqa,validated_new,acc_norm,500,0.402,0.014,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,kl_matched,openbookqa,validated_new,acc_norm,500,0.4,0.012,0b8a87d581c779c0427a85385888bb844b97ae7b9c5bee542f634c894228a3c4,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,ce_matched,boolq,validated_new,acc,3270,0.8351681957186544,0.003669724770642202,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,kl_matched,boolq,validated_new,acc,3270,0.8366972477064221,0.005198776758409786,0b8a87d581c779c0427a85385888bb844b97ae7b9c5bee542f634c894228a3c4,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,ce_matched,winogrande,validated_new,acc,1267,0.6322020520915549,0.0031570639305445935,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,kl_matched,winogrande,validated_new,acc,1267,0.6053670086819258,-0.02367797947908445,0b8a87d581c779c0427a85385888bb844b97ae7b9c5bee542f634c894228a3c4,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,ce_matched,piqa,validated_new,acc_norm,1838,0.7475516866158868,0.017954298150163223,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,kl_matched,piqa,validated_new,acc_norm,1838,0.7459194776931447,0.01632208922742111,0b8a87d581c779c0427a85385888bb844b97ae7b9c5bee542f634c894228a3c4,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,ce_matched,mmlu,validated_new,acc,14042,0.6643640507050278,0.0027773821392963966,9ff4503c8c41a1357248869ad0968811d40ca2036460c6245140889fa753c553,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
qwen4b,seed0,kl_matched,mmlu,validated_new,acc,14042,0.6642216208517305,0.0026349522859991452,0b8a87d581c779c0427a85385888bb844b97ae7b9c5bee542f634c894228a3c4,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_qwen4b_attempt2_guarded/lmeval/lmeval_report.json,68aacd9cfc4fb634a21ed752239800b0eb5a824e8be3be64617b1de07c4d7ccf,Points only; no accuracy safety or non-inferiority claim
mistral7b,seed0,ce_matched,arc_easy,validated_new,acc_norm,2376,0.7807239057239057,0.0,d0a12508e6b0cfc14ac828a735d59a193ddbae7981317a7ad7a299d82f114d54,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_mistral7b_attempt2/lmeval/lmeval_report.json,31deabfba4c11db41305dc9331ba6d0c60892f6d4bd94c793478257f9ab13ae5,Points only; no accuracy safety or non-inferiority claim
mistral7b,seed0,kl_matched,arc_easy,validated_new,acc_norm,2376,0.7874579124579124,0.006734006734006734,660cbad8c1046aa67dd3e20601bca1cececdb87a3793bb6c293d35c665555039,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_mistral7b_attempt2/lmeval/lmeval_report.json,31deabfba4c11db41305dc9331ba6d0c60892f6d4bd94c793478257f9ab13ae5,Points only; no accuracy safety or non-inferiority claim
mistral7b,seed0,ce_matched,arc_challenge,validated_new,acc_norm,1172,0.5187713310580204,-0.0017064846416382253,d0a12508e6b0cfc14ac828a735d59a193ddbae7981317a7ad7a299d82f114d54,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_mistral7b_attempt2/lmeval/lmeval_report.json,31deabfba4c11db41305dc9331ba6d0c60892f6d4bd94c793478257f9ab13ae5,Points only; no accuracy safety or non-inferiority claim
mistral7b,seed0,kl_matched,arc_challenge,validated_new,acc_norm,1172,0.5307167235494881,0.010238907849829351,660cbad8c1046aa67dd3e20601bca1cececdb87a3793bb6c293d35c665555039,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_mistral7b_attempt2/lmeval/lmeval_report.json,31deabfba4c11db41305dc9331ba6d0c60892f6d4bd94c793478257f9ab13ae5,Points only; no accuracy safety or non-inferiority claim
mistral7b,seed0,ce_matched,hellaswag,validated_new,acc_norm,10042,0.8021310495917148,-0.0020912168890659232,d0a12508e6b0cfc14ac828a735d59a193ddbae7981317a7ad7a299d82f114d54,research_runs/mixfp4_selector_characterization_20260921T133858Z/runs/secondary_accuracy_mistral7b_attempt2/lmeval/lmeval_report.json,31deabfba4c11db41305dc9331ba6d0c60892f6d4bd94c793478257f9ab13ae5,Points only; no accuracy safety or non-inferiority claim
