model,draw,policy,task,metric,samples,value,status,delta_vs_baseline,uncertainty
llama8b,seed0,baseline,arc_easy,acc_norm,2376,0.803030303030303,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,joint,arc_easy,acc_norm,2376,0.8026094276094277,raw_samples_verified,-0.0004208754208753218,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,baseline,arc_challenge,acc_norm,1172,0.5255972696245734,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,joint,arc_challenge,acc_norm,1172,0.53839590443686,raw_samples_verified,0.012798634812286602,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,baseline,hellaswag,acc_norm,10042,0.7814180442143,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,joint,hellaswag,acc_norm,10042,0.783011352320255,raw_samples_verified,0.001593308105955038,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,baseline,openbookqa,acc_norm,500,0.456,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,joint,openbookqa,acc_norm,500,0.436,raw_samples_verified,-0.020000000000000018,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,baseline,boolq,acc,3270,0.8137614678899082,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,joint,boolq,acc,3270,0.8058103975535168,raw_samples_verified,-0.00795107033639142,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,baseline,winogrande,acc,1267,0.7190213101815311,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,joint,winogrande,acc,1267,0.7237569060773481,raw_samples_verified,0.0047355958958169575,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,baseline,piqa,acc_norm,1838,0.7965179542981502,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,joint,piqa,acc_norm,1838,0.7965179542981502,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,baseline,mmlu,acc,14042,0.6105967810853155,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
llama8b,seed0,joint,mmlu,acc,14042,0.6110952855718559,raw_samples_verified,0.0004985044865404298,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
qwen4b,seed0,baseline,arc_easy,acc_norm,2376,0.7487373737373737,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
qwen4b,seed0,joint,arc_easy,acc_norm,2376,0.7487373737373737,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
qwen4b,seed0,baseline,arc_challenge,acc_norm,1172,0.4906143344709898,raw_samples_verified,0.0,Not newly estimated; points only. No accuracy safety/non-inferiority claim from this audit.
