model,draw_a,draw_b,document_intersection,sequence_intersection
llama8b,seed0,draw1,0,0
llama8b,seed0,draw2,0,0
llama8b,seed0,draw3,0,0
llama8b,seed0,draw4,0,0
llama8b,draw1,draw2,0,0
llama8b,draw1,draw3,0,0
llama8b,draw1,draw4,0,0
llama8b,draw2,draw3,0,0
llama8b,draw2,draw4,0,0
llama8b,draw3,draw4,0,0
qwen4b,seed0,draw1,0,0
qwen4b,seed0,draw2,0,0
qwen4b,seed0,draw3,0,0
qwen4b,seed0,draw4,0,0
qwen4b,draw1,draw2,0,0
qwen4b,draw1,draw3,0,0
qwen4b,draw1,draw4,0,0
qwen4b,draw2,draw3,0,0
qwen4b,draw2,draw4,0,0
qwen4b,draw3,draw4,0,0
mistral7b,seed0,draw1,0,0
mistral7b,seed0,draw2,0,0
mistral7b,seed0,draw3,0,0
mistral7b,seed0,draw4,0,0
mistral7b,draw1,draw2,0,0
mistral7b,draw1,draw3,0,0
mistral7b,draw1,draw4,0,0
mistral7b,draw2,draw3,0,0
mistral7b,draw2,draw4,0,0
mistral7b,draw3,draw4,0,0
