model,N,policy,draw,corpus,recipe,math_sequences,code_sequences,calibration_sequences,input_tokens,valid_shifted_target_tokens,available_replications_for_this_recipe,sampling,ppl,delta_nll,relative_ppl,selected_tiles,map_sha256,source,source_sha256,inference
qwen4b,8,n8_k3,seed0,wiki,mc128,64,64,128,65536,65408,1,full seed0,11.884062026968886,-0.17848119859119205,-0.16346021514398285,7349,0de150a6e9b2ed8a09103c440d8b58ef65f8699662f7ffbcc8439e34e9aea939,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_qwen4b_attempt1/ppl/ppl_report.json,2e7ed08e02bfb0bd9e5b0a6b816a26f3f8c76cb9bbf4c151330e827bce84ba3c,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3,seed0,c4,mc128,64,64,128,65536,65408,1,full seed0,15.848281358501882,-0.0877843957462674,-0.08404166005006004,7349,0de150a6e9b2ed8a09103c440d8b58ef65f8699662f7ffbcc8439e34e9aea939,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_qwen4b_attempt1/ppl/ppl_report.json,2e7ed08e02bfb0bd9e5b0a6b816a26f3f8c76cb9bbf4c151330e827bce84ba3c,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3,seed0,wiki,mc128,64,64,128,65536,65408,1,full seed0,12.19677329401866,-0.15250794288560376,-0.1414479254516012,4077,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_qwen4b_attempt1/ppl/ppl_report.json,2e7ed08e02bfb0bd9e5b0a6b816a26f3f8c76cb9bbf4c151330e827bce84ba3c,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3,seed0,c4,mc128,64,64,128,65536,65408,1,full seed0,16.048517959734426,-0.07522895219499759,-0.07246889826514955,4077,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V31_ppl_primary_qwen4b_attempt1/ppl/ppl_report.json,2e7ed08e02bfb0bd9e5b0a6b816a26f3f8c76cb9bbf4c151330e827bce84ba3c,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_mc32,seed0,wiki,mc32,16,16,32,16384,16352,1,nested prefixes of seed0,13.053870673029026,-0.08459468245801283,-0.08111535099928972,2064,8e4daf4c701d7c5151ae9d28cd7eccef9682014350d0421acf2831b43d68edd5,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_mc32,seed0,c4,mc32,16,16,32,16384,16352,1,nested prefixes of seed0,16.606474021643415,-0.04105283791458536,-0.040221584081962226,2064,8e4daf4c701d7c5151ae9d28cd7eccef9682014350d0421acf2831b43d68edd5,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_mc32,seed0,wiki,mc32,16,16,32,16384,16352,1,nested prefixes of seed0,13.08423283238259,-0.08227147082917785,-0.07897810582203013,1125,13ec1fb07d021e356460d81b7b85e996c7f74381a54377d5e730dc22261439a7,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_mc32,seed0,c4,mc32,16,16,32,16384,16352,1,nested prefixes of seed0,16.64638308377657,-0.038652497927653684,-0.037915022413000245,1125,13ec1fb07d021e356460d81b7b85e996c7f74381a54377d5e730dc22261439a7,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_mc64,seed0,wiki,mc64,32,32,64,32768,32704,1,nested prefixes of seed0,12.543683372213087,-0.12446215362973234,-0.11702832199290338,3599,061b25bf0c46cd3aa062133eaf19093fc0e18fd470f17e6227d97e78382cb176,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_mc64,seed0,c4,mc64,32,32,64,32768,32704,1,nested prefixes of seed0,16.274581862351084,-0.06124096280701341,-0.059403436321399,3599,061b25bf0c46cd3aa062133eaf19093fc0e18fd470f17e6227d97e78382cb176,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
