model,corpus,policy,draws_available,coverage_complete,mean,sample_sd,minimum,observed_worst,regressions
llama8b,wiki,ce_natural,5,True,-0.005586178559364541,0.00039370995191531416,-0.006208348910589745,-0.005239727869905009,0
llama8b,wiki,kl_natural,5,True,0.013030352261117529,0.005052779580143374,0.008487069813528425,0.02121886704186582,5
llama8b,wiki,joint,5,True,-0.004713305327057738,0.0005777342154024772,-0.005275976206089439,-0.00393327230814311,0
llama8b,wiki,ce_matched,5,True,-0.00497812380547713,0.000633371554968076,-0.005868836795464238,-0.004265542443957937,0
llama8b,wiki,kl_matched,5,True,-0.0052098550986799715,0.0007645519049644275,-0.006520585060366457,-0.004635938445206378,0
llama8b,c4,ce_natural,5,True,-0.005683680768207822,0.0005643727667734834,-0.006562815053107407,-0.005127420489196677,0
llama8b,c4,kl_natural,5,True,0.010613345323736745,0.004172321878755573,0.006283389572267595,0.017498642883025717,5
llama8b,c4,joint,5,True,-0.005101143870895353,0.000582235109097772,-0.00610378511320242,-0.004592724166920359,0
llama8b,c4,ce_matched,5,True,-0.004885623986886589,0.0007561055192942001,-0.005826357681117056,-0.003998125298307453,0
llama8b,c4,kl_matched,5,True,-0.005854548978513741,0.0003480582326610162,-0.0064156064554175,-0.0055202596248755675,0
qwen4b,wiki,ce_natural,5,True,-0.24943925679549128,0.009893788331611962,-0.25694367046813493,-0.23296230194391576,0
qwen4b,wiki,kl_natural,5,True,-0.1375749746217812,0.023513868234591832,-0.16927626583293343,-0.10766223761044191,0
qwen4b,wiki,joint,5,True,-0.14428339607098728,0.017708396372050055,-0.16781454357104675,-0.12467019124860457,0
qwen4b,wiki,ce_matched,5,True,-0.23735498585080003,0.010776622939170684,-0.24630404235198933,-0.220411649336,0
qwen4b,wiki,kl_matched,5,True,-0.12343260827036477,0.021370626450296373,-0.15263717404309451,-0.0978474637237916,0
qwen4b,c4,ce_natural,5,True,-0.10272477493260501,0.008276968125566527,-0.11192445489471181,-0.08973946671697641,0
qwen4b,c4,kl_natural,5,True,-0.05786368014785435,0.012708263845085476,-0.07376510085616195,-0.041803831730594876,0
qwen4b,c4,joint,5,True,-0.07403339897841707,0.00803726443374618,-0.0841342621546679,-0.06319110063879707,0
qwen4b,c4,ce_matched,5,True,-0.12842789725181464,0.004440389717723669,-0.13201976743877042,-0.12114640389916564,0
qwen4b,c4,kl_matched,5,True,-0.05396538338482006,0.011932374980733533,-0.0691214686632371,-0.03973317457534353,0
mistral7b,wiki,ce_natural,5,True,-0.0038593105299616235,0.0005916189270703296,-0.004600979250419135,-0.0031057717544458185,0
mistral7b,wiki,kl_natural,5,True,-0.005524425535921118,0.0005525312548241644,-0.006099063692158513,-0.004962196696194576,0
mistral7b,wiki,joint,5,True,-0.0037910681889036903,0.0004103335846537225,-0.004402507308076675,-0.0032843710183954045,0
mistral7b,wiki,ce_matched,5,True,-0.0038752862567561054,0.0004418024259521745,-0.0046450302737348625,-0.0035849579707813994,0
mistral7b,wiki,kl_matched,5,True,-0.0048375219569876116,0.0003788603821158748,-0.005404141928719852,-0.004359775427116075,0
mistral7b,c4,ce_natural,5,True,-0.0023907963775960718,0.00025127094072855836,-0.0026895961721642436,-0.00212066993060267,0
mistral7b,c4,kl_natural,5,True,-0.002876138261234473,0.000569346360571431,-0.0032995587930191306,-0.0019482628423421744,0
mistral7b,c4,joint,5,True,-0.0022997734564683013,0.0002572313892803364,-0.0024702055579974846,-0.0018440235724428433,0
mistral7b,c4,ce_matched,5,True,-0.0020589708405655215,8.917808627767975e-05,-0.0021889102933112525,-0.0019557614351728425,0
mistral7b,c4,kl_matched,5,True,-0.0026713228840714366,0.000348194752219624,-0.0031946029679219556,-0.002274359467535181,0
