model,N,stratum,module,tile,objective,baseline_loss_restored_exact,predicted,predicted_se,actual,actual_se,pointwise_ci_low,pointwise_ci_high,effect_over_se,sign_agreement,pointwise_resolvable,se_unit,valid_target_tokens,stratum_size,within_stratum_inclusion_probability,predictor_data,reference,precision,source,source_sha256
llama8b,16,selected,model.layers.30.mlp.down_proj,3647,ce,False,-2.1041320218406767e-06,6.162587147809309e-07,3.092671977356076e-05,0.0002517869775389919,-0.00046257575620286336,0.0005244291957499849,0.12282890908752987,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.30.mlp.down_proj,3647,kl,False,-1.0930746732196184e-06,2.755612539500628e-07,7.26994796222993e-05,8.532359947235118e-05,-9.4534775343509e-05,0.0002399337345881076,0.8520442183859968,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.30.mlp.down_proj,39705,ce,False,-2.9923146900312503e-06,9.638089607194587e-07,0.0001089462311938405,0.000249378136571732,-0.0003798349164867541,0.0005977273788744351,0.43687162271542135,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.30.mlp.down_proj,39705,kl,False,-1.1299129109021422e-06,3.726780919283216e-07,0.00015813511204250475,8.946790484919383e-05,-1.7221981461915147e-05,0.00033349220554692465,1.7675065970199666,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.24.mlp.down_proj,35791,ce,False,-2.244045335109135e-06,6.640616452376346e-07,-0.00020297762239351869,0.0006475255680553079,-0.001472127735781922,0.0010661724909948847,-0.31346657554097,True,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.24.mlp.down_proj,35791,kl,False,-1.4569648117412903e-06,4.84315561622366e-07,-0.00015952333876902543,0.00033989643538993305,-0.0008257203521332942,0.0005066736745952434,-0.46932924902851203,True,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.23.mlp.down_proj,22228,ce,False,-2.4648559293627414e-06,7.016246911311027e-07,-0.000158927112352103,0.0007243748015838198,-0.0015787017234563897,0.0012608474987521837,-0.219399007260626,True,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.23.mlp.down_proj,22228,kl,False,-1.9310321287546728e-06,5.518403183015733e-07,-0.0006215232399512772,0.0004055890626069977,-0.0014164778026609925,0.0001734313227584383,-1.5323964506249828,True,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.31.mlp.down_proj,40680,ce,False,-8.488206307610824e-06,1.4514060285240318e-06,-3.773486241698265e-06,1.5963997066547337e-05,-3.506292049213104e-05,2.7515948008734512e-05,-0.2363747766908346,True,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.31.mlp.down_proj,40680,kl,False,-7.299861316090173e-06,6.035127721259939e-07,-3.507655534954775e-06,4.665415972277204e-06,-1.2651870840618095e-05,5.6365597707085455e-06,-0.7518419698903455,True,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
