model,draw,N,module,objective,backend_status,exact_parent_SE,eligible_weights,eligible_parents,ownership_regret,sum_abs_child_mean,weighted_cancellation,unweighted_cancellation_mean,zero_score_parents,minority_sign_fraction,mean_favorable_parents,selector_gap,threshold_increment,veto_increment,total_surrogate_gap,selected_tiles,selected_weights,mean_favorable_threshold_fail,mean_favorable_threshold_fail_fraction
llama8b,seed0,8,model.layers.0.self_attn.q_proj,ce,analytical_only,True,16777216,32768,0.0,0.00569467472628697,0.0,0.0,0,0.0,16422,0.0028181167064709606,0.002794375162442221,2.374154402873946e-05,0.0028181167064709606,8,4096,16372,0.9969553038606747
llama8b,seed0,8,model.layers.0.self_attn.q_proj,kl,analytical_only,True,16777216,32768,0.0,0.0036448766167129195,0.0,0.0,0,0.0,16300,0.0018011856393266806,0.001788473584847376,1.2712054479304541e-05,0.0018011856393266806,8,4096,16246,0.9966871165644172
llama8b,seed0,8,model.layers.0.self_attn.k_proj,ce,analytical_only,True,4194304,8192,0.0,0.0036880688346067683,0.0,0.0,0,0.0,4145,0.001834355789925815,0.001797426112205694,3.6929677720121123e-05,0.001834355789925815,2,1024,4121,0.9942098914354645
llama8b,seed0,8,model.layers.0.self_attn.k_proj,kl,analytical_only,True,4194304,8192,0.0,0.002394728837906531,0.0,0.0,0,0.0,4085,0.001208529660909308,0.0011919125358700964,1.6617125039211644e-05,0.001208529660909308,2,1024,4063,0.9946144430844553
llama8b,seed0,8,model.layers.0.self_attn.v_proj,ce,analytical_only,True,4194304,8192,0.0,0.027286594647225715,0.0,0.0,0,0.0,4208,0.014419872542589363,0.014189095267372998,0.00023077727521636504,0.014419872542589363,6,3072,4184,0.9942965779467681
llama8b,seed0,8,model.layers.0.self_attn.v_proj,kl,analytical_only,True,4194304,8192,0.0,0.01968208072624797,0.0,0.0,0,0.0,4210,0.010693536818059735,0.00996335977964502,0.0007301770384147144,0.010693536818059735,6,3072,4152,0.9862232779097387
llama8b,seed0,8,model.layers.0.self_attn.o_proj,ce,analytical_only,True,16777216,32768,0.0,0.03454195734764742,0.0,0.0,0,0.0,16603,0.01753746339498069,0.017268722240956602,0.00026874115402408805,0.01753746339498069,12,6144,16522,0.9951213636089863
llama8b,seed0,8,model.layers.0.self_attn.o_proj,kl,analytical_only,True,16777216,32768,0.0,0.02292145271171178,0.0,0.0,0,0.0,16586,0.01182353610783575,0.011529154536734351,0.0002943815711013986,0.01182353610783575,12,6144,16463,0.9925841070782587
llama8b,seed0,8,model.layers.0.mlp.gate_proj,ce,analytical_only,True,58720256,114688,0.0,0.050400555738099984,0.0,0.0,0,0.0,57753,0.02541607587808728,0.025182806696759014,0.00023326918132826613,0.02541607587808728,10,5120,57606,0.9974546776790816
llama8b,seed0,8,model.layers.0.mlp.gate_proj,kl,analytical_only,True,58720256,114688,0.0,0.035114071936887335,0.0,0.0,0,0.0,58056,0.01781015875281683,0.017680588371448785,0.00012957038136804377,0.01781015875281683,10,5120,57931,0.997846906435166
llama8b,seed0,8,model.layers.0.mlp.up_proj,ce,analytical_only,True,58720256,114688,0.0,0.060698376291318065,0.0,0.0,0,0.0,57955,0.030706774098359882,0.03039321699927068,0.00031355709908920115,0.030706774098359882,19,9728,57779,0.9969631610732465
llama8b,seed0,8,model.layers.0.mlp.up_proj,kl,analytical_only,True,58720256,114688,0.0,0.042968341539964414,0.0,0.0,0,0.0,58142,0.02182050406099502,0.021619767147191007,0.0002007369138040116,0.02182050406099502,19,9728,57981,0.9972309174091019
llama8b,seed0,8,model.layers.0.mlp.down_proj,ce,analytical_only,True,58720256,114688,0.0,0.0903374179665066,0.0,0.0,0,0.0,57755,0.04551500421570373,0.04507663773378087,0.0004383664819228583,0.04551500421570373,13,6656,57595,0.9972296770842352
llama8b,seed0,8,model.layers.0.mlp.down_proj,kl,analytical_only,True,58720256,114688,0.0,0.06342433909849267,0.0,0.0,0,0.0,58033,0.03231955916299223,0.03192856941687633,0.00039098974611589954,0.03231955916299223,13,6656,57879,0.9973463374287044
llama8b,seed0,8,model.layers.1.self_attn.q_proj,ce,analytical_only,True,16777216,32768,0.0,0.01192954532555248,0.0,0.0,0,0.0,16532,0.005955217613050829,0.005860197048279994,9.502056477083548e-05,0.005955217613050829,23,11776,16453,0.9952213888216792
llama8b,seed0,8,model.layers.1.self_attn.q_proj,kl,analytical_only,True,16777216,32768,0.0,0.009550957032193509,0.0,0.0,0,0.0,16510,0.004773640891737057,0.004198483912025043,0.0005751569797120132,0.004773640891737057,23,11776,16129,0.9769230769230769
llama8b,seed0,8,model.layers.1.self_attn.k_proj,ce,analytical_only,True,4194304,8192,0.0,0.0069223619950026655,0.0,0.0,0,0.0,4056,0.003330819021736098,0.00322550042625383,0.00010531859548226774,0.003330819021736098,20,10240,3997,0.9854536489151874
llama8b,seed0,8,model.layers.1.self_attn.k_proj,kl,analytical_only,True,4194304,8192,0.0,0.005818691738614448,0.0,0.0,0,0.0,4163,0.002853939381099374,0.002548620616221964,0.0003053187648774103,0.002853939381099374,20,10240,4031,0.9682920970454
llama8b,seed0,8,model.layers.1.self_attn.v_proj,ce,analytical_only,True,4194304,8192,0.0,0.028088829816281913,0.0,0.0,0,0.0,4169,0.014079461947823169,0.013756977402234916,0.000322484545588253,0.014079461947823169,10,5120,4133,0.9913648356920125
llama8b,seed0,8,model.layers.1.self_attn.v_proj,kl,analytical_only,True,4194304,8192,0.0,0.020053841735888894,0.0,0.0,0,0.0,4177,0.010331772605945977,0.009584723488008429,0.0007470491179375482,0.010331772605945977,10,5120,4096,0.9806080919320086
llama8b,seed0,8,model.layers.1.self_attn.o_proj,ce,analytical_only,True,16777216,32768,0.0,0.032753785215361486,0.0,0.0,0,0.0,16584,0.016605415214788977,0.01623521870685729,0.000370196507931686,0.016605415214788977,38,19456,16442,0.9914375301495417
llama8b,seed0,8,model.layers.1.self_attn.o_proj,kl,analytical_only,True,16777216,32768,0.0,0.022405823714386847,0.0,0.0,0,0.0,16770,0.0114253872315489,0.011099433238068945,0.0003259539934799549,0.0114253872315489,38,19456,16600,0.9898628503279666
llama8b,seed0,8,model.layers.1.mlp.gate_proj,ce,analytical_only,True,58720256,114688,0.0,0.056652860776134434,0.0,0.0,0,0.0,57711,0.028584471552424495,0.028250746129944604,0.00033372542247989134,0.028584471552424495,24,12288,57519,0.9966730779227531
llama8b,seed0,8,model.layers.1.mlp.gate_proj,kl,analytical_only,True,58720256,114688,0.0,0.040262014373333516,0.0,0.0,0,0.0,57856,0.020283948525372228,0.020112272406371798,0.00017167611900043012,0.020283948525372228,24,12288,57708,0.997441924778761
llama8b,seed0,8,model.layers.1.mlp.up_proj,ce,analytical_only,True,58720256,114688,0.0,0.06342678662190651,0.0,0.0,0,0.0,57900,0.032121115513988996,0.03174639258141454,0.0003747229325744561,0.032121115513988996,35,17920,57689,0.9963557858376512
llama8b,seed0,8,model.layers.1.mlp.up_proj,kl,analytical_only,True,58720256,114688,0.0,0.04520465380491441,0.0,0.0,0,0.0,57720,0.022855736900063275,0.02260074593372159,0.00025499096634168383,0.022855736900063275,35,17920,57526,0.9966389466389466
llama8b,seed0,8,model.layers.1.mlp.down_proj,ce,analytical_only,True,58720256,114688,0.0,0.08884863207793486,0.0,0.0,0,0.0,57734,0.040865259511944946,0.040078492274068206,0.0007867672378767399,0.040865259511944946,51,26112,57514,0.9961894204454914
llama8b,seed0,8,model.layers.1.mlp.down_proj,kl,analytical_only,True,58720256,114688,0.0,0.0670987734085224,0.0,0.0,0,0.0,57969,0.030638764845179203,0.029058262093690515,0.0015805027514886882,0.030638764845179203,51,26112,57760,0.9963946247132088
llama8b,seed0,8,model.layers.2.self_attn.q_proj,ce,analytical_only,True,16777216,32768,0.0,0.01674531404262128,0.0,0.0,0,0.0,16637,0.008586090984299627,0.008503567180378807,8.252380392081982e-05,0.008586090984299627,5,2560,16578,0.9964536875638637
llama8b,seed0,8,model.layers.2.self_attn.q_proj,kl,analytical_only,True,16777216,32768,0.0,0.011611688274581693,0.0,0.0,0,0.0,16554,0.005920266633462813,0.005582935543543196,0.00033733108991961663,0.005920266633462813,5,2560,16421,0.9919656880512263
llama8b,seed0,8,model.layers.2.self_attn.k_proj,ce,analytical_only,True,4194304,8192,0.0,0.006839000659475184,0.0,0.0,0,0.0,4150,0.0034454105721060113,0.003424265155988704,2.114541611730747e-05,0.0034454105721060113,7,3584,4135,0.9963855421686747
llama8b,seed0,8,model.layers.2.self_attn.k_proj,kl,analytical_only,True,4194304,8192,0.0,0.004645080001298355,0.0,0.0,0,0.0,4055,0.0023167039016805183,0.0022646961850041787,5.200771667633955e-05,0.0023167039016805183,7,3584,4025,0.9926017262638718
llama8b,seed0,8,model.layers.2.self_attn.v_proj,ce,analytical_only,True,4194304,8192,0.0,0.01640154147792411,0.0,0.0,0,0.0,4115,0.00831265212170973,0.00795968680335235,0.0003529653183573789,0.00831265212170973,9,4608,4072,0.98955042527339
llama8b,seed0,8,model.layers.2.self_attn.v_proj,kl,analytical_only,True,4194304,8192,0.0,0.011457801931945191,0.0,0.0,0,0.0,4204,0.0058525939536798605,0.005494331965012464,0.00035826198866739656,0.0058525939536798605,9,4608,4138,0.9843006660323501
llama8b,seed0,8,model.layers.2.self_attn.o_proj,ce,analytical_only,True,16777216,32768,0.0,0.02439720868973619,0.0,0.0,0,0.0,16458,0.012351220204778149,0.012152588843206566,0.0001986313615715829,0.012351220204778149,23,11776,16368,0.994531534815895
llama8b,seed0,8,model.layers.2.self_attn.o_proj,kl,analytical_only,True,16777216,32768,0.0,0.016700543475144103,0.0,0.0,0,0.0,16458,0.008437527111465892,0.008274191040856943,0.00016333607060894928,0.008437527111465892,23,11776,16342,0.9929517559849314
llama8b,seed0,8,model.layers.2.mlp.gate_proj,ce,analytical_only,True,58720256,114688,0.0,0.05992995490271805,0.0,0.0,0,0.0,57453,0.030160744554395047,0.029808825525135585,0.00035191902925946206,0.030160744554395047,14,7168,57262,0.9966755434877204
llama8b,seed0,8,model.layers.2.mlp.gate_proj,kl,analytical_only,True,58720256,114688,0.0,0.042674321436968025,0.0,0.0,0,0.0,57709,0.021568548506526924,0.021426798686110166,0.00014174982041675888,0.021568548506526924,14,7168,57589,0.997920601639259
llama8b,seed0,8,model.layers.2.mlp.up_proj,ce,analytical_only,True,58720256,114688,0.0,0.06609657426341334,0.0,0.0,0,0.0,57667,0.03311382736464638,0.03274350534096335,0.000370322023683034,0.03311382736464638,9,4608,57491,0.9969479945202628
llama8b,seed0,8,model.layers.2.mlp.up_proj,kl,analytical_only,True,58720256,114688,0.0,0.047101966201072376,0.0,0.0,0,0.0,57666,0.02376678491122243,0.023582744946744325,0.00018403996447810544,0.02376678491122243,9,4608,57532,0.997676273714147
llama8b,seed0,8,model.layers.2.mlp.down_proj,ce,analytical_only,True,58720256,114688,0.0,0.07557952651541489,0.0,0.0,0,0.0,57875,0.03811675797947514,0.03770293752042855,0.0004138204590465877,0.03811675797947514,10,5120,57699,0.9969589632829373
llama8b,seed0,8,model.layers.2.mlp.down_proj,kl,analytical_only,True,58720256,114688,0.0,0.05425627872119282,0.0,0.0,0,0.0,57996,0.02753970928918341,0.02735539539411895,0.0001843138950644585,0.02753970928918341,10,5120,57881,0.9980171046279054
llama8b,seed0,8,model.layers.3.self_attn.q_proj,ce,analytical_only,True,16777216,32768,0.0,0.015580645032407789,0.0,0.0,0,0.0,16578,0.007883411133596314,0.007790193952951115,9.321718064519979e-05,0.007883411133596314,8,4096,16518,0.9963807455664133
