model,draw,N,objective,backend_status,exact_parent_SE,ownership_regret,selector_gap,threshold_increment,veto_increment,total_surrogate_gap,selected_weights,eligible_weights,weighted_cancellation,selected_weight_fraction,measured_nll_gap_vs_n8,gain_retention,retention_status
llama8b,seed0,8,ce,analytical_only,True,0.0,3.3689272417674294,3.333323924042983,0.03560331772444634,3.3689272417674294,1602560,6979321856,0.0,0.0002296154315655048,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,8,kl,analytical_only,True,0.0,2.3892875985546747,2.3437748524180533,0.04551274613662114,2.3892875985546747,1602560,6979321856,0.0,0.0002296154315655048,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,16,ce,analytical_only,True,0.958427804909455,2.414244581372463,2.387781319977311,0.026463261395152052,3.372672386281918,1823744,6979321856,0.2868326913964218,0.0002613067626953125,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,16,kl,analytical_only,True,0.6728185978743297,1.7195297299682064,1.6844948286787647,0.035034901289441776,2.3923483278425364,1823744,6979321856,0.2851143659154229,0.0002613067626953125,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,32,ce,analytical_only,False,1.6437260778541243,,,,,,6979321856,0.4919247672222158,,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,32,kl,analytical_only,False,1.1552330401619908,,,,,,6979321856,0.48954285266628916,,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,64,ce,analytical_only,False,2.1313327336573518,,,,,,6979321856,0.6378528472616524,,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,64,kl,analytical_only,False,1.5002105169934743,,,,,,6979321856,0.6357308963271785,,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,128,ce,analytical_only,False,2.482173323659564,,,,,,6979321856,0.7428503756784641,,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,128,kl,analytical_only,False,1.7479404068468967,,,,,,6979321856,0.7407091931325958,,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,256,ce,analytical_only,False,2.7297339609864566,,,,,,6979321856,0.8169388813797303,,,,Not computed by surrogate analysis; actual evaluation required
llama8b,seed0,256,kl,analytical_only,False,1.9225241398179753,,,,,,6979321856,0.8146909922125521,,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,8,ce,analytical_only,True,0.0,4.05877346059462,3.258248396549633,0.8005250640449866,4.05877346059462,3762688,3633315840,0.0,0.001035607187950938,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,8,kl,analytical_only,True,0.0,1.933288211515821,1.8971652882783598,0.03612292323746094,1.933288211515821,3762688,3633315840,0.0,0.001035607187950938,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,16,ce,analytical_only,True,1.1463250575726043,2.9418146637480147,2.3351665143720686,0.6066481493759461,4.088139721320619,4174848,3633315840,0.2742801635876384,0.0011490462662337663,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,16,kl,analytical_only,True,0.5426998333367559,1.3973178163789626,1.3686401713102188,0.02867764506874393,1.9400176497157184,4174848,3633315840,0.28323306756802424,0.0011490462662337663,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,32,ce,analytical_only,True,1.985901763966894,2.126081714551985,1.6766075241836373,0.44947419036834757,4.111983478518879,4505600,3633315840,0.475164925595566,0.001240079365079365,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,32,kl,analytical_only,True,0.9321811528082361,1.0138877524450403,0.9913117010972202,0.02257605134782002,1.9460689052532762,4505600,3633315840,0.4865019504716551,0.001240079365079365,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,64,ce,analytical_only,True,2.590954876402903,1.5393197728304076,1.2021567198197067,0.33716305301070065,4.130274649233311,4800512,3633315840,0.6199354386030839,0.0013212481962481962,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,64,kl,analytical_only,True,1.210015946364126,0.7402793018952701,0.7227532188842994,0.01752608301097071,1.9502952482593963,4800512,3633315840,0.6315029178980326,0.0013212481962481962,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,128,ce,analytical_only,True,3.03479769955652,1.1020510398618582,0.8568051169313394,0.2452459229305188,4.136848739418379,5562368,3633315840,0.7261333109583803,0.0015309343434343435,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,128,kl,analytical_only,True,1.4117551956333116,0.5407710158839428,0.5261830461154604,0.014587969768482367,1.9525262115172544,5562368,3633315840,0.7367898977521903,0.0015309343434343435,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,256,ce,analytical_only,True,3.3498861795434176,0.8031854061811133,0.6152314059463685,0.1879540002347448,4.153071585724531,6045696,3633315840,0.8015242476429454,0.0016639610389610389,,,Not computed by surrogate analysis; actual evaluation required
