model,N,intervention,actual_ce,actual_kl,pred_ce_sum,pred_kl_sum,size,source,source_sha256
llama8b,16,simultaneous selected prefix,0.00026598136173561215,-7.722149833331232e-05,-0.0009952630804530571,-0.0010340746713737303,1,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,-0.0011974625522270799,-0.0017058511611983678,-0.001766510169022073,-0.0018047439035435708,2,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,0.0002527151955291629,-0.0009091968599275681,-0.0025500937020357384,-0.002573867499162219,4,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,0.0012021223083138466,-0.0007907344526356095,-0.0030288066489678744,-0.003025230470376672,8,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,-0.0033466548775322735,-0.003359696754132016,-0.0037021588297532215,-0.003683660103961553,16,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,-0.0021701345103792846,-0.002845534247646471,-0.004810780790708513,-0.0046839565051550874,32,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,-0.002986871520988643,-0.004113648205142971,-0.005910416096075455,-0.005749811962017612,64,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,-0.004678381839767098,-0.004093400777541893,-0.007391447900468862,-0.0070700740280717905,128,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,-0.0062218778766691685,-0.0059531169064389634,-0.009036956559848985,-0.008493530158958235,256,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,-0.007656961388420314,-0.006858650414248175,-0.011039509926750624,-0.010062020199180136,512,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,simultaneous selected prefix,-0.011521604610607028,-0.00817262069157544,-0.01559097732902412,-0.013163085506339801,1781,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
qwen4b,16,simultaneous selected prefix,-0.0007734628161415458,-0.0006920863875490423,-0.0014197941644684686,-0.0014331458735351577,1,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,0.0006626964313909411,-0.001049298964552282,-0.0024208291612868305,-0.0023922829248769206,2,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.00017915270291268826,-0.0005978588205416328,-0.005255138708573415,-0.003647865880818113,4,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.0027578520821407437,-0.000740143807617603,-0.010146754894618915,-0.004633130846362632,8,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.006867592688649893,-0.002222411643294372,-0.011906279619321114,-0.0053980189353394215,16,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.011524992994964123,-0.003108855719284335,-0.018676930583935603,-0.006886855354476473,32,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.017253148136660457,-0.0027134819425133298,-0.026660814483012052,-0.008593941911557434,64,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.02591584750916809,-0.003340990428282609,-0.036743553242708116,-0.010994151083071169,128,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.03321390284691006,-0.005823169962163914,-0.049145142714092926,-0.01374971090858132,256,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.04509283823426813,-0.003871415965666572,-0.06521181342358733,-0.016942320436389418,512,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.07705201429780573,-0.0046665526131246015,-0.11601683374700564,-0.03082814844706043,4077,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
