model,module,U,draws,all_empty,source_sha256,interpretation,K_mean,K_sample_sd,K_min,K_max,K_range,density_mean,density_sample_sd,density_min,density_max,density_range,density_ratio_denominator_zero
llama8b,ALL,6815744,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1850.6,413.4813175948824,1309.0,2463.0,1154.0,0.0002715184138371394,6.0665617369854616e-05,0.00019205533541165866,0.00036136920635516825,0.0001693138709435096,False
llama8b,model.layers.0.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,10.2,4.147288270665544,5.0,15.0,10.0,0.00017787388392857145,7.232296788967537e-05,8.719308035714286e-05,0.00026157924107142856,0.0001743861607142857,False
llama8b,model.layers.0.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,9.0,6.041522986797286,4.0,17.0,13.0,0.00015694754464285715,0.0001053557998534683,6.975446428571428e-05,0.0002964564732142857,0.0002267020089285714,False
llama8b,model.layers.0.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,7.8,2.16794833886788,5.0,10.0,5.0,0.00013602120535714286,3.780601874420829e-05,8.719308035714286e-05,0.00017438616071428572,8.719308035714286e-05,False
llama8b,model.layers.0.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.6,0.8944271909999159,0.0,2.0,2.0,0.000146484375,0.00021836601342771383,0.0,0.00048828125,0.00048828125,False
llama8b,model.layers.0.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,8.6,4.560701700396552,4.0,14.0,10.0,0.00052490234375,0.00027836314089334425,0.000244140625,0.0008544921875,0.0006103515625,False
llama8b,model.layers.0.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.2,1.0954451150103321,2.0,4.0,2.0,0.0001953125,6.686066375795484e-05,0.0001220703125,0.000244140625,0.0001220703125,False
llama8b,model.layers.0.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,4.8,2.4899799195977463,1.0,8.0,7.0,0.001171875,0.0006079052538080435,0.000244140625,0.001953125,0.001708984375,False
llama8b,model.layers.1.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,38.0,3.5355339059327378,33.0,42.0,9.0,0.0006626674107142857,6.165481839307926e-05,0.0005754743303571429,0.000732421875,0.00015694754464285713,False
llama8b,model.layers.1.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,16.8,4.147288270665544,10.0,20.0,10.0,0.00029296875,7.232296788967537e-05,0.00017438616071428572,0.00034877232142857144,0.00017438616071428572,False
llama8b,model.layers.1.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,17.4,3.5071355833500366,13.0,22.0,9.0,0.0003034319196428572,6.115959094848695e-05,0.00022670200892857144,0.00038364955357142856,0.00015694754464285713,False
llama8b,model.layers.1.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.0,3.24037034920393,0.0,7.0,7.0,0.000732421875,0.0007911060422861158,0.0,0.001708984375,0.001708984375,False
llama8b,model.layers.1.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,11.0,3.8078865529319543,7.0,15.0,8.0,0.00067138671875,0.00023241495074047573,0.00042724609375,0.00091552734375,0.00048828125,False
llama8b,model.layers.1.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,8.0,2.23606797749979,5.0,11.0,6.0,0.00048828125,0.00013647875839232116,0.00030517578125,0.00067138671875,0.0003662109375,False
llama8b,model.layers.1.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,4.0,1.4142135623730951,3.0,6.0,3.0,0.0009765625,0.00034526698300124393,0.000732421875,0.00146484375,0.000732421875,False
llama8b,model.layers.10.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,10.2,4.54972526643093,7.0,18.0,11.0,0.00017787388392857145,7.934091215176706e-05,0.0001220703125,0.0003138950892857143,0.0001918247767857143,False
llama8b,model.layers.10.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,4.6,2.1908902300206643,1.0,7.0,6.0,8.021763392857143e-05,3.82060935759742e-05,1.743861607142857e-05,0.0001220703125,0.00010463169642857144,False
llama8b,model.layers.10.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,8.4,3.5071355833500366,3.0,12.0,9.0,0.000146484375,6.115959094848695e-05,5.231584821428571e-05,0.00020926339285714285,0.00015694754464285713,False
llama8b,model.layers.10.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.2,0.44721359549995804,0.0,1.0,1.0,4.8828125e-05,0.00010918300671385694,0.0,0.000244140625,0.000244140625,False
llama8b,model.layers.10.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,10.2,5.06951674225463,5.0,18.0,13.0,0.00062255859375,0.00030941874647550234,0.00030517578125,0.0010986328125,0.00079345703125,False
llama8b,model.layers.10.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.2,2.16794833886788,1.0,6.0,5.0,0.00013427734375,0.000132321065604729,6.103515625e-05,0.0003662109375,0.00030517578125,False
llama8b,model.layers.10.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.6,1.51657508881031,0.0,4.0,4.0,0.000390625,0.0003702575900415796,0.0,0.0009765625,0.0009765625,False
llama8b,model.layers.11.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,11.4,5.504543577809154,3.0,18.0,15.0,0.00019880022321428574,9.599162210186165e-05,5.231584821428571e-05,0.0003138950892857143,0.0002615792410714286,False
llama8b,model.layers.11.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,6.2,2.7748873851023217,3.0,10.0,7.0,0.00010811941964285715,4.839019575024975e-05,5.231584821428571e-05,0.00017438616071428572,0.0001220703125,False
llama8b,model.layers.11.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,19.8,12.437845472588894,11.0,41.0,30.0,0.0003452845982142857,0.00021689881195223376,0.00019182477678571428,0.0007149832589285714,0.0005231584821428571,False
llama8b,model.layers.11.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.8,0.8366600265340756,0.0,2.0,2.0,0.0001953125,0.0002042627017905458,0.0,0.00048828125,0.00048828125,False
llama8b,model.layers.11.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,12.0,4.743416490252569,6.0,19.0,13.0,0.000732421875,0.00028951516664139215,0.0003662109375,0.00115966796875,0.00079345703125,False
llama8b,model.layers.11.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,5.0,3.5355339059327378,2.0,11.0,9.0,0.00030517578125,0.00021579186437577745,0.0001220703125,0.00067138671875,0.00054931640625,False
llama8b,model.layers.11.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.0,1.5811388300841898,0.0,4.0,4.0,0.00048828125,0.0003860202221885229,0.0,0.0009765625,0.0009765625,True
llama8b,model.layers.12.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,13.2,8.78635305459552,4.0,25.0,21.0,0.00023018973214285714,0.00015322183758711494,6.975446428571428e-05,0.0004359654017857143,0.0003662109375,False
llama8b,model.layers.12.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,8.0,3.3166247903554,5.0,12.0,7.0,0.00013950892857142856,5.7837346371990086e-05,8.719308035714286e-05,0.00020926339285714285,0.00012207031249999999,False
llama8b,model.layers.12.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,23.6,7.733045971672482,17.0,33.0,16.0,0.0004115513392857143,0.00013485361976270374,0.0002964564732142857,0.0005754743303571429,0.0002790178571428572,False
llama8b,model.layers.12.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,8.0,5.0990195135927845,0.0,12.0,12.0,0.001953125,0.0012448778109357384,0.0,0.0029296875,0.0029296875,False
llama8b,model.layers.12.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,7.2,5.540758070878028,2.0,16.0,14.0,0.000439453125,0.000338181034599489,0.0001220703125,0.0009765625,0.0008544921875,False
llama8b,model.layers.12.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,9.0,6.324555320336759,2.0,19.0,17.0,0.00054931640625,0.0003860202221885229,0.0001220703125,0.00115966796875,0.00103759765625,False
llama8b,model.layers.12.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,4.6,1.9493588689617927,2.0,7.0,5.0,0.001123046875,0.00047591769261762516,0.00048828125,0.001708984375,0.001220703125,False
llama8b,model.layers.13.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,10.4,4.6690470119715,5.0,17.0,12.0,0.00018136160714285715,8.142171826122176e-05,8.719308035714286e-05,0.0002964564732142857,0.00020926339285714282,False
llama8b,model.layers.13.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,10.8,7.429670248402684,3.0,20.0,17.0,0.00018833705357142858,0.00012956316699920973,5.231584821428571e-05,0.00034877232142857144,0.00029645647321428575,False
llama8b,model.layers.13.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,11.8,7.463243262818116,0.0,19.0,19.0,0.00020577566964285714,0.00013014863390796102,0.0,0.00033133370535714287,0.00033133370535714287,False
llama8b,model.layers.13.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.2,0.44721359549995804,0.0,1.0,1.0,4.8828125e-05,0.00010918300671385694,0.0,0.000244140625,0.000244140625,True
llama8b,model.layers.13.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,6.4,2.3021728866442674,3.0,9.0,6.0,0.000390625,0.0001405134818508464,0.00018310546875,0.00054931640625,0.0003662109375,False
llama8b,model.layers.13.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.6,0.8944271909999159,0.0,2.0,2.0,3.662109375e-05,5.459150335692846e-05,0.0,0.0001220703125,0.0001220703125,True
llama8b,model.layers.13.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.6,1.51657508881031,2.0,6.0,4.0,0.00087890625,0.0003702575900415796,0.00048828125,0.00146484375,0.0009765625,False
llama8b,model.layers.14.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,10.0,2.1213203435596424,8.0,13.0,5.0,0.0001743861607142857,3.699289103584757e-05,0.00013950892857142856,0.00022670200892857144,8.719308035714287e-05,False
llama8b,model.layers.14.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,7.0,4.06201920231798,1.0,11.0,10.0,0.0001220703125,7.08359933439938e-05,1.743861607142857e-05,0.00019182477678571428,0.00017438616071428572,False
llama8b,model.layers.14.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,10.2,1.9235384061671343,8.0,13.0,5.0,0.00017787388392857142,3.354384776379629e-05,0.00013950892857142856,0.00022670200892857144,8.719308035714287e-05,False
llama8b,model.layers.14.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.2,1.6431676725154982,0.0,4.0,4.0,0.00029296875,0.00040116398254772906,0.0,0.0009765625,0.0009765625,True
llama8b,model.layers.14.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,5.2,3.1144823004794877,0.0,8.0,8.0,0.0003173828125,0.00019009291384762498,0.0,0.00048828125,0.00048828125,False
llama8b,model.layers.14.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,6.0,4.301162633521313,2.0,12.0,10.0,0.0003662109375,0.00026252213339363485,0.0001220703125,0.000732421875,0.0006103515625,False
llama8b,model.layers.14.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.2,2.16794833886788,0.0,5.0,5.0,0.00078125,0.000529284262418916,0.0,0.001220703125,0.001220703125,False
llama8b,model.layers.15.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,8.8,6.610597552415364,3.0,16.0,13.0,0.00015345982142857143,0.00011527967271929693,5.231584821428571e-05,0.00027901785714285713,0.0002267020089285714,False
llama8b,model.layers.15.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,7.2,2.588435821108957,4.0,10.0,6.0,0.0001255580357142857,4.5138738509852075e-05,6.975446428571428e-05,0.00017438616071428572,0.00010463169642857144,False
llama8b,model.layers.15.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,6.8,3.96232255123179,3.0,12.0,9.0,0.00011858258928571427,6.909742172209455e-05,5.231584821428571e-05,0.00020926339285714285,0.00015694754464285713,False
llama8b,model.layers.15.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.4,0.5477225575051662,0.0,1.0,1.0,9.765625e-05,0.0001337213275159097,0.0,0.000244140625,0.000244140625,True
llama8b,model.layers.15.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,6.0,3.3166247903554,3.0,10.0,7.0,0.0003662109375,0.00020243071230196532,0.00018310546875,0.0006103515625,0.00042724609375,False
llama8b,model.layers.15.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.6,2.073644135332772,0.0,5.0,5.0,9.765625e-05,0.00012656519380693188,0.0,0.00030517578125,0.00030517578125,False
llama8b,model.layers.15.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,5.8,1.7888543819998317,3.0,7.0,4.0,0.001416015625,0.00043673202685542766,0.000732421875,0.001708984375,0.0009765625,False
llama8b,model.layers.16.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,9.2,5.890670590009257,3.0,18.0,15.0,0.00016043526785714286,0.00010272514282242705,5.231584821428571e-05,0.0003138950892857143,0.0002615792410714286,False
llama8b,model.layers.16.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,5.0,4.06201920231798,1.0,11.0,10.0,8.719308035714285e-05,7.08359933439938e-05,1.743861607142857e-05,0.00019182477678571428,0.00017438616071428572,False
llama8b,model.layers.16.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,6.6,3.361547262794322,3.0,12.0,9.0,0.00011509486607142857,5.8620732121831785e-05,5.231584821428571e-05,0.00020926339285714285,0.00015694754464285713,False
llama8b,model.layers.16.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.0,0.7071067811865476,0.0,2.0,2.0,0.000244140625,0.00017263349150062197,0.0,0.00048828125,0.00048828125,False
llama8b,model.layers.16.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,4.0,1.7320508075688772,3.0,7.0,4.0,0.000244140625,0.0001057159916729051,0.00018310546875,0.00042724609375,0.000244140625,False
llama8b,model.layers.16.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.6,1.9493588689617927,1.0,6.0,5.0,0.0002197265625,0.00011897942315440629,6.103515625e-05,0.0003662109375,0.00030517578125,False
llama8b,model.layers.16.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.8,1.6431676725154984,2.0,6.0,4.0,0.000927734375,0.0004011639825477291,0.00048828125,0.00146484375,0.0009765625,False
