model,draw,module,U,K,density,density_ratio_vs_seed0
llama8b,seed0,model.layers.0.mlp.down_proj,57344,11,0.00019182477678571428,1.0
llama8b,draw1,model.layers.0.mlp.down_proj,57344,13,0.00022670200892857144,1.1818181818181819
llama8b,draw2,model.layers.0.mlp.down_proj,57344,5,8.719308035714286e-05,0.45454545454545453
llama8b,draw3,model.layers.0.mlp.down_proj,57344,15,0.00026157924107142856,1.3636363636363635
llama8b,draw4,model.layers.0.mlp.down_proj,57344,7,0.0001220703125,0.6363636363636364
llama8b,seed0,model.layers.0.mlp.gate_proj,57344,14,0.000244140625,1.0
llama8b,draw1,model.layers.0.mlp.gate_proj,57344,17,0.0002964564732142857,1.2142857142857142
llama8b,draw2,model.layers.0.mlp.gate_proj,57344,5,8.719308035714286e-05,0.35714285714285715
llama8b,draw3,model.layers.0.mlp.gate_proj,57344,5,8.719308035714286e-05,0.35714285714285715
llama8b,draw4,model.layers.0.mlp.gate_proj,57344,4,6.975446428571428e-05,0.2857142857142857
llama8b,seed0,model.layers.0.mlp.up_proj,57344,9,0.00015694754464285715,1.0
llama8b,draw1,model.layers.0.mlp.up_proj,57344,6,0.00010463169642857142,0.6666666666666666
llama8b,draw2,model.layers.0.mlp.up_proj,57344,9,0.00015694754464285715,1.0
llama8b,draw3,model.layers.0.mlp.up_proj,57344,5,8.719308035714286e-05,0.5555555555555556
llama8b,draw4,model.layers.0.mlp.up_proj,57344,10,0.00017438616071428572,1.1111111111111112
llama8b,seed0,model.layers.0.self_attn.k_proj,4096,1,0.000244140625,1.0
llama8b,draw1,model.layers.0.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw2,model.layers.0.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw3,model.layers.0.self_attn.k_proj,4096,2,0.00048828125,2.0
llama8b,draw4,model.layers.0.self_attn.k_proj,4096,0,0.0,0.0
llama8b,seed0,model.layers.0.self_attn.o_proj,16384,14,0.0008544921875,1.0
llama8b,draw1,model.layers.0.self_attn.o_proj,16384,4,0.000244140625,0.2857142857142857
llama8b,draw2,model.layers.0.self_attn.o_proj,16384,6,0.0003662109375,0.42857142857142855
llama8b,draw3,model.layers.0.self_attn.o_proj,16384,6,0.0003662109375,0.42857142857142855
llama8b,draw4,model.layers.0.self_attn.o_proj,16384,13,0.00079345703125,0.9285714285714286
llama8b,seed0,model.layers.0.self_attn.q_proj,16384,2,0.0001220703125,1.0
