model,draw_a,draw_b,ranking,scope,U,K_a,K_b,intersection,jaccard,containment_a_to_b,containment_b_to_a,overlap_coefficient,empty_a,empty_b,expected_intersection_module,expected_intersection_global,null_intersection_mean,null_jaccard_lo,null_jaccard_median,null_jaccard_hi,null_containment_a_lo,null_containment_a_median,null_containment_a_hi,null_containment_b_lo,null_containment_b_median,null_containment_b_hi,allocation_share_L1,allocation_spearman
llama8b,seed0,draw1,natural_joint,natural,6815744,1781,2463,405,0.105496222974733,0.227400336889388,0.16443361753958588,0.227400336889388,False,False,3.7822352818080356,0.6435985565185547,3.749,0.00023568230025925054,0.0009433962264150943,0.0018885741265344666,0.0005614823133071309,0.0022459292532285235,0.004491858506457047,0.0004060089321965083,0.0016240357287860333,0.0032480714575720666,0.4398565359117294,0.7549258808271814
llama8b,seed0,draw2,natural_joint,natural,6815744,1781,1923,345,0.10270913962488835,0.19371139809096014,0.1794071762870515,0.19371139809096014,False,False,3.102887834821429,0.5024929046630859,3.02,0.0,0.0008105917319643339,0.0018934271030565323,0.0,0.0016844469399213925,0.0039303761931499155,0.0,0.0015600624024961,0.003640145605824233,0.4630485949364982,0.6725150117370946
llama8b,seed0,draw3,natural_joint,natural,6815744,1781,1309,355,0.12979890310786105,0.19932622122403143,0.2711993888464477,0.2711993888464477,False,False,2.8230067661830356,0.34205055236816406,2.803,0.0,0.0009718172983479105,0.0022705157314304248,0.0,0.0016844469399213925,0.0039303761931499155,0.0,0.002291825821237586,0.0053475935828877,0.46676294937351187,0.667689393977141
llama8b,seed0,draw4,natural_joint,natural,6815744,1781,1777,365,0.11431255872220482,0.20494104435710275,0.20540236353404615,0.20540236353404615,False,False,3.5580269949776784,0.4643421173095703,3.703,0.0,0.0011254924029262803,0.0022535211267605635,0.0,0.0022459292532285235,0.004491858506457047,0.0,0.0022509848058525606,0.004501969611705121,0.42101378364825737,0.6451345948564177
llama8b,draw1,draw2,natural_joint,natural,6815744,2463,1923,384,0.095952023988006,0.1559074299634592,0.1996879875195008,0.1996879875195008,False,False,3.5009068080357144,0.6949129838209885,3.485,0.0,0.0006844626967830253,0.0015985384791048184,0.0,0.001218026796589525,0.0028420625253755584,0.0,0.0015600624024961,0.003640145605824233,0.38070209775504293,0.7518549373555088
llama8b,draw1,draw3,natural_joint,natural,6815744,2463,1309,383,0.1130126881085866,0.1555014210312627,0.29258976317799845,0.29258976317799845,False,False,3.2054443359375,0.47303229111891526,3.269,0.0,0.0007959671000265323,0.0018592297476759628,0.0,0.001218026796589525,0.0028420625253755584,0.0,0.002291825821237586,0.0053475935828877,0.5796070615157811,0.6753301770148381
llama8b,draw1,draw4,natural_joint,natural,6815744,2463,1777,393,0.10215752534442422,0.15956151035322777,0.22115925717501406,0.22115925717501406,False,False,3.898167201450893,0.6421530796931341,3.952,0.00023590469450342062,0.0009442870632672333,0.001890359168241966,0.0004060089321965083,0.0016240357287860333,0.0032480714575720666,0.0005627462014631402,0.0022509848058525606,0.004501969611705121,0.5198472565608598,0.6107060110684749
llama8b,draw2,draw3,natural_joint,natural,6815744,1923,1309,335,0.1156368657231619,0.17420696827873114,0.2559205500381971,0.2559205500381971,False,False,2.6049979073660716,0.3693224099966196,2.574,0.0,0.0006191950464396285,0.0018598884066955983,0.0,0.0010400416016640667,0.0031201248049922,0.0,0.0015278838808250573,0.004583651642475172,0.5755919159608248,0.6225772953123415
llama8b,draw2,draw4,natural_joint,natural,6815744,1923,1777,343,0.10217456061960084,0.17836713468538742,0.19302194710185705,0.19302194710185705,False,False,3.238804408482143,0.5013643411489633,3.266,0.0,0.0008114687584527996,0.0018954779312212293,0.0,0.0015600624024961,0.003640145605824233,0.0,0.0016882386043894203,0.0039392234102419805,0.48333782535319425,0.6466945543396836
llama8b,draw3,draw4,natural_joint,natural,6815744,1309,1777,347,0.126688572471705,0.26508785332314744,0.1952729319077096,0.26508785332314744,False,False,2.995204380580357,0.34128233102651745,2.885,0.0,0.0009730781706130393,0.0019561872846218338,0.0,0.002291825821237586,0.004602750190985468,0.0,0.0016882386043894203,0.0033905458638154064,0.4478651541447397,0.6896765240677744
