model,draw,corpus,contrast,role,status,delta_nll,ci_low,ci_high
llama8b,seed0,wiki,ce_matched-minus-joint,primary,validated_reuse,-0.0011798211382145762,-0.0028412035121273605,0.00044086614673135487
llama8b,seed0,wiki,kl_matched-minus-joint,primary,validated_reuse,-0.001831569403116795,-0.0032317908854546775,-0.00033125724309057767
llama8b,seed0,wiki,ce_natural-minus-joint,secondary,validated_reuse,-0.001023657962180513,-0.0022817169813243777,0.0002547166301199277
llama8b,seed0,wiki,kl_natural-minus-joint,secondary,validated_reuse,0.02590788269911548,0.02352702281745716,0.02821365335073818
llama8b,seed0,wiki,ce_natural-minus-kl_natural,secondary,validated_reuse,-0.026931540661295994,-0.028973602528301952,-0.024791196940864815
llama8b,draw1,wiki,ce_matched-minus-joint,primary,validated_new,-8.283571862222061e-06,-0.0017161482870730494,0.0015454109890169472
llama8b,draw1,wiki,kl_matched-minus-joint,primary,validated_new,0.00031305516446233916,-0.0008305257460919258,0.0014952967307512665
llama8b,draw1,wiki,ce_natural-minus-joint,secondary,validated_new,-0.0009381732547704136,-0.0029442781043023,0.0009027376817640088
llama8b,draw1,wiki,kl_natural-minus-joint,secondary,validated_new,0.013757245469347756,0.01161356429764906,0.015835770487737603
llama8b,draw1,wiki,ce_natural-minus-kl_natural,secondary,validated_new,-0.01469541872411817,-0.017044403078910725,-0.012513417595961605
llama8b,draw2,wiki,ce_matched-minus-joint,primary,validated_new,0.00013254436402920788,-0.0014404604512442353,0.0017446768585057059
llama8b,draw2,wiki,kl_matched-minus-joint,primary,validated_new,-0.00023785163721923297,-0.0017294403704135764,0.0013806819039025246
llama8b,draw2,wiki,ce_natural-minus-joint,secondary,validated_new,-0.0010764738795876472,-0.0025604895111679626,0.0005073129733037345
llama8b,draw2,wiki,kl_natural-minus-joint,secondary,validated_new,0.015110861124329578,0.012941871388500375,0.017225019336340023
llama8b,draw2,wiki,ce_natural-minus-kl_natural,secondary,validated_new,-0.016187335003917225,-0.017941637526956294,-0.014502086140141791
llama8b,draw3,wiki,ce_matched-minus-joint,primary,validated_new,-0.0005833236241905571,-0.0021495411298718347,0.0010507080866385401
llama8b,draw3,wiki,kl_matched-minus-joint,primary,validated_new,-0.000800316810654067,-0.0025201705249227823,0.0009702279000156731
llama8b,draw3,wiki,ce_natural-minus-joint,secondary,validated_new,-0.001362309401179873,-0.002880290129674479,0.00019496662745613846
llama8b,draw3,wiki,kl_natural-minus-joint,secondary,validated_new,0.014277838472006366,0.011845265135812428,0.016438631142756652
llama8b,draw3,wiki,ce_natural-minus-kl_natural,secondary,validated_new,-0.01564014787318624,-0.017428014095124716,-0.013783355702139812
llama8b,draw4,wiki,ce_matched-minus-joint,primary,validated_new,0.0003147915781411825,-0.0009884020627834,0.0015819997524372292
llama8b,draw4,wiki,kl_matched-minus-joint,primary,validated_new,7.393382841658358e-05,-0.001450041317963191,0.0015529086422790416
llama8b,draw4,wiki,ce_natural-minus-joint,secondary,validated_new,3.624833618443013e-05,-0.0012224117114233545,0.0013238286809186314
llama8b,draw4,wiki,kl_natural-minus-joint,secondary,validated_new,0.019664460176077148,0.017654392014783284,0.021597992947634446
llama8b,draw4,wiki,ce_natural-minus-kl_natural,secondary,validated_new,-0.019628211839892717,-0.021151916609616996,-0.018126944214245322
llama8b,seed0,c4,ce_matched-minus-joint,primary,validated_reuse,0.000636591803530262,-0.0005934079767824562,0.0018724834448887275
llama8b,seed0,c4,kl_matched-minus-joint,primary,validated_reuse,-0.000593371728448755,-0.0017872860680359759,0.0005315860911282325
