model,module,U,K_min,zero_quota,draw,ranking,cutoff_tie_fraction,retained_quota_fraction
llama8b,model.layers.0.mlp.down_proj,57344,5,False,,,,
llama8b,model.layers.0.mlp.down_proj,57344,5,,seed0,joint_upper_primary,1.743861607142857e-05,0.45454545454545453
llama8b,model.layers.0.mlp.down_proj,57344,5,,seed0,joint_z_diagnostic,1.743861607142857e-05,0.45454545454545453
llama8b,model.layers.0.mlp.down_proj,57344,5,,draw1,joint_upper_primary,1.743861607142857e-05,0.38461538461538464
llama8b,model.layers.0.mlp.down_proj,57344,5,,draw1,joint_z_diagnostic,1.743861607142857e-05,0.38461538461538464
llama8b,model.layers.0.mlp.down_proj,57344,5,,draw2,joint_upper_primary,1.743861607142857e-05,1.0
llama8b,model.layers.0.mlp.down_proj,57344,5,,draw2,joint_z_diagnostic,1.743861607142857e-05,1.0
llama8b,model.layers.0.mlp.down_proj,57344,5,,draw3,joint_upper_primary,1.743861607142857e-05,0.3333333333333333
llama8b,model.layers.0.mlp.down_proj,57344,5,,draw3,joint_z_diagnostic,1.743861607142857e-05,0.3333333333333333
llama8b,model.layers.0.mlp.down_proj,57344,5,,draw4,joint_upper_primary,1.743861607142857e-05,0.7142857142857143
llama8b,model.layers.0.mlp.down_proj,57344,5,,draw4,joint_z_diagnostic,1.743861607142857e-05,0.7142857142857143
llama8b,model.layers.0.mlp.gate_proj,57344,4,False,,,,
llama8b,model.layers.0.mlp.gate_proj,57344,4,,seed0,joint_upper_primary,1.743861607142857e-05,0.2857142857142857
llama8b,model.layers.0.mlp.gate_proj,57344,4,,seed0,joint_z_diagnostic,1.743861607142857e-05,0.2857142857142857
llama8b,model.layers.0.mlp.gate_proj,57344,4,,draw1,joint_upper_primary,1.743861607142857e-05,0.23529411764705882
llama8b,model.layers.0.mlp.gate_proj,57344,4,,draw1,joint_z_diagnostic,1.743861607142857e-05,0.23529411764705882
llama8b,model.layers.0.mlp.gate_proj,57344,4,,draw2,joint_upper_primary,1.743861607142857e-05,0.8
llama8b,model.layers.0.mlp.gate_proj,57344,4,,draw2,joint_z_diagnostic,1.743861607142857e-05,0.8
llama8b,model.layers.0.mlp.gate_proj,57344,4,,draw3,joint_upper_primary,1.743861607142857e-05,0.8
llama8b,model.layers.0.mlp.gate_proj,57344,4,,draw3,joint_z_diagnostic,1.743861607142857e-05,0.8
llama8b,model.layers.0.mlp.gate_proj,57344,4,,draw4,joint_upper_primary,1.743861607142857e-05,1.0
llama8b,model.layers.0.mlp.gate_proj,57344,4,,draw4,joint_z_diagnostic,1.743861607142857e-05,1.0
llama8b,model.layers.0.mlp.up_proj,57344,5,False,,,,
llama8b,model.layers.0.mlp.up_proj,57344,5,,seed0,joint_upper_primary,1.743861607142857e-05,0.5555555555555556
llama8b,model.layers.0.mlp.up_proj,57344,5,,seed0,joint_z_diagnostic,1.743861607142857e-05,0.5555555555555556
llama8b,model.layers.0.mlp.up_proj,57344,5,,draw1,joint_upper_primary,1.743861607142857e-05,0.8333333333333334
llama8b,model.layers.0.mlp.up_proj,57344,5,,draw1,joint_z_diagnostic,1.743861607142857e-05,0.8333333333333334
llama8b,model.layers.0.mlp.up_proj,57344,5,,draw2,joint_upper_primary,1.743861607142857e-05,0.5555555555555556
llama8b,model.layers.0.mlp.up_proj,57344,5,,draw2,joint_z_diagnostic,1.743861607142857e-05,0.5555555555555556
llama8b,model.layers.0.mlp.up_proj,57344,5,,draw3,joint_upper_primary,1.743861607142857e-05,1.0
llama8b,model.layers.0.mlp.up_proj,57344,5,,draw3,joint_z_diagnostic,1.743861607142857e-05,1.0
llama8b,model.layers.0.mlp.up_proj,57344,5,,draw4,joint_upper_primary,1.743861607142857e-05,0.5
llama8b,model.layers.0.mlp.up_proj,57344,5,,draw4,joint_z_diagnostic,1.743861607142857e-05,0.5
llama8b,model.layers.0.self_attn.k_proj,4096,0,True,,,,
llama8b,model.layers.0.self_attn.k_proj,4096,0,,seed0,joint_upper_primary,0,0.0
llama8b,model.layers.0.self_attn.k_proj,4096,0,,seed0,joint_z_diagnostic,0,0.0
llama8b,model.layers.0.self_attn.k_proj,4096,0,,draw1,joint_upper_primary,0,
llama8b,model.layers.0.self_attn.k_proj,4096,0,,draw1,joint_z_diagnostic,0,
llama8b,model.layers.0.self_attn.k_proj,4096,0,,draw2,joint_upper_primary,0,
llama8b,model.layers.0.self_attn.k_proj,4096,0,,draw2,joint_z_diagnostic,0,
llama8b,model.layers.0.self_attn.k_proj,4096,0,,draw3,joint_upper_primary,0,0.0
llama8b,model.layers.0.self_attn.k_proj,4096,0,,draw3,joint_z_diagnostic,0,0.0
llama8b,model.layers.0.self_attn.k_proj,4096,0,,draw4,joint_upper_primary,0,
llama8b,model.layers.0.self_attn.k_proj,4096,0,,draw4,joint_z_diagnostic,0,
llama8b,model.layers.0.self_attn.o_proj,16384,4,False,,,,
llama8b,model.layers.0.self_attn.o_proj,16384,4,,seed0,joint_upper_primary,6.103515625e-05,0.2857142857142857
llama8b,model.layers.0.self_attn.o_proj,16384,4,,seed0,joint_z_diagnostic,6.103515625e-05,0.2857142857142857
llama8b,model.layers.0.self_attn.o_proj,16384,4,,draw1,joint_upper_primary,6.103515625e-05,1.0
llama8b,model.layers.0.self_attn.o_proj,16384,4,,draw1,joint_z_diagnostic,6.103515625e-05,1.0
llama8b,model.layers.0.self_attn.o_proj,16384,4,,draw2,joint_upper_primary,6.103515625e-05,0.6666666666666666
llama8b,model.layers.0.self_attn.o_proj,16384,4,,draw2,joint_z_diagnostic,6.103515625e-05,0.6666666666666666
llama8b,model.layers.0.self_attn.o_proj,16384,4,,draw3,joint_upper_primary,6.103515625e-05,0.6666666666666666
llama8b,model.layers.0.self_attn.o_proj,16384,4,,draw3,joint_z_diagnostic,6.103515625e-05,0.6666666666666666
llama8b,model.layers.0.self_attn.o_proj,16384,4,,draw4,joint_upper_primary,6.103515625e-05,0.3076923076923077
llama8b,model.layers.0.self_attn.o_proj,16384,4,,draw4,joint_z_diagnostic,6.103515625e-05,0.3076923076923077
llama8b,model.layers.0.self_attn.q_proj,16384,2,False,,,,
llama8b,model.layers.0.self_attn.q_proj,16384,2,,seed0,joint_upper_primary,6.103515625e-05,1.0
llama8b,model.layers.0.self_attn.q_proj,16384,2,,seed0,joint_z_diagnostic,6.103515625e-05,1.0
llama8b,model.layers.0.self_attn.q_proj,16384,2,,draw1,joint_upper_primary,6.103515625e-05,0.5
llama8b,model.layers.0.self_attn.q_proj,16384,2,,draw1,joint_z_diagnostic,6.103515625e-05,0.5
llama8b,model.layers.0.self_attn.q_proj,16384,2,,draw2,joint_upper_primary,6.103515625e-05,1.0
llama8b,model.layers.0.self_attn.q_proj,16384,2,,draw2,joint_z_diagnostic,6.103515625e-05,1.0
llama8b,model.layers.0.self_attn.q_proj,16384,2,,draw3,joint_upper_primary,6.103515625e-05,0.5
llama8b,model.layers.0.self_attn.q_proj,16384,2,,draw3,joint_z_diagnostic,6.103515625e-05,0.5
llama8b,model.layers.0.self_attn.q_proj,16384,2,,draw4,joint_upper_primary,6.103515625e-05,0.5
llama8b,model.layers.0.self_attn.q_proj,16384,2,,draw4,joint_z_diagnostic,6.103515625e-05,0.5
llama8b,model.layers.0.self_attn.v_proj,4096,1,False,,,,
llama8b,model.layers.0.self_attn.v_proj,4096,1,,seed0,joint_upper_primary,0.000244140625,0.125
llama8b,model.layers.0.self_attn.v_proj,4096,1,,seed0,joint_z_diagnostic,0.000244140625,0.125
llama8b,model.layers.0.self_attn.v_proj,4096,1,,draw1,joint_upper_primary,0.000244140625,0.2
llama8b,model.layers.0.self_attn.v_proj,4096,1,,draw1,joint_z_diagnostic,0.000244140625,0.2
