model,draw_a,draw_b,ranking,scope,U,K_a,K_b,intersection,jaccard,containment_a_to_b,containment_b_to_a,overlap_coefficient,empty_a,empty_b,expected_intersection_module,expected_intersection_global,null_intersection_mean,null_jaccard_lo,null_jaccard_median,null_jaccard_hi,null_containment_a_lo,null_containment_a_median,null_containment_a_hi,null_containment_b_lo,null_containment_b_median,null_containment_b_hi,allocation_share_L1,allocation_spearman
llama8b,seed0,draw1,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,343,0.20675105485232068,0.34265734265734266,0.34265734265734266,0.34265734265734266,False,False,2.1721627371651784,0.14701271057128906,2.185,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,seed0,draw2,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,308,0.18181818181818182,0.3076923076923077,0.3076923076923077,0.3076923076923077,False,False,2.1721627371651784,0.14701271057128906,2.181,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,seed0,draw3,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,330,0.19736842105263158,0.32967032967032966,0.32967032967032966,0.32967032967032966,False,False,2.1721627371651784,0.14701271057128906,2.203,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,seed0,draw4,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,315,0.18672199170124482,0.3146853146853147,0.3146853146853147,0.3146853146853147,False,False,2.1721627371651784,0.14701271057128906,2.227,0.0,0.001,0.003006012024048096,0.0,0.001998001998001998,0.005994005994005994,0.0,0.001998001998001998,0.005994005994005994,0.0,1.0
llama8b,draw1,draw2,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,327,0.19522388059701493,0.32667332667332666,0.32667332667332666,0.32667332667332666,False,False,2.1721627371651784,0.14701271057128906,2.133,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,draw1,draw3,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,343,0.20675105485232068,0.34265734265734266,0.34265734265734266,0.34265734265734266,False,False,2.1721627371651784,0.14701271057128906,2.13,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,draw1,draw4,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,330,0.19736842105263158,0.32967032967032966,0.32967032967032966,0.32967032967032966,False,False,2.1721627371651784,0.14701271057128906,2.14,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,draw2,draw3,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,309,0.18251624335499114,0.3086913086913087,0.3086913086913087,0.3086913086913087,False,False,2.1721627371651784,0.14701271057128906,2.175,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,draw2,draw4,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,290,0.169392523364486,0.2897102897102897,0.2897102897102897,0.2897102897102897,False,False,2.1721627371651784,0.14701271057128906,2.097,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,draw3,draw4,joint_upper_primary,fixed_module_min_quota,6815744,1001,1001,313,0.1853167554766134,0.3126873126873127,0.3126873126873127,0.3126873126873127,False,False,2.1721627371651784,0.14701271057128906,2.152,0.0,0.001,0.003006012024048096,0.0,0.001998001998001998,0.005994005994005994,0.0,0.001998001998001998,0.005994005994005994,0.0,1.0
llama8b,seed0,draw1,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,330,0.19736842105263158,0.32967032967032966,0.32967032967032966,0.32967032967032966,False,False,2.1721627371651784,0.14701271057128906,2.145,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,seed0,draw2,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,303,0.1783402001177163,0.3026973026973027,0.3026973026973027,0.3026973026973027,False,False,2.1721627371651784,0.14701271057128906,2.167,0.0,0.001,0.003006012024048096,0.0,0.001998001998001998,0.005994005994005994,0.0,0.001998001998001998,0.005994005994005994,0.0,1.0
llama8b,seed0,draw3,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,325,0.1937984496124031,0.3246753246753247,0.3246753246753247,0.3246753246753247,False,False,2.1721627371651784,0.14701271057128906,2.12,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,seed0,draw4,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,302,0.1776470588235294,0.3016983016983017,0.3016983016983017,0.3016983016983017,False,False,2.1721627371651784,0.14701271057128906,2.158,0.0,0.001,0.002516312043215112,0.0,0.001998001998001998,0.005019980019979997,0.0,0.001998001998001998,0.005019980019979997,0.0,1.0
llama8b,draw1,draw2,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,312,0.18461538461538463,0.3116883116883117,0.3116883116883117,0.3116883116883117,False,False,2.1721627371651784,0.14701271057128906,2.187,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,draw1,draw3,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,329,0.19665271966527198,0.32867132867132864,0.32867132867132864,0.32867132867132864,False,False,2.1721627371651784,0.14701271057128906,2.137,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,draw1,draw4,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,310,0.18321513002364065,0.3096903096903097,0.3096903096903097,0.3096903096903097,False,False,2.1721627371651784,0.14701271057128906,2.176,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
llama8b,draw2,draw3,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,298,0.17488262910798122,0.2977022977022977,0.2977022977022977,0.2977022977022977,False,False,2.1721627371651784,0.14701271057128906,2.216,0.0,0.001,0.003006012024048096,0.0,0.001998001998001998,0.005994005994005994,0.0,0.001998001998001998,0.005994005994005994,0.0,1.0
llama8b,draw2,draw4,joint_z_diagnostic,fixed_module_min_quota,6815744,1001,1001,273,0.15789473684210525,0.2727272727272727,0.2727272727272727,0.2727272727272727,False,False,2.1721627371651784,0.14701271057128906,2.205,0.0,0.001,0.0025037556334501754,0.0,0.001998001998001998,0.004995004995004995,0.0,0.001998001998001998,0.004995004995004995,0.0,1.0
