model,module,frequency,tiles,U
llama8b,model.layers.0.mlp.down_proj,0,57293,57344
llama8b,model.layers.0.mlp.down_proj,1,51,57344
llama8b,model.layers.0.mlp.down_proj,2,0,57344
llama8b,model.layers.0.mlp.down_proj,3,0,57344
llama8b,model.layers.0.mlp.down_proj,4,0,57344
llama8b,model.layers.0.mlp.down_proj,5,0,57344
llama8b,model.layers.0.mlp.gate_proj,0,57299,57344
llama8b,model.layers.0.mlp.gate_proj,1,45,57344
llama8b,model.layers.0.mlp.gate_proj,2,0,57344
llama8b,model.layers.0.mlp.gate_proj,3,0,57344
llama8b,model.layers.0.mlp.gate_proj,4,0,57344
llama8b,model.layers.0.mlp.gate_proj,5,0,57344
llama8b,model.layers.0.mlp.up_proj,0,57305,57344
llama8b,model.layers.0.mlp.up_proj,1,39,57344
llama8b,model.layers.0.mlp.up_proj,2,0,57344
llama8b,model.layers.0.mlp.up_proj,3,0,57344
llama8b,model.layers.0.mlp.up_proj,4,0,57344
llama8b,model.layers.0.mlp.up_proj,5,0,57344
llama8b,model.layers.0.self_attn.k_proj,0,4093,4096
llama8b,model.layers.0.self_attn.k_proj,1,3,4096
llama8b,model.layers.0.self_attn.k_proj,2,0,4096
llama8b,model.layers.0.self_attn.k_proj,3,0,4096
llama8b,model.layers.0.self_attn.k_proj,4,0,4096
llama8b,model.layers.0.self_attn.k_proj,5,0,4096
llama8b,model.layers.0.self_attn.o_proj,0,16345,16384
llama8b,model.layers.0.self_attn.o_proj,1,35,16384
llama8b,model.layers.0.self_attn.o_proj,2,4,16384
llama8b,model.layers.0.self_attn.o_proj,3,0,16384
llama8b,model.layers.0.self_attn.o_proj,4,0,16384
llama8b,model.layers.0.self_attn.o_proj,5,0,16384
llama8b,model.layers.0.self_attn.q_proj,0,16369,16384
llama8b,model.layers.0.self_attn.q_proj,1,14,16384
llama8b,model.layers.0.self_attn.q_proj,2,1,16384
llama8b,model.layers.0.self_attn.q_proj,3,0,16384
llama8b,model.layers.0.self_attn.q_proj,4,0,16384
llama8b,model.layers.0.self_attn.q_proj,5,0,16384
llama8b,model.layers.0.self_attn.v_proj,0,4073,4096
llama8b,model.layers.0.self_attn.v_proj,1,22,4096
llama8b,model.layers.0.self_attn.v_proj,2,1,4096
llama8b,model.layers.0.self_attn.v_proj,3,0,4096
llama8b,model.layers.0.self_attn.v_proj,4,0,4096
llama8b,model.layers.0.self_attn.v_proj,5,0,4096
llama8b,model.layers.1.mlp.down_proj,0,57245,57344
llama8b,model.layers.1.mlp.down_proj,1,68,57344
llama8b,model.layers.1.mlp.down_proj,2,5,57344
llama8b,model.layers.1.mlp.down_proj,3,6,57344
llama8b,model.layers.1.mlp.down_proj,4,6,57344
llama8b,model.layers.1.mlp.down_proj,5,14,57344
llama8b,model.layers.1.mlp.gate_proj,0,57282,57344
llama8b,model.layers.1.mlp.gate_proj,1,52,57344
llama8b,model.layers.1.mlp.gate_proj,2,4,57344
llama8b,model.layers.1.mlp.gate_proj,3,2,57344
llama8b,model.layers.1.mlp.gate_proj,4,2,57344
