model,draw,module,approving,veto_total,predicted_harmful,favorable_uncertainty_fail,neutral,invalid,near_zero_upper_abs_le_1e_10,both_means_negative,ce_negative_kl_nonnegative,ce_nonnegative_kl_negative,both_nonnegative,both_pass,only_ce_pass,only_kl_pass,neither_pass
llama8b,seed0,model.layers.0.mlp.down_proj,ce,69,2,67,0,0,0,21135,7822,7939,20448,11,69,88,57176
llama8b,seed0,model.layers.0.mlp.down_proj,kl,88,2,86,0,0,0,21135,7822,7939,20448,11,69,88,57176
llama8b,draw1,model.layers.0.mlp.down_proj,ce,65,0,65,0,0,0,22694,6266,6297,22087,13,65,55,57211
llama8b,draw1,model.layers.0.mlp.down_proj,kl,55,0,55,0,0,0,22694,6266,6297,22087,13,65,55,57211
llama8b,draw2,model.layers.0.mlp.down_proj,ce,66,1,65,0,0,0,22087,6870,6929,21458,5,66,49,57224
llama8b,draw2,model.layers.0.mlp.down_proj,kl,49,0,49,0,0,0,22087,6870,6929,21458,5,66,49,57224
llama8b,draw3,model.layers.0.mlp.down_proj,ce,78,0,78,0,0,0,22544,6330,6571,21899,15,78,40,57211
llama8b,draw3,model.layers.0.mlp.down_proj,kl,40,0,40,0,0,0,22544,6330,6571,21899,15,78,40,57211
llama8b,draw4,model.layers.0.mlp.down_proj,ce,91,0,91,0,0,0,22458,6665,6594,21627,7,91,56,57190
llama8b,draw4,model.layers.0.mlp.down_proj,kl,56,1,55,0,0,0,22458,6665,6594,21627,7,91,56,57190
llama8b,seed0,model.layers.0.mlp.gate_proj,ce,85,1,84,0,0,0,21009,7748,8041,20546,14,85,58,57187
llama8b,seed0,model.layers.0.mlp.gate_proj,kl,58,0,58,0,0,0,21009,7748,8041,20546,14,85,58,57187
llama8b,draw1,model.layers.0.mlp.gate_proj,ce,67,0,67,0,0,0,22733,6238,6440,21933,17,67,34,57226
llama8b,draw1,model.layers.0.mlp.gate_proj,kl,34,0,34,0,0,0,22733,6238,6440,21933,17,67,34,57226
llama8b,draw2,model.layers.0.mlp.gate_proj,ce,65,0,65,0,0,0,22189,6673,6832,21650,5,65,40,57234
llama8b,draw2,model.layers.0.mlp.gate_proj,kl,40,0,40,0,0,0,22189,6673,6832,21650,5,65,40,57234
llama8b,draw3,model.layers.0.mlp.gate_proj,ce,67,0,67,0,0,0,22553,6292,6344,22155,5,67,30,57242
llama8b,draw3,model.layers.0.mlp.gate_proj,kl,30,0,30,0,0,0,22553,6292,6344,22155,5,67,30,57242
llama8b,draw4,model.layers.0.mlp.gate_proj,ce,60,1,59,0,0,0,22681,6121,6409,22133,4,60,31,57249
llama8b,draw4,model.layers.0.mlp.gate_proj,kl,31,0,31,0,0,0,22681,6121,6409,22133,4,60,31,57249
llama8b,seed0,model.layers.0.mlp.up_proj,ce,89,0,89,0,0,0,21372,7753,7913,20306,9,89,58,57188
llama8b,seed0,model.layers.0.mlp.up_proj,kl,58,0,58,0,0,0,21372,7753,7913,20306,9,89,58,57188
llama8b,draw1,model.layers.0.mlp.up_proj,ce,75,0,75,0,0,0,22817,6125,6332,22070,6,75,35,57228
