layer,tokens,channels,pos_share,row_share,col_share,resid_share,col_corr_abs,sv1,id_16x64,se_16x64,ct_16x64,lift_16x64,id_8x64,se_8x64,ct_8x64,lift_8x64
layers.0.self_attn.q_proj,2048,4096,0.1915,0.0102,0.1535,0.8363,0.06136,0.28567,0.0028,0.0086,0.0283,-0.0197,0.012,0.043,0.0615,-0.0185
layers.0.self_attn.o_proj,2048,4096,0.3895,0.0051,0.1013,0.8936,0.03931,0.19232,0.1185,0.3213,0.1352,0.1861,0.1455,0.4193,0.2494,0.1698
layers.0.mlp.up_proj,2048,4096,0.5068,0.0266,0.0547,0.9187,0.03464,0.1347,0.0347,0.0989,0.0434,0.0556,0.0848,0.1501,0.0945,0.0556
layers.0.mlp.down_proj,2048,14336,0.2626,0.0124,0.021,0.9667,0.0289,0.04969,0.0968,0.1565,0.166,-0.0095,0.137,0.1878,0.1989,-0.0111
layers.8.self_attn.q_proj,2048,4096,0.4253,0.0026,0.3464,0.651,0.0227,0.37623,0.0034,0.0455,0.002,0.0435,0.0159,0.0795,0.0125,0.0669
layers.8.self_attn.o_proj,2048,4096,0.4083,0.016,0.1538,0.8302,0.04378,0.21868,0.0346,0.2054,0.0161,0.1893,0.0602,0.2559,0.0321,0.2238
layers.8.mlp.up_proj,2048,4096,0.5147,0.0039,0.2652,0.7309,0.02048,0.31344,0.0635,0.1456,0.0266,0.1191,0.1093,0.1983,0.0653,0.133
layers.8.mlp.down_proj,2048,14336,0.342,0.003,0.0385,0.9584,0.01996,0.06987,0.0,0.0028,0.0015,0.0013,0.0006,0.0137,0.0127,0.001
layers.16.self_attn.q_proj,2048,4096,0.418,0.0031,0.3167,0.6801,0.02377,0.33934,0.0057,0.0594,0.0019,0.0575,0.0173,0.0916,0.012,0.0796
layers.16.self_attn.o_proj,2048,4096,0.4619,0.0107,0.156,0.8333,0.03344,0.24468,0.0521,0.2861,0.0395,0.2466,0.0903,0.3596,0.0904,0.2692
layers.16.mlp.up_proj,2048,4096,0.5031,0.0044,0.2976,0.698,0.02156,0.41166,0.0368,0.1005,0.0215,0.079,0.0774,0.1496,0.0537,0.096
layers.16.mlp.down_proj,2048,14336,0.341,0.0022,0.1027,0.8952,0.02025,0.13588,0.0024,0.0097,0.012,-0.0023,0.0048,0.0218,0.0252,-0.0034
layers.24.self_attn.q_proj,2048,4096,0.4098,0.0042,0.281,0.7148,0.027,0.30839,0.006,0.0599,0.0004,0.0595,0.0169,0.0947,0.0105,0.0841
layers.24.self_attn.o_proj,2048,4096,0.4849,0.0057,0.093,0.9012,0.02727,0.46474,0.2175,0.4901,0.2772,0.213,0.2672,0.5768,0.4143,0.1625
layers.24.mlp.up_proj,2048,4096,0.5268,0.0105,0.2226,0.7669,0.02166,0.41829,0.0671,0.1417,0.0486,0.0931,0.1196,0.1954,0.1017,0.0937
layers.24.mlp.down_proj,2048,14336,0.3268,0.0068,0.0956,0.8976,0.02413,0.12543,0.0023,0.0102,0.0192,-0.009,0.0061,0.0232,0.0333,-0.0101
