layer,row_share,col_share,resid_share,diagS_max_over_min,sorted_e2m1_pct,random_e2m1_pct,sorted_best_pct,tokens,channels
layers.0.self_attn.q_proj,0.0111,0.7941,0.1948,244975337996288.0,-55.1206,-3.9371,-38.0213,2048,4096
layers.0.self_attn.o_proj,0.0095,0.4859,0.5047,696341561344.0,-3.8006,8.0076,-1.5788,2048,4096
layers.0.mlp.up_proj,0.0368,0.1226,0.8406,958527488.0,-0.5675,-0.0412,3.5786,2048,4096
layers.0.mlp.down_proj,0.039,0.0432,0.9178,9404.954,-7.7272,0.224,-7.1755,2048,14336
layers.8.self_attn.q_proj,0.0057,0.0724,0.9219,639.547,3.7401,0.1333,18.4728,2048,4096
layers.8.self_attn.o_proj,0.0334,0.1752,0.7913,1052.142,-0.3217,-2.4225,7.8154,2048,4096
layers.8.mlp.up_proj,0.0067,0.0358,0.9576,150164672.0,0.0411,-0.0665,6.5453,2048,4096
layers.8.mlp.down_proj,0.005,0.0674,0.9276,890.686,-0.6194,0.1679,1.1697,2048,14336
layers.16.self_attn.q_proj,0.0069,0.0752,0.9179,1701.686,4.5216,-0.0387,19.14,2048,4096
layers.16.self_attn.o_proj,0.0478,0.2286,0.7236,2473.081,-1.5309,-1.7437,0.955,2048,4096
layers.16.mlp.up_proj,0.0072,0.0315,0.9613,104.726,-0.3945,0.0077,6.3881,2048,4096
layers.16.mlp.down_proj,0.0066,0.0717,0.9216,1832.537,-2.6093,0.1713,-0.7623,2048,14336
layers.24.self_attn.q_proj,0.01,0.0802,0.9098,980.13,3.316,-0.1525,18.0554,2048,4096
layers.24.self_attn.o_proj,0.0551,0.267,0.6779,34317.711,-2.1855,8.3233,-9.4278,2048,4096
layers.24.mlp.up_proj,0.011,0.0245,0.9645,154.27,-0.243,0.0293,5.0518,2048,4096
layers.24.mlp.down_proj,0.0153,0.0574,0.9273,1502.278,-4.7632,0.0688,-2.5065,2048,14336
