model,tensor,row_share,col_share,resid_share,random_ctl_e2m1_pct,random_ctl_best_pct,random_ctl_bc_pct,sorted_rms_e2m1_pct,sorted_rms_best_pct,sorted_rms_bc_pct,sorted_max_e2m1_pct,sorted_max_best_pct,sorted_max_bc_pct,refined_rms_e2m1_pct,refined_rms_best_pct,refined_rms_bc_pct
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",0.0572,0.6108,0.3319,0.1492,-0.0694,-0.4697,-9.5684,3.8761,43.2984,-9.4548,0.7006,40.1456,-9.6207,4.3192,43.9277
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",0.0161,0.321,0.6629,0.1376,0.1854,0.1922,2.3987,11.5911,24.7032,2.5089,10.0503,21.8875,2.2733,12.2379,26.0528
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",0.006,0.0464,0.9476,0.272,-4.3412,-11.6076,-0.0201,-0.2063,-0.0123,0.3259,-1.5781,-3.1047,-0.1094,0.2481,2.2737
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",0.0019,0.0131,0.985,0.0022,-0.0076,0.0107,0.0072,1.0666,2.494,0.0314,0.6233,1.4318,-0.036,1.2907,3.0891
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",0.0017,0.0065,0.9917,-0.0226,0.0001,-0.0257,-0.0375,0.6203,1.8452,0.0412,0.8013,2.3372,-0.0655,0.9656,2.7911
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",0.0866,0.0041,0.9093,0.0179,-0.0799,-0.0376,-0.0584,0.46,1.6109,-0.0477,0.8827,2.9983,-0.1706,1.0888,3.5752
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",0.0268,0.0277,0.9455,-0.0362,-0.0379,0.0517,0.1092,1.7865,3.7307,0.1253,1.0568,2.1462,-0.0035,2.6107,5.5211
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",0.0123,0.021,0.9666,0.19,-2.9461,-8.1558,-0.0014,-0.4907,-1.6469,0.3123,-1.0887,-3.359,-0.0562,-0.191,-0.3461
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",0.0035,0.006,0.9905,-0.0326,-0.0454,0.0237,-0.0584,0.5725,1.6033,-0.0358,0.3631,1.13,-0.1083,0.7763,2.1245
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",0.0122,0.005,0.9828,-0.003,-0.026,-0.0305,-0.1067,0.3629,1.1327,0.2141,0.4317,0.9724,-0.1119,0.6677,1.9944
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",0.1032,0.0039,0.8929,-0.0089,0.0463,0.0301,-0.0767,0.4483,1.2512,-0.0098,0.6232,1.8955,-0.14,0.979,2.9315
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",0.018,0.0144,0.9676,0.1202,0.0703,0.1286,0.0679,1.6332,5.2013,0.1672,1.1494,3.9315,-0.0877,2.4411,7.0532
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",0.0015,0.0161,0.9824,0.2924,-2.7064,-7.8679,0.0569,-0.8031,-2.5787,0.2554,-1.4351,-4.0441,-0.0384,-0.4562,-0.9756
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",0.0041,0.0053,0.9905,-0.0067,0.001,0.0189,-0.0298,0.6711,1.6841,0.0063,0.3718,0.9128,-0.0489,0.8615,2.1595
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",0.0069,0.0058,0.9872,0.0305,-0.0041,-0.0369,0.0271,0.4612,1.0051,0.0767,0.3038,0.9023,-0.0124,0.7286,1.8155
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",0.0706,0.0024,0.927,-0.0694,0.027,0.0915,-0.058,0.8541,2.8877,0.045,0.7222,2.2475,-0.104,1.3193,3.9627
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",0.0139,0.0232,0.9629,-0.0124,-0.03,0.0776,-0.1688,1.5793,4.9687,-0.0158,1.0351,3.5621,-0.2868,2.345,6.8152
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",0.0017,0.0094,0.9889,0.1488,-1.0956,-2.9755,0.0237,-0.0986,-0.4111,0.2518,-0.7164,-2.1046,-0.0277,0.1701,0.4327
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",0.0016,0.0035,0.9949,0.0121,-0.0015,0.0063,-0.0009,0.3095,0.8169,-0.0031,0.2221,0.6361,-0.0502,0.5048,1.2952
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",0.0081,0.0031,0.9888,0.0183,0.0068,0.0124,-0.0207,0.1375,0.3639,0.0437,0.1084,0.2778,-0.0467,0.4698,1.1218
