key,group,fine,shape,signal,nmse_nvfp4,nmse_nvfp4_4over6,nmse_mixfp4,nmse_mix_4_6,e0m3_mixfp4,e0m3_mix_4_6
model.decoder.layers.0.experts.down_proj,moe_experts,expert_down,128x2816x704,480560.6806640625,0.00899538759215216,0.007556860007674203,0.007614112653637448,0.007291337299427121,0.9124220772646368,0.4611614430323243
model.decoder.layers.0.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,380506.3923339844,0.008993091597473035,0.007551410647584621,0.007652097033217966,0.007285057149000479,0.8710584053769708,0.4339569152216427
model.decoder.layers.0.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,8506.5478515625,0.00873844489338119,0.007551716357918217,0.00836461070028201,0.007522892270200862,0.4496384263038635,0.08023416250944138
model.decoder.layers.0.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,6265.23388671875,0.008902269918423055,0.00754359793266397,0.008000008660531256,0.007416502931643411,0.7316632270812988,0.2586088180541992
model.decoder.layers.0.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,6519.0693359375,0.008927588694495581,0.00755849559237046,0.00797005544468624,0.0074233886328375276,0.7735881805419922,0.2722107470035553
model.decoder.layers.0.self_attn.k_proj.weight,attention,k_proj,2048x2816,7066.9140625,0.009000817209100507,0.007554747050377806,0.007646811545812075,0.0072899162857284995,0.8901811242103577,0.48544034361839294
model.decoder.layers.0.self_attn.o_proj.weight,attention,o_proj,2816x4096,10393.306640625,0.009010149671428783,0.0075537813795894405,0.007541957745209742,0.007241616731245864,0.9133079051971436,0.48779296875
model.decoder.layers.0.self_attn.q_proj.weight,attention,q_proj,4096x2816,12301.5078125,0.008993809729720633,0.007555932583650188,0.007613142928045533,0.007277444820264665,0.905406653881073,0.48073509335517883
model.decoder.layers.0.self_attn.v_proj.weight,attention,v_proj,2048x2816,7069.525390625,0.008957279010446467,0.007544330902031359,0.007752201073765947,0.0073398029963694855,0.8548473119735718,0.36869674921035767
model.decoder.layers.1.experts.down_proj,moe_experts,expert_down,128x2816x704,508496.90966796875,0.009014472212980778,0.007559068266771342,0.007555095439850701,0.007265693923558867,0.925867972895503,0.49926553829573095
model.decoder.layers.1.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,467228.24670410156,0.009001529331809451,0.007558398532917644,0.007674797582672397,0.007322250222135008,0.8992516030557454,0.4324234708910808
model.decoder.layers.1.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,8640.560546875,0.008777177884125267,0.007549433644622575,0.008298639264262143,0.007501479300139445,0.5154958963394165,0.1082988977432251
model.decoder.layers.1.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,6940.37109375,0.00888279185556653,0.007539706566750247,0.00794664814427869,0.007398528542171455,0.7567148804664612,0.2906336188316345
model.decoder.layers.1.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,7086.2236328125,0.008880716645710144,0.007536591858956081,0.007988122344287916,0.007415012045406656,0.7477617263793945,0.2590392529964447
model.decoder.layers.1.self_attn.k_proj.weight,attention,k_proj,2048x2816,6790.90234375,0.008890963174320999,0.0075434434150397104,0.007881196995448874,0.007375920690509074,0.7967862486839294,0.35458096861839294
