model,layer,e0m3_share_mse,e0m3_share_hess,tile_elect_mse,tile_elect_hess,flip_share,maxrms_e0m3,maxrms_e2m1,kurt_e0m3,kurt_e2m1,imp_e0m3,imp_e2m1,rho_gain_maxrms,rho_gain_kurt,rho_hessgain_imp,rho_hess_mse,rho_hess_sqnr,rho_hess_rel,rho_hess_norm,agree_mse,agree_sqnr,agree_rel,tile_elect_sqnr,tile_elect_rel
llama-3.1-8b-local,layers.0.self_attn.q_proj,0.3764,0.4903,0.0182,0.4802,0.303,2.359,2.8277,3.5875,5.2258,0.018103,0.01773,-0.5663,-0.4994,0.0112,0.4512,0.4633,0.4613,0.4545,0.697,0.697,0.697,0.0146,0.0005
llama-3.1-8b-local,layers.0.self_attn.v_proj,0.3685,0.2584,0.0035,0.0009,0.3137,2.1876,2.597,2.9916,4.108,0.014273,0.019182,-0.6243,-0.5388,-0.3727,0.3754,0.3566,0.3588,0.3688,0.6863,0.6863,0.6863,0.0038,0.0002
llama-3.1-8b-local,layers.0.self_attn.o_proj,0.5531,0.5031,0.2596,0.1776,0.1933,1.9793,2.327,2.4045,3.0951,9.6e-05,0.000107,-0.5867,-0.4686,-0.0166,0.6892,0.6577,0.6578,0.6542,0.8067,0.8067,0.8067,0.3573,0.0629
llama-3.1-8b-local,layers.0.mlp.up_proj,0.5507,0.536,0.2594,0.2049,0.0797,1.9829,2.3238,2.413,3.0827,0.009413,0.009566,-0.5983,-0.4791,-0.0448,0.9329,0.9081,0.9088,0.9133,0.9203,0.9203,0.9203,0.3453,0.0569
llama-3.1-8b-local,layers.0.mlp.down_proj,0.5542,0.482,0.2667,0.1001,0.2182,1.9783,2.3198,2.4019,3.0721,4.6e-05,5.1e-05,-0.5992,-0.4791,-0.0747,0.6803,0.6802,0.6792,0.6775,0.7818,0.7818,0.7818,0.3642,0.0641
llama-3.1-8b-local,layers.8.self_attn.q_proj,0.5549,0.5124,0.2878,0.1679,0.1584,1.9781,2.3234,2.4011,3.0815,0.187764,0.217862,-0.5773,-0.4618,-0.0872,0.7576,0.7286,0.7287,0.7286,0.8416,0.8416,0.8416,0.3664,0.0659
llama-3.1-8b-local,layers.8.self_attn.v_proj,0.5442,0.4686,0.2418,0.0569,0.1597,1.9899,2.3269,2.4298,3.0947,0.174368,0.227192,-0.5837,-0.4689,-0.2046,0.7681,0.7517,0.7506,0.7514,0.8403,0.8403,0.8403,0.308,0.0525
llama-3.1-8b-local,layers.8.self_attn.o_proj,0.5648,0.5176,0.343,0.1892,0.1715,1.9722,2.3024,2.3889,3.0154,0.006377,0.006736,-0.5786,-0.4573,-0.0261,0.7512,0.7379,0.7381,0.7333,0.8285,0.8285,0.8285,0.4211,0.0826
llama-3.1-8b-local,layers.8.mlp.up_proj,0.5568,0.5348,0.2876,0.1907,0.0764,1.9771,2.3154,2.3996,3.0589,0.068799,0.073025,-0.597,-0.4766,-0.0736,0.9121,0.8876,0.8885,0.893,0.9236,0.9236,0.9236,0.376,0.0661
llama-3.1-8b-local,layers.8.mlp.down_proj,0.5526,0.5286,0.2769,0.2063,0.1195,1.9786,2.3278,2.4016,3.1016,0.001385,0.001403,-0.5991,-0.4856,-0.0118,0.8826,0.8598,0.8617,0.8622,0.8805,0.8805,0.8805,0.3515,0.061
