model,layer,e0m3_share_mse,e0m3_share_hess,tile_elect_mse,tile_elect_hess,flip_share,maxrms_e0m3,maxrms_e2m1,kurt_e0m3,kurt_e2m1,imp_e0m3,imp_e2m1,rho_gain_maxrms,rho_gain_kurt,rho_hessgain_imp,rho_hess_mse,rho_hess_sqnr,rho_hess_rel,rho_hess_norm,agree_mse,agree_sqnr,agree_rel,tile_elect_sqnr,tile_elect_rel
llama-3.2-1b-ins-local,layers.0.self_attn.q_proj,0.5326,0.522,0.2234,0.3319,0.2066,2.0081,2.3583,2.484,3.2101,0.048079,0.050279,-0.5749,-0.4664,-0.0239,0.6656,0.644,0.6451,0.6427,0.7934,0.7934,0.7934,0.2677,0.0448
llama-3.2-1b-ins-local,layers.0.self_attn.v_proj,0.509,0.415,0.123,0.0171,0.2127,2.0316,2.3855,2.54,3.2892,0.043872,0.052861,-0.5889,-0.4806,-0.2346,0.6809,0.6677,0.6677,0.6662,0.7873,0.7873,0.7873,0.1631,0.0161
llama-3.2-1b-ins-local,layers.0.self_attn.o_proj,0.5421,0.4993,0.2289,0.1785,0.1813,1.983,2.3387,2.4126,3.1339,0.000648,0.000743,-0.5905,-0.4775,-0.0102,0.722,0.698,0.6982,0.6948,0.8187,0.8187,0.8187,0.3195,0.0549
llama-3.2-1b-ins-local,layers.0.mlp.up_proj,0.5591,0.5444,0.3079,0.2369,0.077,1.9765,2.3115,2.4001,3.0455,0.031709,0.032408,-0.5923,-0.4694,-0.0412,0.9345,0.9088,0.9077,0.9134,0.923,0.923,0.923,0.3893,0.0746
llama-3.2-1b-ins-local,layers.0.mlp.down_proj,0.5528,0.4965,0.2617,0.101,0.1735,1.9798,2.3244,2.4046,3.0861,0.000277,0.000316,-0.5992,-0.4817,-0.0895,0.7733,0.7637,0.763,0.7634,0.8265,0.8265,0.8265,0.3511,0.0591
llama-3.2-1b-ins-local,layers.4.self_attn.q_proj,0.5526,0.4823,0.2955,0.1094,0.2053,1.978,2.3293,2.4032,3.1058,0.179933,0.190305,-0.5745,-0.4611,-0.0858,0.7005,0.6875,0.6868,0.6842,0.7947,0.7947,0.7947,0.3611,0.0651
llama-3.2-1b-ins-local,layers.4.self_attn.v_proj,0.5246,0.4081,0.1514,0.0098,0.2118,2.0063,2.3625,2.4741,3.2005,0.173377,0.193525,-0.5977,-0.4818,-0.2051,0.7144,0.7126,0.7126,0.7099,0.7882,0.7882,0.7882,0.2119,0.0298
llama-3.2-1b-ins-local,layers.4.self_attn.o_proj,0.5588,0.5027,0.3069,0.1519,0.1714,1.9767,2.3142,2.3989,3.0505,0.005349,0.00551,-0.5792,-0.4624,-0.0166,0.7429,0.7495,0.7495,0.7479,0.8286,0.8286,0.8286,0.3849,0.0707
llama-3.2-1b-ins-local,layers.4.mlp.up_proj,0.5446,0.5029,0.2377,0.1021,0.1164,1.9854,2.3316,2.4179,3.1114,0.07806,0.08093,-0.5978,-0.4819,-0.0961,0.8875,0.8687,0.8688,0.8707,0.8836,0.8836,0.8836,0.3133,0.0501
llama-3.2-1b-ins-local,layers.4.mlp.down_proj,0.5451,0.5124,0.2383,0.1561,0.1373,1.9814,2.3354,2.4085,3.1253,0.001462,0.001513,-0.6021,-0.4883,-0.023,0.8588,0.8358,0.8361,0.8384,0.8627,0.8627,0.8627,0.3155,0.0502
llama-3.2-1b-ins-local,layers.8.self_attn.q_proj,0.5374,0.4726,0.2317,0.0822,0.1712,1.9911,2.3485,2.4318,3.1747,0.260911,0.293877,-0.5792,-0.472,-0.1207,0.7507,0.7252,0.7238,0.7228,0.8288,0.8288,0.8288,0.2913,0.0496
llama-3.2-1b-ins-local,layers.8.self_attn.v_proj,0.5286,0.4429,0.1763,0.0264,0.1705,2.0034,2.3492,2.463,3.1623,0.248753,0.301784,-0.5962,-0.482,-0.2138,0.7593,0.7481,0.7481,0.7478,0.8295,0.8295,0.8295,0.2446,0.0366
llama-3.2-1b-ins-local,layers.8.self_attn.o_proj,0.5519,0.4731,0.2762,0.0861,0.2007,1.9806,2.3201,2.4079,3.0693,0.016329,0.016575,-0.5815,-0.4638,-0.0178,0.7168,0.7194,0.7202,0.7166,0.7993,0.7993,0.7993,0.348,0.0649
llama-3.2-1b-ins-local,layers.8.mlp.up_proj,0.5408,0.4775,0.2238,0.0571,0.152,1.9901,2.3374,2.4306,3.1281,0.107985,0.115836,-0.6004,-0.4842,-0.1369,0.8183,0.8056,0.8053,0.8078,0.848,0.848,0.848,0.2981,0.043
llama-3.2-1b-ins-local,layers.8.mlp.down_proj,0.5311,0.4892,0.1692,0.0924,0.1635,1.9931,2.3576,2.4336,3.1898,0.002656,0.002823,-0.6121,-0.499,-0.0669,0.8101,0.7939,0.793,0.794,0.8365,0.8365,0.8365,0.2463,0.0307
llama-3.2-1b-ins-local,layers.12.self_attn.q_proj,0.5474,0.4722,0.2582,0.1062,0.2269,1.9817,2.3397,2.4084,3.1362,0.26774,0.302304,-0.5779,-0.4655,-0.1166,0.6253,0.6141,0.6139,0.6108,0.7731,0.7731,0.7731,0.3318,0.0585
llama-3.2-1b-ins-local,layers.12.self_attn.v_proj,0.5125,0.4236,0.1465,0.0225,0.22,1.9999,2.3984,2.452,3.3484,0.253104,0.310146,-0.6217,-0.5173,-0.2213,0.6419,0.6363,0.6363,0.6332,0.78,0.78,0.78,0.2144,0.0322
