model,layer,e0m3_share_mse,e0m3_share_hess,tile_elect_mse,tile_elect_hess,flip_share,maxrms_e0m3,maxrms_e2m1,kurt_e0m3,kurt_e2m1,imp_e0m3,imp_e2m1,rho_gain_maxrms,rho_gain_kurt,rho_hessgain_imp
qwen3-4b,layers.0.self_attn.q_proj,0.5599,0.5442,0.319,0.2806,0.0762,1.9749,2.313,2.3951,3.0518,0.000669,0.000848,-0.5874,-0.4665,-0.043
qwen3-4b,layers.0.self_attn.v_proj,0.5544,0.5412,0.3031,0.2674,0.0743,1.9775,2.3217,2.4009,3.0791,0.000649,0.000871,-0.5973,-0.4784,-0.0538
qwen3-4b,layers.0.self_attn.o_proj,0.5588,0.5158,0.3062,0.1825,0.1404,1.9746,2.3123,2.3963,3.0477,0.000421,0.000498,-0.5852,-0.4638,-0.0285
qwen3-4b,layers.0.mlp.up_proj,0.5618,0.5606,0.3347,0.3483,0.0541,1.9769,2.3102,2.4019,3.0459,0.01343,0.013753,-0.5941,-0.4733,-0.0007
qwen3-4b,layers.0.mlp.down_proj,0.5519,0.4686,0.2766,0.1006,0.2479,1.9793,2.3248,2.4042,3.0858,0.001386,0.001482,-0.5972,-0.48,-0.076
qwen3-4b,layers.8.self_attn.q_proj,0.5594,0.5386,0.3283,0.2963,0.0887,1.9747,2.3177,2.3958,3.0679,0.06307,0.093054,-0.5861,-0.4681,-0.0525
qwen3-4b,layers.8.self_attn.v_proj,0.551,0.5223,0.2912,0.2473,0.0904,1.9801,2.3217,2.4059,3.0798,0.055173,0.100669,-0.5954,-0.4774,-0.115
qwen3-4b,layers.8.self_attn.o_proj,0.5633,0.5377,0.3382,0.2362,0.1094,1.9722,2.3036,2.389,3.0195,0.012592,0.012839,-0.5835,-0.4639,0.0112
qwen3-4b,layers.8.mlp.up_proj,0.5583,0.5492,0.3125,0.2977,0.0382,1.9745,2.3099,2.3946,3.0406,0.146644,0.169266,-0.5929,-0.4713,-0.053
qwen3-4b,layers.8.mlp.down_proj,0.5473,0.516,0.2546,0.1699,0.1392,1.981,2.333,2.4078,3.1152,0.017497,0.0179,-0.6042,-0.4844,-0.0201
qwen3-4b,layers.16.self_attn.q_proj,0.5555,0.5196,0.3059,0.225,0.1333,1.9771,2.3218,2.3992,3.0759,0.14829,0.266028,-0.584,-0.4669,-0.0534
qwen3-4b,layers.16.self_attn.v_proj,0.5436,0.5071,0.2555,0.2047,0.1321,1.984,2.3387,2.4155,3.1312,0.12082,0.291301,-0.5965,-0.4816,-0.1008
qwen3-4b,layers.16.self_attn.o_proj,0.5606,0.5074,0.3198,0.1395,0.1631,1.9753,2.3081,2.3957,3.0319,0.034532,0.036732,-0.5778,-0.4566,-0.046
qwen3-4b,layers.16.mlp.up_proj,0.5538,0.5421,0.2861,0.269,0.0548,1.9794,2.3228,2.4039,3.0793,0.145261,0.200304,-0.598,-0.4772,-0.0621
qwen3-4b,layers.16.mlp.down_proj,0.5316,0.5043,0.1838,0.1234,0.1181,1.9925,2.3537,2.433,3.1729,1.035853,1.668806,-0.6112,-0.4987,-0.0473
qwen3-4b,layers.24.self_attn.q_proj,0.5436,0.531,0.2761,0.2627,0.0633,1.9822,2.346,2.4117,3.1612,1.110805,2.235535,-0.591,-0.4772,-0.0944
qwen3-4b,layers.24.self_attn.v_proj,0.5226,0.5089,0.2164,0.2016,0.0578,1.9971,2.3865,2.4549,3.3139,0.761557,2.54674,-0.6069,-0.4997,-0.1498
qwen3-4b,layers.24.self_attn.o_proj,0.5598,0.5097,0.3164,0.1621,0.1529,1.9759,2.31,2.3985,3.0372,0.116499,0.126521,-0.5805,-0.4591,-0.019
qwen3-4b,layers.24.mlp.up_proj,0.56,0.547,0.3248,0.3008,0.0595,1.9755,2.3133,2.3965,3.0501,0.345775,0.54149,-0.5916,-0.4731,-0.0436
qwen3-4b,layers.24.mlp.down_proj,0.5447,0.487,0.2462,0.1154,0.193,1.9828,2.3373,2.4119,3.1271,0.077224,0.082273,-0.6058,-0.4878,-0.0601
qwen3-4b,layers.32.self_attn.q_proj,0.5497,0.535,0.3214,0.2958,0.0607,1.9792,2.332,2.4054,3.1202,7.149318,15.188545,-0.5852,-0.4683,-0.0892
qwen3-4b,layers.32.self_attn.v_proj,0.5329,0.52,0.276,0.2676,0.0573,1.991,2.3628,2.4381,3.2363,5.129978,17.123556,-0.5976,-0.4898,-0.1487
qwen3-4b,layers.32.self_attn.o_proj,0.5594,0.5111,0.3167,0.1648,0.1536,1.9749,2.3082,2.3957,3.0333,0.303512,0.320657,-0.5836,-0.4626,-0.0263
qwen3-4b,layers.32.mlp.up_proj,0.5644,0.5447,0.3406,0.2896,0.0795,1.9735,2.3039,2.3912,3.0222,0.764684,0.962187,-0.5885,-0.4628,-0.0501
qwen3-4b,layers.32.mlp.down_proj,0.5636,0.4869,0.3325,0.1387,0.2296,1.9725,2.309,2.39,3.0382,0.535301,0.585427,-0.5841,-0.4636,-0.0561
