layer,elect_mse,elect_hess,declined
layers.0.self_attn.q_proj,0.0182,0.4802,0.0044
layers.0.self_attn.v_proj,0.0035,0.0009,0.0034
layers.0.self_attn.o_proj,0.2596,0.1776,0.1372
layers.0.mlp.up_proj,0.2594,0.2049,0.0753
layers.0.mlp.down_proj,0.2667,0.1001,0.192
layers.8.self_attn.q_proj,0.2878,0.1679,0.1656
layers.8.self_attn.v_proj,0.2418,0.0569,0.1902
layers.8.self_attn.o_proj,0.343,0.1892,0.1909
layers.8.mlp.up_proj,0.2876,0.1907,0.1104
layers.8.mlp.down_proj,0.2769,0.2063,0.0997
layers.16.self_attn.q_proj,0.2996,0.1512,0.1878
layers.16.self_attn.v_proj,0.2362,0.0896,0.1672
layers.16.self_attn.o_proj,0.352,0.2206,0.1659
layers.16.mlp.up_proj,0.2932,0.1801,0.1273
layers.16.mlp.down_proj,0.2924,0.164,0.1529
layers.24.self_attn.q_proj,0.2804,0.1795,0.1596
layers.24.self_attn.v_proj,0.2261,0.0809,0.1636
layers.24.self_attn.o_proj,0.35,0.2357,0.1429
layers.24.mlp.up_proj,0.3344,0.2696,0.0841
layers.24.mlp.down_proj,0.3454,0.1692,0.2075
