layer,elect_mse,elect_hess,declined
layers.0.self_attn.q_proj,0.319,0.2806,0.0633
layers.0.self_attn.v_proj,0.3031,0.2674,0.0574
layers.0.self_attn.o_proj,0.3062,0.1825,0.1525
layers.0.mlp.up_proj,0.3347,0.3483,0.0224
layers.0.mlp.down_proj,0.2766,0.1006,0.2086
layers.8.self_attn.q_proj,0.3283,0.2963,0.0576
layers.8.self_attn.v_proj,0.2912,0.2473,0.0611
layers.8.self_attn.o_proj,0.3382,0.2362,0.1278
layers.8.mlp.up_proj,0.3125,0.2977,0.0237
layers.8.mlp.down_proj,0.2546,0.1699,0.1123
layers.16.self_attn.q_proj,0.3059,0.225,0.111
layers.16.self_attn.v_proj,0.2555,0.2047,0.0838
layers.16.self_attn.o_proj,0.3198,0.1395,0.1994
layers.16.mlp.up_proj,0.2861,0.269,0.0315
layers.16.mlp.down_proj,0.1838,0.1234,0.0766
layers.24.self_attn.q_proj,0.2761,0.2627,0.0312
layers.24.self_attn.v_proj,0.2164,0.2016,0.0275
layers.24.self_attn.o_proj,0.3164,0.1621,0.1733
layers.24.mlp.up_proj,0.3248,0.3008,0.0387
layers.24.mlp.down_proj,0.2462,0.1154,0.1565
layers.32.self_attn.q_proj,0.3214,0.2958,0.0404
layers.32.self_attn.v_proj,0.276,0.2676,0.0236
layers.32.self_attn.o_proj,0.3167,0.1648,0.1695
layers.32.mlp.up_proj,0.3406,0.2896,0.0677
layers.32.mlp.down_proj,0.3325,0.1387,0.2285
