model,policy,dataset,ppl,baseline_ppl,mean_nll,two_se,ppl_delta,selected_e0m3_type_blocks,selected_fraction,calibration_sequences,reused,report
qwen4b,four_over_six,c4,21.928242974312177,21.928242974312177,0.0,0.0,0.0,0,0.0,0,True,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,four_over_six,wiki,19.414896584239752,19.414896584239752,0.0,0.0,0.0,0,0.0,0,True,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math16,c4,21.928242974312177,21.928242974312177,0.0,0.0,0.0,0,0.0,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math16,wiki,19.414896584239752,19.414896584239752,0.0,0.0,0.0,0,0.0,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math16,c4,21.410291268638332,21.928242974312177,-0.023903732653707266,0.003136165244188217,-0.5179517056738447,256,3.6075036075036075e-05,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math16,wiki,18.50750035940798,19.414896584239752,-0.04786456182394942,0.0035355513305731887,-0.9073962248317713,256,3.6075036075036075e-05,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math32,c4,21.909816968715816,21.928242974312177,-0.0008406396955251694,0.00015863080383026658,-0.01842600559636054,1,1.4091810966810967e-07,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math32,wiki,19.39705880548864,19.414896584239752,-0.0009191899675212495,0.00011439629518715348,-0.0178377787511117,1,1.4091810966810967e-07,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math32,c4,21.190370368187775,21.928242974312177,-0.03422858892008662,0.0031322744471430253,-0.7378726061244016,256,3.6075036075036075e-05,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math32,wiki,18.12900959117282,19.414896584239752,-0.0685272414798606,0.003676712947706968,-1.2858869930669314,256,3.6075036075036075e-05,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math64,c4,21.909816968715816,21.928242974312177,-0.0008406396955251694,0.00015863080383026658,-0.01842600559636054,1,1.4091810966810967e-07,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math64,wiki,19.39705880548864,19.414896584239752,-0.0009191899675212495,0.00011439629518715348,-0.0178377787511117,1,1.4091810966810967e-07,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math64,c4,21.119963019837584,21.928242974312177,-0.03755673160776496,0.003078308955328175,-0.8082799544745924,256,3.6075036075036075e-05,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_math64,wiki,18.02061392175088,19.414896584239752,-0.07452431606919799,0.00370165378967379,-1.3942826624888731,256,3.6075036075036075e-05,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_code16,c4,21.928242974312177,21.928242974312177,0.0,0.0,0.0,0,0.0,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_code16,wiki,19.414896584239752,19.414896584239752,0.0,0.0,0.0,0,0.0,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
