model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878
llama-3.1-8b,"layers.0.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.3724,0.7984,0.0894,0.0246,0.886
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346
llama-3.1-8b,"layers.0.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5502,0.5608,0.0356,0.0011,0.9633
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441
llama-3.1-8b,"layers.1.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5174,0.5972,0.0379,0.0108,0.9513
llama-3.1-8b,"layers.1.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.4961,0.6405,0.038,0.0095,0.9525
llama-3.1-8b,"layers.1.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.536,0.5429,0.0042,0.0029,0.9929
llama-3.1-8b,"layers.1.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5575,0.5728,0.0183,0.0029,0.9788
llama-3.1-8b,"layers.1.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5591,0.5643,0.098,0.0007,0.9012
llama-3.1-8b,"layers.1.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5571,0.5612,0.0441,0.0008,0.9551
llama-3.1-8b,"layers.1.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5566,0.5546,0.0216,0.0023,0.9761
llama-3.1-8b,"layers.2.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5335,0.5963,0.0561,0.0064,0.9375
llama-3.1-8b,"layers.2.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5232,0.6223,0.065,0.0117,0.9233
llama-3.1-8b,"layers.2.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5438,0.5428,0.0045,0.0026,0.993
llama-3.1-8b,"layers.2.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5583,0.5577,0.0125,0.0032,0.9843
llama-3.1-8b,"layers.2.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5608,0.5601,0.0261,0.0008,0.9731
llama-3.1-8b,"layers.2.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5582,0.5549,0.0162,0.0009,0.9829
llama-3.1-8b,"layers.2.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5593,0.5506,0.0185,0.0019,0.9796
llama-3.1-8b,"layers.3.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5491,0.5624,0.0158,0.0028,0.9815
llama-3.1-8b,"layers.3.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5452,0.559,0.0133,0.0037,0.983
llama-3.1-8b,"layers.3.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5538,0.5478,0.0072,0.0021,0.9907
llama-3.1-8b,"layers.3.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5659,0.5566,0.0135,0.0007,0.9857
llama-3.1-8b,"layers.3.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5629,0.5655,0.0336,0.0007,0.9657
llama-3.1-8b,"layers.3.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5588,0.5564,0.0167,0.001,0.9823
