model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.7981,1.7305,0.2971,0.6928,1.8188,3.9886,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.2822,0.7797,0.6275,0.0205,0.0566,0.0456,0.0361,0.0111,marginal,9.4
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,argmin,3.2089,4.2415,1.3823,1.732,6.7719,9.1309,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.4853,0.9653,0.7952,0.0353,0.0701,0.0578,0.0349,0.0124,marginal,8.2
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.1377,0.964,0.0531,0.3667,0.354,2.478,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0424,0.3827,0.3024,0.0035,0.0314,0.0248,0.0279,0.0066,marginal,1.5
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,argmin,0.9296,1.9371,0.3868,0.8369,2.0386,4.6143,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0928,0.4676,0.3614,0.0076,0.0383,0.0296,0.0307,0.0087,spectral1,1.9
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,9.5095,11.4893,3.2609,3.7121,25.9644,31.0547,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,3.5622,4.3738,4.3036,0.1773,0.2178,0.2143,0.0404,0.0035,marginal,11.9
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,argmin,21.349,21.4601,8.0874,7.6574,53.4393,54.0588,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,4.6019,5.2501,5.1094,0.2291,0.2614,0.2544,0.0323,0.007,marginal,10.5
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,h1.5,9.51,10.2871,3.1988,3.4625,25.9373,28.1233,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,3.3509,3.6749,3.6086,0.164,0.1799,0.1766,0.0159,0.0032,marginal,35.0
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,argmin,22.6079,22.383,8.5428,8.3746,56.1471,56.0381,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,4.4814,4.7329,4.675,0.2193,0.2316,0.2288,0.0123,0.0028,marginal,47.0
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h1.5,9.7176,11.1843,3.2193,3.6958,26.6654,30.7678,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,3.419,4.0208,3.9472,0.1681,0.1977,0.1941,0.0296,0.0036,marginal,21.4
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,argmin,22.5155,22.1787,8.365,8.1054,56.2378,56.2055,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,4.5234,4.9718,4.8946,0.2224,0.2445,0.2407,0.022,0.0038,marginal,22.1
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.568,11.8754,3.2899,3.8459,28.7811,32.4219,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,3.5692,4.293,4.7619,0.1756,0.2112,0.2342,0.0356,-0.0231,marginal,12.3
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,argmin,23.3089,22.9932,8.3161,8.0364,58.1268,58.0353,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,4.6567,5.2097,5.5874,0.2291,0.2563,0.2748,0.0272,-0.0186,marginal,11.3
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,h1.5,8.9256,11.5459,2.7937,3.8458,24.1821,31.4941,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,2.8838,4.1045,4.3596,0.1445,0.2056,0.2184,0.0612,-0.0128,marginal,3.0
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,argmin,21.9349,21.5427,7.9927,7.5921,53.9795,54.4556,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,3.9735,4.8998,5.155,0.1991,0.2455,0.2583,0.0464,-0.0128,marginal,3.1
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,h1.5,12.545,14.3136,4.1255,4.619,34.3048,38.9252,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,4.8251,5.5935,5.6161,0.2269,0.263,0.2641,0.0361,-0.0011,random1,10.6
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,argmin,25.7998,25.3945,9.4249,8.9559,64.917,64.3707,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,6.0091,6.5639,6.593,0.2826,0.3087,0.31,0.0261,-0.0014,spectral1,11.5
