model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,purity_count_ct,purity_mass_ct,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.63463,0.63774,0.74412,0.74932,0.62998,0.74711,0.7981,1.7305,0.2971,0.6928,1.8188,3.9886,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.2822,0.7797,0.6275,0.0205,0.0566,0.0456,0.0361,0.0111,marginal,8.7
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h2,0.63463,0.63698,0.74412,0.74803,0.63035,0.74636,0.274,0.8267,0.0952,0.3201,0.6561,1.9989,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.1446,0.5647,0.4721,0.0105,0.041,0.0343,0.0305,0.0067,marginal,8.8
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h3,0.63463,0.63653,0.74412,0.74696,0.62984,0.74517,0.049,0.3199,0.0109,0.1162,0.1251,0.8423,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.0329,0.3539,0.3162,0.0024,0.0257,0.023,0.0233,0.0027,marginal,10.5
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,v0.6,0.63463,0.63799,0.74412,0.74953,0.63078,0.7445,0.2732,0.6905,0.1322,0.3699,0.7843,1.9897,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.085,0.4266,0.2072,0.0062,0.031,0.0151,0.0248,0.0159,marginal,8.6
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,v0.7,0.63463,0.63648,0.74412,0.74675,0.63054,0.7438,0.0129,0.1347,0.0051,0.0757,0.0488,0.5066,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.0067,0.2005,0.1093,0.0005,0.0146,0.0079,0.0141,0.0066,marginal,10.4
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,v0.75,0.63463,0.63572,0.74412,0.74565,0.62993,0.74264,0.0011,0.0504,0.0003,0.024,0.0061,0.2411,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.0004,0.1118,0.0458,0.0,0.0081,0.0033,0.0081,0.0048,random1,9.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.6377,0.64251,0.75246,0.75977,0.63853,0.75582,0.1377,0.964,0.0531,0.3667,0.354,2.478,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0424,0.3827,0.3123,0.0035,0.0314,0.0256,0.0279,0.0058,marginal,1.8
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h2,0.6377,0.64235,0.75246,0.75976,0.63831,0.75463,0.0366,0.5428,0.0137,0.184,0.0977,1.5137,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0175,0.3049,0.2582,0.0014,0.025,0.0212,0.0236,0.0038,marginal,2.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h3,0.6377,0.64036,0.75246,0.75645,0.63736,0.753,0.0,0.1831,0.0,0.0589,0.0,0.6226,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0,0.1744,0.1415,0.0,0.0143,0.0116,0.0143,0.0027,marginal,1.8
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,v0.6,0.6377,0.64293,0.75246,0.759,0.6398,0.75446,0.1213,0.6824,0.0618,0.3096,0.3418,2.0264,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.031,0.3211,0.2458,0.0025,0.0263,0.0201,0.0238,0.0062,spectral1,2.1
