model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,argmin,3.2089,5.8887,1.3823,1.8545,6.7719,13.7573,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.4853,2.3772,2.8148,0.0353,0.1727,0.2045,0.1374,-0.0318,spectral2,7.8
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.7981,3.2885,0.2971,1.0122,1.8188,8.7311,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.2822,2.2873,2.63,0.0205,0.1661,0.191,0.1457,-0.0249,spectral2,10.2
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,argmin,0.9296,2.6016,0.3868,0.8732,2.0386,6.9946,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0928,1.2725,1.1624,0.0076,0.1043,0.0953,0.0967,0.009,spectral2,2.5
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.1377,1.7471,0.0531,0.558,0.354,5.2856,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0424,1.2785,1.1217,0.0035,0.1048,0.0919,0.1013,0.0128,spectral2,3.8
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,argmin,21.349,20.7243,8.0874,6.6107,53.4393,56.0333,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,4.6019,7.4787,7.4468,0.2291,0.3723,0.3708,0.1432,0.0016,marginal,10.8
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,9.5095,12.876,3.2609,3.846,25.9644,38.0981,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,3.5622,6.9388,6.8439,0.1773,0.3455,0.3407,0.1681,0.0047,marginal,9.9
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,argmin,22.6079,20.4441,8.5428,6.8497,56.1471,56.2081,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,4.4814,7.4579,7.3665,0.2193,0.365,0.3605,0.1457,0.0045,marginal,32.6
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,h1.5,9.51,11.7346,3.1988,3.5572,25.9373,36.4275,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,3.3509,6.7548,6.6985,0.164,0.3306,0.3278,0.1666,0.0028,marginal,32.8
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,argmin,22.5155,22.5512,8.365,7.908,56.2378,58.2833,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,4.5234,5.7232,5.4521,0.2224,0.2814,0.2681,0.059,0.0133,marginal,25.9
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h1.5,9.7176,12.9185,3.2193,4.1611,26.6654,36.0936,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,3.419,4.8869,4.612,0.1681,0.2403,0.2268,0.0722,0.0135,marginal,23.2
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,argmin,23.3089,20.6671,8.3161,6.69,58.1268,56.2775,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,4.6567,7.5579,7.9991,0.2291,0.3718,0.3935,0.1427,-0.0217,spectral2,9.9
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.568,13.5895,3.2899,4.0218,28.7811,39.9445,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,3.5692,7.0273,7.3913,0.1756,0.3457,0.3636,0.1701,-0.0179,spectral2,9.5
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,argmin,21.9349,19.9181,7.9927,6.737,53.9795,53.2104,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,3.9735,6.528,6.6626,0.1991,0.3271,0.3338,0.128,-0.0067,spectral2,3.2
