model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.4853,2.4196,2.8524,0.0353,0.1758,0.2072,0.1405,-0.0314,spectral2,8.2
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.2822,2.2458,2.6513,0.0205,0.1631,0.1926,0.1426,-0.0295,spectral2,9.3
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0928,1.2816,1.1666,0.0076,0.105,0.0956,0.0974,0.0094,spectral2,3.1
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0424,1.2932,1.1447,0.0035,0.106,0.0938,0.1025,0.0122,spectral2,3.9
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,4.6019,7.4787,7.4468,0.2291,0.3723,0.3708,0.1432,0.0016,marginal,9.4
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,3.5622,6.9388,6.8439,0.1773,0.3455,0.3407,0.1681,0.0047,marginal,8.9
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,4.4814,7.4579,7.3854,0.2193,0.365,0.3615,0.1457,0.0035,marginal,30.6
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,3.3509,6.7548,6.7079,0.164,0.3306,0.3283,0.1666,0.0023,marginal,31.8
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,4.5234,5.7232,5.4521,0.2224,0.2814,0.2681,0.059,0.0133,marginal,26.1
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,3.419,4.8869,4.612,0.1681,0.2403,0.2268,0.0722,0.0135,marginal,23.1
