model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,purity_count_ct,purity_mass_ct,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.63463,0.64776,0.74412,0.77133,0.64017,0.78444,0.7981,4.5113,0.2971,1.325,1.8188,10.9283,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,42.2662,44.2031,2.7685,0.0205,0.1659,0.2011,0.1454,-0.0352,spectral2,7.7
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.6377,0.65195,0.75246,0.77742,0.64883,0.77275,0.1377,2.179,0.0531,0.7058,0.354,6.0547,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,37.9172,39.1496,1.1255,0.0035,0.1033,0.0922,0.0999,0.0111,spectral2,2.8
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,0.58317,0.60592,0.61318,0.67528,0.60151,0.68151,9.5095,15.335,3.2609,4.7073,25.9644,43.5791,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,26.1991,29.0759,6.9759,0.1773,0.3477,0.3473,0.1704,0.0004,marginal,8.5
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,h1.5,0.58146,0.61094,0.59884,0.67149,0.60995,0.66982,9.51,15.418,3.1988,4.902,25.9373,44.5382,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,23.8039,26.7804,6.8474,0.164,0.3395,0.3351,0.1755,0.0044,marginal,27.9
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h1.5,0.58296,0.59334,0.60384,0.62847,0.59074,0.62706,9.7176,12.6504,3.2193,4.0559,26.6654,35.396,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,24.7657,25.9655,4.5582,0.1681,0.2366,0.2241,0.0685,0.0125,marginal,22.9
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.58366,0.60715,0.60652,0.67689,0.60143,0.68727,10.568,15.5064,3.2899,4.6805,28.7811,44.1345,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,25.2051,28.0754,7.5624,0.1756,0.3433,0.372,0.1678,-0.0287,spectral2,8.4
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.57895,0.60088,0.59812,0.66073,0.59818,0.66288,8.9256,13.7947,2.7937,4.3117,24.1821,38.9038,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,23.7938,26.3699,6.0872,0.1445,0.298,0.305,0.1535,-0.007,spectral2,2.5
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,h1.5,0.58825,0.6106,0.6064,0.67203,0.60965,0.67426,12.545,17.3609,4.1255,5.3043,34.3048,49.5331,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,23.6843,26.3767,8.2336,0.2269,0.3834,0.3872,0.1565,-0.0038,spectral2,8.5
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,h1.5,0.58414,0.61343,0.60105,0.67263,0.61186,0.67084,10.5006,16.0596,3.5332,5.1004,28.7641,46.6997,heade0,mse,0.5568,0.5521,0.0156,0.001,0.9834,20.7298,23.8708,26.8152,7.2158,0.1813,0.3538,0.3481,0.1726,0.0058,marginal,28.1
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,h1.5,0.58235,0.594,0.60148,0.6318,0.59014,0.62537,10.1838,12.5964,3.4138,4.2894,27.6873,35.2382,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,24.2687,25.5007,4.8546,0.1766,0.2469,0.2346,0.0702,0.0123,marginal,21.3
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.58465,0.6081,0.60561,0.67399,0.60285,0.6826,10.9913,15.7048,3.4729,4.7894,29.9622,44.7968,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,24.5818,27.3633,7.5353,0.1839,0.345,0.3677,0.1611,-0.0228,spectral2,8.8
