model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.3764,0.7523,0.0353,0.175,0.2057,0.1398,-0.0306,spectral2,8.8
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.3764,0.7523,0.0205,0.1667,0.1915,0.1462,-0.0249,spectral2,10.4
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.3685,0.7561,0.0076,0.107,0.0957,0.0994,0.0113,spectral2,3.2
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.3685,0.7561,0.0035,0.1056,0.0961,0.1021,0.0095,spectral2,4.1
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5531,0.5807,0.2291,0.3723,0.3708,0.1432,0.0016,marginal,10.3
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5531,0.5807,0.1773,0.3455,0.3407,0.1681,0.0047,marginal,9.6
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5507,0.549,0.2193,0.365,0.3606,0.1457,0.0044,marginal,31.7
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5507,0.549,0.164,0.3306,0.3283,0.1666,0.0023,marginal,33.6
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5542,0.5612,0.2224,0.2814,0.2681,0.059,0.0133,marginal,28.4
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5542,0.5612,0.1681,0.2403,0.2268,0.0722,0.0135,marginal,23.7
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5549,0.566,0.2291,0.3722,0.3935,0.1431,-0.0213,spectral2,10.6
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5549,0.566,0.1756,0.3451,0.3668,0.1695,-0.0217,spectral2,9.6
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.5442,0.5433,0.1991,0.3262,0.3325,0.1271,-0.0063,spectral2,2.9
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.5442,0.5433,0.1445,0.2959,0.3052,0.1514,-0.0093,spectral2,2.9
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5648,0.5557,0.2826,0.4075,0.4115,0.125,-0.0039,spectral2,10.7
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5648,0.5557,0.2269,0.3797,0.3787,0.1528,0.001,spectral2,10.1
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5568,0.5521,0.2376,0.3796,0.374,0.142,0.0056,marginal,32.1
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5568,0.5521,0.1813,0.3452,0.3413,0.1639,0.0039,marginal,33.5
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5526,0.5546,0.2324,0.292,0.2794,0.0595,0.0126,marginal,25.6
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5526,0.5546,0.1766,0.2487,0.2357,0.0721,0.013,marginal,23.7
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5567,0.5578,0.2369,0.3726,0.3915,0.1357,-0.0189,spectral2,10.0
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5567,0.5578,0.1839,0.3479,0.3672,0.164,-0.0193,spectral2,10.0
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.54,0.5855,0.2149,0.3197,0.2924,0.1048,0.0273,spectral1,2.8
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.54,0.5855,0.1626,0.2871,0.2631,0.1245,0.024,spectral1,2.8
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5668,0.5588,0.2887,0.412,0.4124,0.1234,-0.0004,spectral2,10.3
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5668,0.5588,0.2322,0.382,0.3799,0.1498,0.0021,spectral2,9.3
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5569,0.5491,0.2422,0.3814,0.3785,0.1392,0.003,marginal,32.5
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5569,0.5491,0.1852,0.3478,0.3453,0.1626,0.0025,marginal,33.2
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5563,0.5527,0.2419,0.2991,0.2871,0.0572,0.012,marginal,23.9
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5563,0.5527,0.1858,0.2559,0.2438,0.0701,0.0121,marginal,22.1
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5534,0.565,0.2369,0.3702,0.3685,0.1334,0.0017,marginal,11.1
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5534,0.565,0.1839,0.3423,0.3396,0.1584,0.0026,marginal,10.3
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.539,0.5716,0.1974,0.3114,0.2971,0.114,0.0143,marginal,3.1
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.539,0.5716,0.1485,0.2777,0.2666,0.1292,0.0111,spectral1,2.9
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5669,0.5563,0.2767,0.3976,0.3973,0.1209,0.0004,spectral2,10.9
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5669,0.5563,0.2191,0.3627,0.3646,0.1436,-0.0019,spectral2,9.9
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5646,0.5554,0.2675,0.4004,0.3986,0.1328,0.0018,spectral2,31.5
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5646,0.5554,0.2095,0.367,0.3654,0.1576,0.0016,spectral2,32.5
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5665,0.5519,0.2748,0.3204,0.3187,0.0456,0.0017,marginal,26.1
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5665,0.5519,0.2171,0.2762,0.2741,0.0591,0.0021,marginal,22.3
