model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,argmin,3.2089,6.0512,1.3823,1.8959,6.7719,14.0472,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.4853,2.3914,2.8738,0.0353,0.1737,0.2088,0.1385,-0.035,spectral2,7.9
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.7981,3.3645,0.2971,1.0224,1.8188,8.8348,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.2822,2.2882,2.6479,0.0205,0.1662,0.1923,0.1457,-0.0261,spectral2,9.3
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h3,0.049,1.2282,0.0109,0.3229,0.1251,3.8544,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.0329,1.5893,2.0643,0.0024,0.1154,0.15,0.1131,-0.0345,spectral2,9.8
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h5,0.0094,0.4015,0.002,0.1269,0.0214,1.4557,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.0103,0.9261,1.0691,0.0007,0.0673,0.0777,0.0665,-0.0104,spectral2,10.8
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.9
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,argmin,0.9296,2.6222,0.3868,0.8849,2.0386,7.0435,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0928,1.2821,1.1732,0.0076,0.1051,0.0961,0.0975,0.0089,spectral2,3.1
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.1377,1.7052,0.0531,0.5323,0.354,5.1392,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0424,1.2675,1.1267,0.0035,0.1039,0.0923,0.1004,0.0115,spectral2,3.5
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h3,0.0,0.5062,0.0,0.1545,0.0,1.9653,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0,0.764,0.6077,0.0,0.0626,0.0498,0.0626,0.0128,spectral2,3.9
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h5,0.0,0.0389,0.0,0.0115,0.0,0.2319,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0,0.1564,0.0999,0.0,0.0128,0.0082,0.0128,0.0046,identity,3.6
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.3
