model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",1x64,h1.5,6.8928,7.2776,1.6086,1.6553,20.4021,21.7106,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,4.8642,5.5357,6.3948,0.3533,0.4021,0.4645,0.0488,-0.0624,spectral2,78.4
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",1x128,h1.5,4.626,5.3179,1.3195,1.5247,12.1063,13.9458,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,2.2865,2.9605,3.5337,0.1661,0.2151,0.2567,0.049,-0.0416,marginal,78.2
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x16,h1.5,4.8665,4.8665,1.4068,1.4068,12.8487,12.8487,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,2.7118,2.7118,3.069,0.197,0.197,0.2229,0.0,-0.0259,identity,1.2
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.7981,1.7305,0.2971,0.6928,1.8188,3.9886,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.2822,0.7797,0.6361,0.0205,0.0566,0.0462,0.0361,0.0104,marginal,9.7
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",1x64,h1.5,5.3799,5.5912,1.2598,1.3104,16.2643,18.0588,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,3.3688,4.153,4.2762,0.2761,0.3404,0.3505,0.0643,-0.0101,marginal,14.6
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",1x128,h1.5,2.8629,3.6491,0.8179,1.0859,7.5836,10.2081,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,1.2106,1.9307,1.9465,0.0992,0.1582,0.1595,0.059,-0.0013,marginal,15.7
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x16,h1.5,2.89,2.89,0.8878,0.8878,7.9742,7.9742,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,1.415,1.415,1.2532,0.116,0.116,0.1027,0.0,0.0133,identity,0.3
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.1377,0.964,0.0531,0.3667,0.354,2.478,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0424,0.3827,0.3024,0.0035,0.0314,0.0248,0.0279,0.0066,marginal,1.5
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",1x64,h1.5,12.1213,13.0746,2.6615,2.546,45.2759,47.2855,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,10.6209,11.8059,11.816,0.5288,0.5878,0.5883,0.059,-0.0005,spectral2,87.2
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",1x128,h1.5,12.6128,13.9018,3.3475,3.4008,40.2779,43.1496,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,7.5184,8.642,8.6877,0.3743,0.4303,0.4325,0.0559,-0.0023,spectral2,108.5
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x16,h1.5,12.604,12.604,3.3781,3.3781,39.7491,39.7491,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,7.9007,7.9007,8.2162,0.3933,0.3933,0.4091,0.0,-0.0157,identity,1.3
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,9.5095,11.4893,3.2609,3.7121,25.9644,31.0547,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,3.5622,4.3738,4.3036,0.1773,0.2178,0.2143,0.0404,0.0035,marginal,10.7
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",1x64,h1.5,12.1068,12.1165,2.7432,2.7281,44.8329,45.2826,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,10.8,11.0314,11.0117,0.5286,0.5399,0.539,0.0113,0.001,spectral1,289.0
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",1x128,h1.5,12.5987,12.7204,3.4933,3.5173,39.8542,40.5675,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,7.6719,7.9193,7.8502,0.3755,0.3876,0.3842,0.0121,0.0034,marginal,371.4
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x16,h1.5,12.5324,12.5324,3.4725,3.4725,39.6175,39.6175,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,7.625,7.625,7.6026,0.3732,0.3732,0.3721,0.0,0.0011,identity,3.5
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,h1.5,9.51,10.2871,3.1988,3.4625,25.9373,28.1233,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,3.3509,3.6749,3.6086,0.164,0.1799,0.1766,0.0159,0.0032,marginal,30.5
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",1x64,h1.5,12.2304,12.231,2.7203,2.6974,45.5573,46.3491,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,10.7933,11.2224,11.2569,0.5308,0.5519,0.5536,0.0211,-0.0017,spectral1,110.8
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",1x128,h1.5,12.8579,13.1407,3.4788,3.5452,40.9154,42.315,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,7.708,8.1729,8.1275,0.379,0.4019,0.3997,0.0229,0.0022,marginal,104.5
