model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.3764,0.7523,0.0353,0.1762,0.2069,0.141,-0.0307,spectral2,9.1
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.3764,0.7523,0.0205,0.1612,0.1918,0.1407,-0.0306,spectral2,9.7
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.3764,0.7523,0.0001,0.0538,0.0302,0.0537,0.0236,spectral2,6.6
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.3764,0.7523,0.0,0.031,0.0122,0.031,0.0188,spectral2,5.6
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.3685,0.7561,0.0076,0.1057,0.0984,0.0981,0.0073,spectral2,3.7
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.3685,0.7561,0.0035,0.1036,0.0923,0.1002,0.0113,spectral2,4.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",32x128,argmin,heade0,mse,0.3685,0.7561,0.0,0.0268,0.0,0.0268,0.0268,spectral2,1.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",32x128,h1.5,heade0,mse,0.3685,0.7561,0.0,0.007,0.0,0.007,0.007,spectral2,0.3
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5531,0.5807,0.2291,0.3723,0.3708,0.1432,0.0016,marginal,11.2
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5531,0.5807,0.1773,0.3455,0.3407,0.1681,0.0047,marginal,10.8
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5531,0.5807,0.104,0.2652,0.2543,0.1612,0.0109,marginal,6.5
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5531,0.5807,0.0194,0.1999,0.1877,0.1805,0.0122,marginal,7.9
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5507,0.549,0.2193,0.365,0.361,0.1457,0.004,marginal,33.5
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5507,0.549,0.164,0.3306,0.3285,0.1666,0.0022,marginal,33.5
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",32x128,argmin,heade0,mse,0.5507,0.549,0.0996,0.2639,0.2591,0.1643,0.0048,spectral2,17.4
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",32x128,h1.5,heade0,mse,0.5507,0.549,0.0118,0.1738,0.1701,0.162,0.0037,marginal,19.5
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5542,0.5612,0.2224,0.2814,0.2681,0.059,0.0133,marginal,27.2
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5542,0.5612,0.1681,0.2403,0.2268,0.0722,0.0135,marginal,26.6
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",32x128,argmin,heade0,mse,0.5542,0.5612,0.0966,0.1993,0.1718,0.1027,0.0275,marginal,21.1
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",32x128,h1.5,heade0,mse,0.5542,0.5612,0.0139,0.1145,0.1072,0.1006,0.0074,marginal,19.4
llama-3.1-8b,"layers.4.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5495,0.5728,0.2358,0.3715,0.3763,0.1357,-0.0048,marginal,11.2
llama-3.1-8b,"layers.4.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5495,0.5728,0.1827,0.3451,0.3502,0.1624,-0.0051,spectral2,10.8
llama-3.1-8b,"layers.4.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5495,0.5728,0.1145,0.2662,0.2599,0.1518,0.0063,marginal,6.7
llama-3.1-8b,"layers.4.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5495,0.5728,0.0229,0.2017,0.1925,0.1788,0.0092,spectral2,7.8
llama-3.1-8b,"layers.4.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.5511,0.5439,0.2202,0.3407,0.3443,0.1205,-0.0036,spectral2,3.1
llama-3.1-8b,"layers.4.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.5511,0.5439,0.1637,0.3108,0.3181,0.1471,-0.0073,spectral2,2.8
llama-3.1-8b,"layers.4.self_attn.v_proj (1024, 4096)",32x128,argmin,heade0,mse,0.5511,0.5439,0.1046,0.2313,0.2399,0.1267,-0.0086,spectral2,1.7
llama-3.1-8b,"layers.4.self_attn.v_proj (1024, 4096)",32x128,h1.5,heade0,mse,0.5511,0.5439,0.0153,0.1787,0.1869,0.1634,-0.0082,spectral2,1.9
llama-3.1-8b,"layers.4.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5623,0.5562,0.2773,0.4032,0.403,0.1259,0.0002,spectral1,10.2
llama-3.1-8b,"layers.4.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5623,0.5562,0.2211,0.3724,0.3728,0.1513,-0.0003,spectral1,9.4
llama-3.1-8b,"layers.4.self_attn.o_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5623,0.5562,0.1789,0.302,0.3045,0.1231,-0.0025,marginal,5.9
llama-3.1-8b,"layers.4.self_attn.o_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5623,0.5562,0.056,0.2445,0.2528,0.1885,-0.0083,marginal,6.9
llama-3.1-8b,"layers.4.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5557,0.5608,0.2333,0.3817,0.3714,0.1484,0.0103,marginal,31.5
llama-3.1-8b,"layers.4.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5557,0.5608,0.1781,0.3476,0.3387,0.1695,0.0089,marginal,33.6
llama-3.1-8b,"layers.4.mlp.up_proj (14336, 4096)",32x128,argmin,heade0,mse,0.5557,0.5608,0.1147,0.2848,0.2718,0.1701,0.013,marginal,16.0
llama-3.1-8b,"layers.4.mlp.up_proj (14336, 4096)",32x128,h1.5,heade0,mse,0.5557,0.5608,0.018,0.1963,0.1807,0.1783,0.0157,marginal,20.1
llama-3.1-8b,"layers.4.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5566,0.5563,0.2386,0.2993,0.2848,0.0607,0.0145,marginal,28.1
llama-3.1-8b,"layers.4.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5566,0.5563,0.1824,0.2556,0.2415,0.0732,0.0141,marginal,22.8
llama-3.1-8b,"layers.4.mlp.down_proj (4096, 14336)",32x128,argmin,heade0,mse,0.5566,0.5563,0.1236,0.2197,0.1958,0.0961,0.0239,marginal,18.0
llama-3.1-8b,"layers.4.mlp.down_proj (4096, 14336)",32x128,h1.5,heade0,mse,0.5566,0.5563,0.0204,0.1358,0.1227,0.1153,0.0131,marginal,15.9
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5549,0.566,0.2291,0.3729,0.3935,0.1439,-0.0205,spectral2,10.7
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5549,0.566,0.1756,0.3451,0.3668,0.1695,-0.0217,spectral2,9.9
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5549,0.566,0.1147,0.2578,0.2753,0.1431,-0.0176,marginal,5.6
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5549,0.566,0.0219,0.1959,0.2122,0.174,-0.0163,spectral2,7.4
