model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
qwen3-4b,"layers.0.self_attn.q_proj (4096, 2560)",8x64,h1.5,11.6371,12.9288,3.7675,4.198,31.8994,35.3809,heade0,mse,0.5599,0.5645,0.0233,0.0043,0.9724,20.7166,4.2834,4.8155,4.6451,0.2068,0.2324,0.2242,0.0257,0.0082,marginal,8.4
qwen3-4b,"layers.0.self_attn.v_proj (1024, 2560)",8x64,h1.5,10.9937,13.3679,3.658,4.4856,30.3125,36.9531,heade0,mse,0.5544,0.5579,0.0099,0.0078,0.9823,20.6916,4.0969,5.0339,4.575,0.198,0.2433,0.2211,0.0453,0.0222,spectral1,1.6
qwen3-4b,"layers.0.self_attn.o_proj (2560, 4096)",8x64,h1.5,11.161,13.4995,3.7327,4.3351,30.6201,36.6943,heade0,mse,0.5588,0.5603,0.0292,0.0034,0.9674,20.7617,4.2219,5.3113,5.3424,0.2033,0.2558,0.2573,0.0525,-0.0015,marginal,6.0
qwen3-4b,"layers.0.mlp.up_proj (9728, 2560)",8x64,h1.5,12.1872,12.9208,4.0819,4.347,33.4745,35.6106,heade0,mse,0.5618,0.5621,0.0085,0.0029,0.9886,21.0868,4.514,4.8473,4.6909,0.2141,0.2299,0.2225,0.0158,0.0074,marginal,15.1
qwen3-4b,"layers.0.mlp.down_proj (2560, 9728)",8x64,h1.5,10.0957,11.8118,3.342,3.8841,27.6583,32.4363,heade0,mse,0.5519,0.5544,0.0291,0.0025,0.9684,20.3155,3.5628,4.2781,4.0781,0.1754,0.2106,0.2007,0.0352,0.0098,spectral1,8.6
qwen3-4b,"layers.4.self_attn.q_proj (4096, 2560)",8x64,h1.5,11.5529,12.8206,3.7914,4.1756,31.6553,35.0293,heade0,mse,0.5575,0.5534,0.0079,0.0062,0.9859,20.7201,4.2802,4.7876,4.627,0.2066,0.2311,0.2233,0.0245,0.0078,marginal,8.5
qwen3-4b,"layers.4.self_attn.v_proj (1024, 2560)",8x64,h1.5,11.0535,13.3582,3.7619,4.5727,30.4102,36.8555,heade0,mse,0.5533,0.5602,0.0066,0.0046,0.9888,20.8506,4.0978,5.1095,5.0505,0.1965,0.2451,0.2422,0.0485,0.0028,spectral2,1.6
qwen3-4b,"layers.4.self_attn.o_proj (2560, 4096)",8x64,h1.5,13.1473,14.8013,4.3164,4.8308,36.04,40.6787,heade0,mse,0.568,0.5577,0.0089,0.0006,0.9905,21.3579,4.9595,5.7255,5.7843,0.2322,0.2681,0.2708,0.0359,-0.0028,random1,6.9
qwen3-4b,"layers.4.mlp.up_proj (9728, 2560)",8x64,h1.5,12.052,12.7414,4.0795,4.3129,32.9235,34.8458,heade0,mse,0.5584,0.5618,0.0098,0.0043,0.9859,20.9956,4.5472,4.8566,4.6875,0.2166,0.2313,0.2233,0.0147,0.0081,identity,20.3
qwen3-4b,"layers.4.mlp.down_proj (2560, 9728)",8x64,h1.5,8.4478,10.1267,2.9883,3.4837,23.1188,27.8084,heade0,mse,0.5382,0.5731,0.0462,0.0063,0.9475,19.7084,3.1861,3.87,3.1693,0.1617,0.1964,0.1608,0.0347,0.0356,marginal,8.3
