model,tensor,rotate_size,identity_norot_pct,identity_rotmin_pct,identity_allrot_pct,identity_rotated_share,spread_norot_pct,spread_rotmin_pct,spread_allrot_pct,spread_rotated_share,sorted_norot_pct,sorted_rotmin_pct,sorted_allrot_pct,sorted_rotated_share,random_norot_pct,random_rotmin_pct,random_allrot_pct,random_rotated_share
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",16,0.0,0.0,-11.3097,0.0,0.6836,0.6836,-11.6464,0.0,-10.7246,-10.7246,-10.7439,0.0,-0.2305,-0.2305,-11.5046,0.0
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",64,0.0,0.0,-10.7351,0.0,-10.061,-10.061,-10.5199,0.0,-10.7246,-10.7246,-10.387,0.0,0.1582,0.1582,-10.6159,0.0
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",128,0.0,0.0,-10.4658,0.0,-9.9212,-9.9212,-10.2475,0.0,-10.7246,-10.7246,-10.1514,0.0,-0.1528,-0.1528,-10.4561,0.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",16,0.0,0.0,1.2282,0.0,-0.1135,-0.1135,0.7241,0.0,1.9181,1.9181,1.686,0.0,-0.0351,-0.0351,1.1181,0.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",64,0.0,0.0,1.752,0.0,1.9043,1.9043,1.6826,0.0,1.9181,1.9181,1.5975,0.0,0.0332,0.0332,1.6221,0.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",128,0.0,0.0,1.7546,0.0,1.7773,1.7773,1.7943,0.0,1.9181,1.9181,1.6537,0.0,-0.005,-0.005,1.7728,0.0
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",16,0.0,0.0987,0.0652,0.0039,0.4366,0.4366,-0.1463,0.0,-0.0247,0.1101,-0.0332,0.0039,0.405,0.405,-0.1411,0.0
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",64,0.0,0.0,0.1163,0.0,0.1484,0.1484,0.0484,0.0,-0.0247,-0.0247,0.0655,0.0,0.4723,0.4723,-0.0334,0.0
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",128,0.0,0.0,-0.0172,0.0,0.1021,0.1021,-0.0178,0.0,-0.0247,-0.0247,0.0263,0.0,0.4493,0.4493,0.0445,0.0
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",16,0.0,0.0,-0.1808,0.0,0.0074,0.0074,-0.1875,0.0,-0.0391,-0.0391,-0.1517,0.0,0.0182,0.0182,-0.1674,0.0
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",64,0.0,0.0,-0.1258,0.0,-0.0694,-0.0694,-0.1312,0.0,-0.0391,-0.0391,-0.1301,0.0,-0.0117,-0.0117,-0.1487,0.0
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",128,0.0,0.0,-0.1459,0.0,-0.079,-0.079,-0.1428,0.0,-0.0391,-0.0391,-0.102,0.0,-0.0126,-0.0126,-0.1295,0.0
