model,tensor,rotate_size,identity_norot_pct,identity_rotmin_pct,identity_allrot_pct,identity_rotated_share,spread_norot_pct,spread_rotmin_pct,spread_allrot_pct,spread_rotated_share,sorted_norot_pct,sorted_rotmin_pct,sorted_allrot_pct,sorted_rotated_share,random_norot_pct,random_rotmin_pct,random_allrot_pct,random_rotated_share
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",16,0.0,0.0,-10.0468,0.0,0.638,0.638,-10.2846,0.0,-9.5684,-9.5684,-9.9909,0.0,-0.2255,-0.2255,-10.2624,0.0
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",64,0.0,0.0,-9.8821,0.0,-9.4986,-9.4986,-9.7127,0.0,-9.5684,-9.5684,-9.6811,0.0,0.1492,0.1492,-9.7706,0.0
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",128,0.0,0.0,-9.6935,0.0,-9.2229,-9.2229,-9.5101,0.0,-9.5684,-9.5684,-9.4124,0.0,-0.154,-0.154,-9.6867,0.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",16,0.0,0.0,1.8652,0.0,-0.1432,-0.1432,1.4229,0.0,2.3987,2.3987,2.2386,0.0,-0.0341,-0.0341,1.7562,0.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",64,0.0,0.0,2.2713,0.0,2.3357,2.3357,2.1614,0.0,2.3987,2.3987,2.1541,0.0,0.0248,0.0248,2.1381,0.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",128,0.0,0.0,2.2367,0.0,2.2777,2.2777,2.2725,0.0,2.3987,2.3987,2.1761,0.0,-0.018,-0.018,2.2877,0.0
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",16,0.0,0.1001,0.1802,0.0039,0.24,0.24,0.0099,0.0,-0.0201,0.1176,0.0485,0.0039,0.2183,0.2183,0.0177,0.0
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",64,0.0,0.1002,0.1912,0.0156,0.1181,0.1181,0.1447,0.0,-0.0201,-0.0201,0.151,0.0,0.272,0.272,0.0846,0.0
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",128,0.0,0.0,0.0655,0.0,0.0947,0.0947,0.0757,0.0,-0.0201,-0.0201,0.1042,0.0,0.2555,0.2555,0.1435,0.0
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",16,0.0,0.0,-0.0767,0.0,0.0048,0.0048,-0.0931,0.0,0.0072,0.0072,-0.0657,0.0,0.0231,0.0231,-0.0733,0.0
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",64,0.0,0.0,-0.0444,0.0,-0.0339,-0.0339,-0.0497,0.0,0.0072,0.0072,-0.0399,0.0,-0.0057,-0.0057,-0.0669,0.0
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",128,0.0,0.0,-0.0578,0.0,-0.0414,-0.0414,-0.0592,0.0,0.0072,0.0072,-0.0178,0.0,-0.0112,-0.0112,-0.0391,0.0
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",16,0.0,0.0,-0.0176,0.0,0.0095,0.0095,-0.016,0.0,-0.0375,-0.0375,-0.748,0.0,-0.005,-0.005,-0.0474,0.0
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",64,0.0,0.0,-0.0164,0.0,-0.0377,-0.0377,-0.0168,0.0,-0.0375,-0.0375,-0.0827,0.0,-0.0107,-0.0107,-0.0178,0.0
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",128,0.0,0.0,0.0074,0.0,-0.0098,-0.0098,-0.032,0.0,-0.0375,-0.0375,-0.0211,0.0,0.0347,0.0347,-0.0086,0.0
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",16,0.0,0.0,0.0271,0.0,0.0476,0.0476,-0.0269,0.0,-0.0584,-0.0584,-0.0134,0.0,0.0411,0.0411,0.0124,0.0
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",64,0.0,0.0,0.0053,0.0,0.0154,0.0154,0.0129,0.0,-0.0584,-0.0584,-0.0222,0.0,0.0179,0.0179,0.0479,0.0
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",128,0.0,0.0,-0.0319,0.0,0.0206,0.0206,0.0144,0.0,-0.0584,-0.0584,-0.038,0.0,0.0005,0.0005,-0.0726,0.0
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",16,0.0,0.0,-0.0199,0.0,-0.024,-0.024,0.0347,0.0,0.1092,0.1092,-0.0035,0.0,0.0054,0.0054,0.0242,0.0
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",64,0.0,0.0,0.0725,0.0,0.1343,0.1343,0.1398,0.0,0.1092,0.1092,0.1389,0.0,0.0877,0.0877,0.137,0.0
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",128,0.0,0.0,0.0592,0.0,0.2306,0.2306,0.125,0.0,0.1092,0.1092,0.1822,0.0,0.0727,0.0727,0.112,0.0
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",16,0.0,0.0,-0.3516,0.0,0.1889,0.1889,-0.0441,0.0,-0.0014,-0.0014,0.0446,0.0,0.223,0.223,-0.1133,0.0
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",64,0.0,0.0,-0.1745,0.0,0.0502,0.0502,0.0244,0.0,-0.0014,-0.0014,0.0825,0.0,0.19,0.19,0.0229,0.0
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",128,0.0,0.0,-0.3221,0.0,-0.0096,-0.0096,-0.0416,0.0,-0.0014,-0.0014,-0.0105,0.0,0.1851,0.1851,-0.0299,0.0
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",16,0.0,0.0,-0.0659,0.0,-0.0408,-0.0408,-0.0922,0.0,-0.0584,-0.0584,-0.0741,0.0,-0.0159,-0.0159,-0.1121,0.0
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",64,0.0,0.0,-0.0942,0.0,-0.0474,-0.0474,-0.1109,0.0,-0.0584,-0.0584,-0.0933,0.0,-0.0376,-0.0376,-0.0963,0.0
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",128,0.0,0.0,-0.0766,0.0,-0.0441,-0.0441,-0.0742,0.0,-0.0584,-0.0584,-0.1105,0.0,-0.0258,-0.0258,-0.0853,0.0
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",16,0.0,0.0,-0.0716,0.0,0.0078,0.0078,-0.1007,0.0,-0.1067,-0.1067,-0.1042,0.0,-0.0342,-0.0342,-0.0614,0.0
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",64,0.0,0.0,-0.0714,0.0,-0.0662,-0.0662,-0.0439,0.0,-0.1067,-0.1067,-0.0644,0.0,0.0051,0.0051,-0.0625,0.0
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",128,0.0,0.0,-0.0689,0.0,-0.0653,-0.0653,-0.0441,0.0,-0.1067,-0.1067,-0.0397,0.0,0.0231,0.0231,-0.0698,0.0
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",16,0.0,0.0,-0.2257,0.0,-0.068,-0.068,-0.1804,0.0,-0.0767,-0.0767,-0.1583,0.0,-0.0154,-0.0154,-0.2234,0.0
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",64,0.0,0.0,-0.1972,0.0,-0.0592,-0.0592,-0.1109,0.0,-0.0767,-0.0767,-0.1722,0.0,-0.0089,-0.0089,-0.1987,0.0
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",128,0.0,0.0,-0.1707,0.0,-0.0458,-0.0458,-0.1274,0.0,-0.0767,-0.0767,-0.2057,0.0,-0.0543,-0.0543,-0.1699,0.0
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",16,0.0,0.0,-0.0663,0.0,0.0686,0.0686,0.0258,0.0,0.0679,0.0679,0.0587,0.0,-0.0109,-0.0109,0.0963,0.0
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",64,0.0,0.0,0.0881,0.0,0.0865,0.0865,0.0862,0.0,0.0679,0.0679,0.0862,0.0,0.023,0.023,0.1026,0.0
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",128,0.0,0.0,0.0772,0.0,0.0539,0.0539,0.049,0.0,0.0679,0.0679,-0.0312,0.0,0.0346,0.0346,0.0916,0.0
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",16,0.0,0.0,-0.2741,0.0,0.2973,0.2973,-0.1002,0.0,0.0569,0.0569,-0.0473,0.0,0.2191,0.2191,-0.0944,0.0
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",64,0.0,0.0,-0.3776,0.0,0.1152,0.1152,-0.0973,0.0,0.0569,0.0569,-0.015,0.0,0.2924,0.2924,-0.0322,0.0
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",128,0.0,0.0,-0.6278,0.0,0.0626,0.0626,-0.0503,0.0,0.0569,0.0569,0.008,0.0,0.2303,0.2303,-0.0684,0.0
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",16,0.0,0.0,-0.0101,0.0,0.0016,0.0016,-0.0139,0.0,-0.0298,-0.0298,-0.006,0.0,0.0071,0.0071,-0.0274,0.0
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",64,0.0,0.0,-0.0088,0.0,-0.0228,-0.0228,0.0037,0.0,-0.0298,-0.0298,0.0072,0.0,-0.0252,-0.0252,-0.0278,0.0
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",128,0.0,0.0,0.014,0.0,-0.0192,-0.0192,-0.0097,0.0,-0.0298,-0.0298,-0.0022,0.0,0.0066,0.0066,-0.0055,0.0
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",16,0.0,0.0,-0.0527,0.0,0.0506,0.0506,-0.0495,0.0,0.0271,0.0271,-0.0436,0.0,0.0312,0.0312,-0.0514,0.0
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",64,0.0,0.0,-0.0499,0.0,0.0059,0.0059,-0.0172,0.0,0.0271,0.0271,-0.0168,0.0,0.0344,0.0344,-0.043,0.0
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",128,0.0,0.0,-0.047,0.0,0.0029,0.0029,-0.065,0.0,0.0271,0.0271,-0.0267,0.0,0.0354,0.0354,-0.0659,0.0
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",16,0.0,0.0,-0.1841,0.0,0.0263,0.0263,-0.2413,0.0,-0.058,-0.058,-0.2725,0.0,-0.0332,-0.0332,-0.2134,0.0
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",64,0.0,0.0,-0.1875,0.0,-0.0142,-0.0142,-0.186,0.0,-0.058,-0.058,-0.2467,0.0,-0.0694,-0.0694,-0.2514,0.0
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",128,0.0,0.0,-0.2238,0.0,0.0003,0.0003,-0.1631,0.0,-0.058,-0.058,-0.1733,0.0,0.0725,0.0725,-0.1672,0.0
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",16,0.0,0.0,-0.038,0.0,-0.1532,-0.1532,-0.0593,0.0,-0.1688,-0.1688,-0.0604,0.0,-0.0019,-0.0019,-0.064,0.0
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",64,0.0,0.0,-0.1713,0.0,-0.1435,-0.1435,-0.0437,0.0,-0.1688,-0.1688,-0.0092,0.0,-0.1096,-0.1096,-0.1447,0.0
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",128,0.0,0.0,-0.0337,0.0,-0.1046,-0.1046,-0.0058,0.0,-0.1688,-0.1688,-0.1243,0.0,0.0276,0.0276,-0.0593,0.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",16,0.0,0.0,0.0691,0.0,0.1812,0.1812,0.0276,0.0,0.0237,0.0237,0.063,0.0,0.0998,0.0998,0.0074,0.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",64,0.0,0.0,0.0802,0.0,0.0559,0.0559,0.0485,0.0,0.0237,0.0237,0.0846,0.0,0.1488,0.1488,0.0849,0.0
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",128,0.0,0.0,0.0641,0.0,0.0157,0.0157,-0.0049,0.0,0.0237,0.0237,0.0656,0.0,0.1168,0.1168,0.0093,0.0
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",16,0.0,0.0,-0.0427,0.0,-0.0027,-0.0027,-0.0087,0.0,-0.0009,-0.0009,-0.0288,0.0,-0.024,-0.024,-0.027,0.0
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",64,0.0,0.0,-0.016,0.0,0.0023,0.0023,-0.0481,0.0,-0.0009,-0.0009,-0.0247,0.0,-0.016,-0.016,-0.0363,0.0
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",128,0.0,0.0,-0.0319,0.0,-0.0148,-0.0148,0.0026,0.0,-0.0009,-0.0009,-0.0372,0.0,0.0193,0.0193,-0.0167,0.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",16,0.0,0.0,0.0213,0.0,0.0225,0.0225,0.0453,0.0,-0.0207,-0.0207,0.0204,0.0,0.0349,0.0349,0.0063,0.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",64,0.0,0.0,0.0481,0.0,0.0263,0.0263,0.015,0.0,-0.0207,-0.0207,0.0343,0.0,-0.0126,-0.0126,0.0205,0.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",128,0.0,0.0,0.0391,0.0,0.0192,0.0192,0.0366,0.0,-0.0207,-0.0207,0.0379,0.0,0.0305,0.0305,0.035,0.0
