model,group,policy,e0m3_tiles,wiki,delta_wiki,c4,delta_c4,source
qwen27b,References,FourOverSix,0,7.287076473236084,0.0,10.18836498260498,0.0,results/kse_paper/job_336969/qwen27b/report.json
qwen27b,References,"Published MixFP4 k=3, 8×64",3785,7.214749813079834,-0.07232666015625,10.149866104125977,-0.038498878479003906,results/kse_paper/job_336969/qwen27b/report.json
qwen27b,References,Raw 256×64 — user supplied,198,7.275704,-0.011373,10.177685,-0.01068,results/task_reorder/cluster_20260919/raw256_reference.json
qwen27b,References,Raw 256×64 — regenerated locally,195,7.266300201416016,-0.02077627182006836,10.176030158996582,-0.012334823608398438,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_raw256_v2/report.json
qwen27b,References,Full 8×64 — regenerated locally,3787,7.212708950042725,-0.07436752319335938,10.150962829589844,-0.03740215301513672,/work/u4320956/task_reorder/pilot_20260919/qwen27b/fine_rows_v2/full_controls/evaluation/report.json
qwen27b,Final MLP; FourOverSix background,Identity 256×64,1,7.286879539489746,-0.00019693374633789062,10.18822193145752,-0.0001430511474609375,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_v2/report.json
qwen27b,Final MLP; FourOverSix background,Identity 8×64 control,20,7.287012577056885,-6.389617919921875e-05,10.187983512878418,-0.0003814697265625,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_v2/report.json
qwen27b,Final MLP; FourOverSix background,Row-only reorder,15,7.280037879943848,-0.007038593292236328,10.180130958557129,-0.008234024047851562,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_v2/report.json
qwen27b,Final MLP; FourOverSix background,Column-only reorder,1,7.286977767944336,-9.870529174804688e-05,10.188265800476074,-9.918212890625e-05,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_v2/report.json
qwen27b,Final MLP; FourOverSix background,Both-axis reorder,20,7.2752909660339355,-0.011785507202148438,10.178476333618164,-0.009888648986816406,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_v2/report.json
qwen27b,Final MLP; raw256 background,Matched identity 256×64,193,7.266997814178467,-0.020078659057617188,10.176430702209473,-0.011934280395507812,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_raw256_v2/report.json
qwen27b,Final MLP; raw256 background,Identity 8×64 control,192 coarse + 20 fine,7.266976833343506,-0.020099639892578125,10.175884246826172,-0.012480735778808594,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_raw256_v2/report.json
qwen27b,Final MLP; raw256 background,Row-only reorder,207,7.259481430053711,-0.027595043182373047,10.169098854064941,-0.019266128540039062,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_raw256_v2/report.json
qwen27b,Final MLP; raw256 background,Column-only reorder,193,7.267141342163086,-0.019935131072998047,10.176551818847656,-0.011813163757324219,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_raw256_v2/report.json
qwen27b,Final MLP; raw256 background,Both-axis reorder,212,7.255833625793457,-0.031242847442626953,10.167336463928223,-0.021028518676757812,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_raw256_v2/report.json
qwen27b,Final MLP; raw256 background,Shared MLP permutation — pooled,194,7.267261028289795,-0.019815444946289062,10.17658805847168,-0.011776924133300781,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_shared/report.json
qwen27b,Final MLP; raw256 background,Shared MLP permutation — domain robust,193,7.266997814178467,-0.020078659057617188,10.176430702209473,-0.011934280395507812,/work/u4320956/task_reorder/pilot_20260919/qwen27b/evaluation_shared/report.json
qwen27b,Final MLP; raw256 background,Finite refinement: baseline fallback,192,7.267114639282227,-0.019961833953857422,10.176597595214844,-0.011767387390136719,/work/u4320956/task_reorder/pilot_20260919/qwen27b/map_refine/evaluation/report.json
