run,policy,seed,fit_sequences,tiles,gradient_prediction_nll,actual_fit_delta_nll,validation_delta_nll,validation_se,validation_accepts,forecast_relative_ppl_percent,wikitext_relative_ppl_percent,wikitext_delta_ppl,c4_delta_ppl
qwen3-4b/seed20260906/fit16,gradient_trust_0p1,20260906,16,50,-0.09949926368426532,-0.06746562570333481,-0.08577665686607361,0.005869593727188612,True,-8.22008075210826,-7.815434211647468,-1.0860347457843957,-0.528772571487405
llama-3.1-8b-local/seed20260906/fit16,gradient_trust_0p1,20260906,16,6387,-0.09999843328023417,-0.03774802386760712,-0.014756210148334503,0.002998818191033093,True,-1.4647870826607345,-1.14846683936078,-0.0792115771156423,-0.013337389942874367
qwen3-8b/seed20260906/fit16,gradient_trust_0p1,20260906,16,291,-0.09993921493878588,-0.07367876917123795,-0.07175396382808685,0.003981480143510156,True,-6.924013176274743,-7.3099773001692885,-0.7335693323256898,-0.4126464071468412
llama-3.2-1b-ins-local/seed20260906/fit16,gradient_trust_0p1,20260906,16,501,-0.09999024658463895,-0.06072685122489929,-0.06123071908950806,0.004640595590102138,True,-5.939380106656384,-5.323738682644015,-0.8205633009879758,-0.975813083411591
qwen3-14b/seed20260906/fit16,gradient_trust_0p1,20260906,16,462,-0.0998851308831945,-0.06800282746553421,-0.08209658414125443,0.0053974887042736956,True,-7.881701726774111,-6.861721477188958,-0.6113996863292162,-0.35287778426321204
llama-3.1-8b-ins-local/seed20260906/fit16,gradient_trust_0p1,20260906,16,2543,-0.09999162714848353,-0.028568394482135773,-0.027831032872200012,0.0036036090017776135,True,-2.744731764773616,-2.5877698346472764,-0.20305112604437614,-0.04223818528448753
qwen3-4b/seed20260907/fit16,gradient_trust_0p1,20260907,16,31,-0.09833257948048413,-0.07669111341238022,-0.0678851306438446,0.0062506666881656115,True,-6.56322023597002,-6.275673369722582,-0.8720691836360412,-0.393141853971823
llama-3.1-8b-local/seed20260907/fit16,gradient_trust_0p1,20260907,16,8548,-0.09999554197975158,-0.013975568115711212,0.00935644656419754,0.003907160236798612,False,0.9400354945652615,0.9369784520275753,0.06462488803750599,0.04640077025441336
llama-3.1-8b/seed20260906/fit64,gradient_trust_0p1,20260906,64,7997,-0.0999955061329274,-0.004188723862171173,-0.000118255615234375,0.003076286338008494,False,-0.011824862331472173,0.5467299441751532,0.03770883028591854,0.03382561245198268
llama-3.1-8b/seed20260907/fit64,gradient_trust_0p1,20260907,64,9504,-0.09999553369516434,0.040527788922190666,0.05098993331193924,0.005891258916855362,False,5.231229993021811,4.79793100269042,0.330920901318037,0.158275265220988
llama-3.1-8b/seed20260906/fit64/backtracked,gradient_trust_backtracking,20260906,64,2163,-0.04999028141992312,-0.018870553001761436,-0.016838006675243378,0.0035365414679100144,True,-1.6697039750458005,-1.350881797780592,-0.09317245742904756,-0.03269965621179871
llama-3.1-8b/seed20260907/fit64/backtracked,gradient_trust_backtracking,20260907,64,647,-0.024983327730296878,-0.01143653690814972,-0.007759034633636475,0.0022057125164595985,True,-0.7729011025999657,-1.066428481943468,-0.07355326165342202,-0.029224175042598333
qwen3-4b/seed20260908/fit64/backtracked,gradient_trust_backtracking,20260908,64,36,-0.09875543811358511,-0.07292746752500534,-0.06679769605398178,0.0075015797806923514,True,-6.461558584509117,-6.787565801139977,-0.943201887407616,-0.4417059186160621
llama-3.1-8b-local/seed20260908/fit64/backtracked,gradient_trust_backtracking,20260908,64,2334,-0.04999707260685682,-0.012885984033346176,-0.010670013725757599,0.002846240378762016,True,-1.0613291052461016,-0.8539496972570506,-0.058898263301014886,0.004492554757986156
