model,dataset,policy,ppl,delta_ppl,delta_nll,se_delta_nll,windows,selected_tiles
qwen3-4b,wikitext,baseline,13.896025689345095,0.0,0.0,0.0,146,
qwen3-4b,wikitext,gradient_trust_0p1,12.809990943560699,-1.0860347457843957,-0.08137746869701229,0.0021878346661833976,146,50
qwen3-4b,wikitext,matched_random,13.889856374275167,-0.00616931506992735,-0.00044406113559252597,0.0014900068191386687,146,
qwen3-4b,wikitext,hess_h1.5,14.473958718755341,0.5779330294102465,0.04074820671996025,0.0025848342591521492,146,
qwen3-4b,wikitext,hess_impg16_h10,13.77188379512926,-0.12414189421583544,-0.008973769945641086,0.0016439789700699176,146,
qwen3-4b,c4,baseline,14.437036838871943,0.0,0.0,0.0,64,
qwen3-4b,c4,gradient_trust_0p1,13.908264267384538,-0.528772571487405,-0.03731369227170944,0.002297862124014071,64,50
qwen3-4b,c4,matched_random,14.420540769618903,-0.0164960692530407,-0.0011432748287916183,0.0014472741407932181,64,
qwen3-4b,c4,hess_h1.5,14.4740321620021,0.03699532313015652,0.0025592511519789696,0.0022950754516199885,64,
qwen3-4b,c4,hess_impg16_h10,14.341378230579275,-0.09565860829266803,-0.006647965870797634,0.0016391813106659376,64,
llama-3.1-8b-local,wikitext,baseline,6.897158402913144,0.0,0.0,0.0,141,
llama-3.1-8b-local,wikitext,gradient_trust_0p1,6.8179468257975016,-0.0792115771156423,-0.011551126520684424,0.0009256843044172028,141,6387
llama-3.1-8b-local,wikitext,matched_random,6.90159752971427,0.004439126801126569,0.0006434097357675539,0.0007331906435363376,141,
llama-3.1-8b-local,wikitext,hess_h1.5,6.859344667864376,-0.037813735048767505,-0.005497593406244373,0.0011058039942782613,141,
llama-3.1-8b-local,wikitext,hess_impg16_h10,6.90102431760635,0.003865914693205852,0.0005603512973650128,0.0007580423109893264,141,
llama-3.1-8b-local,c4,baseline,8.470604775088,0.0,0.0,0.0,64,
