model,seed,candidate_a,candidate_b,domain,delta_nll,se,relative_ppl_percent
Qwen/Qwen3.8-27B,20260912,c4,wiki,wikitext,0.034766861772912695,0.004521564579006375,3.5378294399333163
Qwen/Qwen3.8-27B,20260912,c4,wiki,c4,-0.0051701865158975124,0.00045947670397793666,-0.5156844105746243
Qwen/Qwen3.8-27B,20260912,c4,wiki,math,0.0050616334192454815,0.0021031529117942504,0.5074465126345028
Qwen/Qwen3.8-27B,20260912,c4,wiki,code,-0.007003098260611296,0.002857316345524544,-0.6978633710516364
Qwen/Qwen3.8-27B,20260912,mixed,wiki,wikitext,-0.01133420429830476,0.0011588621177920134,-1.1270214191919288
Qwen/Qwen3.8-27B,20260912,mixed,wiki,c4,-0.0005244612693786621,0.0004132708389909665,-0.05243237636069907
Qwen/Qwen3.8-27B,20260912,mixed,wiki,math,-0.006139905191957951,0.00227262930126486,-0.6121094492402221
Qwen/Qwen3.8-27B,20260912,mixed,wiki,code,-0.005478510167449713,0.002803559034821196,-0.5463530498529466
Qwen/Qwen3.8-27B,20260912,consensus,mixed,wikitext,0.0369897489472637,0.004569061371172449,3.7682383446798697
Qwen/Qwen3.8-27B,20260912,consensus,mixed,c4,-0.001795989228412509,0.0004107172293160878,-0.179437740484188
Qwen/Qwen3.8-27B,20260912,consensus,mixed,math,0.0068333689123392105,0.002484474333302417,0.6856769649274893
Qwen/Qwen3.8-27B,20260912,consensus,mixed,code,0.0010845582000911236,0.003262939031182043,0.10851465460150564
Qwen/Qwen3.8-27B,20260913,c4,wiki,wikitext,0.04450247606893224,0.004878096101965826,4.550756545605184
Qwen/Qwen3.8-27B,20260913,c4,wiki,c4,-0.0058370407205075026,0.0004581335363517602,-0.5820038295688211
Qwen/Qwen3.8-27B,20260913,c4,wiki,math,0.0037481896579265594,0.0031176648979573144,0.37552229053521446
Qwen/Qwen3.8-27B,20260913,c4,wiki,code,0.0015351555775851011,0.003218051901050495,0.15363345321244884
Qwen/Qwen3.8-27B,20260913,mixed,wiki,wikitext,-0.0013068745455403967,0.0007142658145508457,-0.13060209568864267
Qwen/Qwen3.8-27B,20260913,mixed,wiki,c4,-0.0005862086545675993,0.0004118845367316271,-0.05860368678435155
Qwen/Qwen3.8-27B,20260913,mixed,wiki,math,0.0009466470219194889,0.0023955218623545197,0.09470952336331467
Qwen/Qwen3.8-27B,20260913,mixed,wiki,code,0.002670598914846778,0.002928387562071867,0.26741681407451334
Qwen/Qwen3.8-27B,20260913,consensus,mixed,wikitext,0.028351030950471173,0.0036820979139557506,2.875674650426342
Qwen/Qwen3.8-27B,20260913,consensus,mixed,c4,-0.003498934442177415,0.00043933425957234516,-0.34928203041302397
Qwen/Qwen3.8-27B,20260913,consensus,mixed,math,-0.0059930793941020966,0.002420169945667808,-0.5975156715675888
Qwen/Qwen3.8-27B,20260913,consensus,mixed,code,0.003982573514804244,0.0030758612477693363,0.3990514499056272
qwen3-4b,20260918,c4,wiki,wikitext,-0.06434162426739931,0.0018059580789324668,-6.231539101034416
qwen3-4b,20260918,c4,wiki,c4,-0.0402826692443341,0.0010439317069407034,-3.9482108091570955
qwen3-4b,20260918,c4,wiki,math,-0.029201305005699396,0.008127694929770685,-2.877906684893451
qwen3-4b,20260918,c4,wiki,code,-0.03508541686460376,0.007792066294929553,-3.4477059207086707
qwen3-4b,20260918,mixed,wiki,wikitext,-0.030971684493124485,0.001288424928655725,-3.0496975343068096
qwen3-4b,20260918,mixed,wiki,c4,-0.015841443557292223,0.0007341791099182603,-1.5716627846469524
qwen3-4b,20260918,mixed,wiki,math,-0.00394938699901104,0.007510029496842773,-0.3941598426912509
qwen3-4b,20260918,mixed,wiki,code,-0.0039433082565665245,0.007226755872322723,-0.39355436260268817
qwen3-4b,20260918,consensus,mixed,wikitext,-0.041950308717787266,0.0016077331093141032,-4.108257077479224
qwen3-4b,20260918,consensus,mixed,c4,-0.025116456439718604,0.0007672678856335848,-2.4803662478274715
qwen3-4b,20260918,consensus,mixed,math,-0.020390328019857407,0.008516034307633293,-2.0183851040621197
qwen3-4b,20260918,consensus,mixed,code,-0.012881551869213581,0.007061302042967554,-1.2798939784341623
llama-3.1-8b-local,20260918,c4,wiki,wikitext,0.008295013652584417,0.0010356877926798048,0.8329512602110425
llama-3.1-8b-local,20260918,c4,wiki,c4,-0.0011936092050746083,0.0006236836771779618,-0.11928971369459244
llama-3.1-8b-local,20260918,c4,wiki,math,0.005593364126980305,0.0031649089343795704,0.5609036194343743
llama-3.1-8b-local,20260918,c4,wiki,code,-0.016085692681372166,0.006026192459391986,-1.595700884034583
