model,seed,rule,domain,tiles,accepted,n,baseline_ppl,candidate_ppl,delta_nll,se,relative_ppl_percent,lower_percent,upper_percent,delta_ppl,lower_ppl,upper_ppl,worthwhile_gain_0p01_ppl,supported_gain_0p01_ppl,export_delta_ppl,export_relative_ppl_percent,supported_improvement,supported_harm
Qwen3.8-27B,20260912,wiki,wikitext,226,True,127,7.689033260261394,7.320646285600235,-0.049096447276318164,0.005081191546736949,-4.791070114952735,-5.7537200409838025,-3.8185874944058673,-0.368386974661159,-0.4424054476535701,-0.2936124625170493,True,True,-0.368386974661159,-4.791070114952735,True,False
Qwen3.8-27B,20260912,wiki,c4,226,True,256,10.225732077840728,10.228515503027651,0.00027216109447181225,0.00041905937037514304,0.027219813366261697,-0.05657975224589746,0.11108964240526153,0.002783425186922983,-0.005785693874971547,0.011359729198593384,False,False,0.002783425186922983,0.027219813366261697,False,False
Qwen3.8-27B,20260912,wiki,math,226,True,128,2.928102897285307,2.8791872944550403,-0.016846673097461462,0.0027160172361295077,-1.670556143215352,-2.203236991700516,-1.1349738808427081,-0.048915602830266636,-0.06451304618804445,-0.03323320308838682,True,True,-0.048915602830266636,-1.670556143215352,True,False
Qwen3.8-27B,20260912,wiki,code,226,True,128,4.2669478476732925,4.25039518363673,-0.0038868188858032227,0.0031401281953663883,-0.3879274982371452,-1.011556528316073,0.2396304062994199,-0.016552664036562525,-0.04316258951298136,0.010224904463963864,True,False,-0.016552664036562525,-0.3879274982371452,False,False
Qwen3.8-27B,20260912,c4,wikitext,905,True,127,7.689033260261394,7.579638265085585,-0.014329585503405474,0.002547919522501645,-1.4227405640340642,-1.9237966766987147,-0.9191246333959242,-0.1093949951758093,-0.14792136633116754,-0.07067179876506821,True,True,-0.1093949951758093,-1.4227405640340642,True,False
Qwen3.8-27B,20260912,c4,c4,905,True,256,10.225732077840728,10.175768643145329,-0.0048980254214257,0.0004393717344882225,-0.48860496554247995,-0.5760115444130395,-0.4011215449544584,-0.049963434695399656,-0.058901397269109965,-0.041017614493538364,True,True,-0.049963434695399656,-0.48860496554247995,True,False
Qwen3.8-27B,20260912,c4,math,905,True,128,2.928102897285307,2.893797629972968,-0.01178503967821598,0.0025122263674652234,-1.171586809471197,-1.6669001192381245,-0.6737785587827511,-0.03430526731233874,-0.04880855068626376,-0.01972892950100492,True,True,-0.03430526731233874,-1.171586809471197,True,False
Qwen3.8-27B,20260912,c4,code,905,True,128,4.2669478476732925,4.220733232525186,-0.010889917146414518,0.002822570339488241,-1.0830836653723477,-1.639910412224468,-0.5231046641118656,-0.04621461514810665,-0.06997412203818217,-0.022320603206399857,True,True,-0.04621461514810665,-1.0830836653723477,True,False
Qwen3.8-27B,20260912,mixed,wikitext,728,True,127,7.689033260261394,7.238141033938241,-0.06043065157462293,0.005851982756221926,-5.864095147740643,-6.959436111636349,-4.7558590359970845,-0.45089222632315273,-0.5351133573503613,-0.36567958308896276,True,True,-0.45089222632315273,-5.864095147740643,True,False
Qwen3.8-27B,20260912,mixed,c4,728,True,256,10.225732077840728,10.223152449282992,-0.00025230017490684986,0.0004245786612018441,-0.025226834989426253,-0.11008511156563205,0.05970353021666304,-0.002579628557736413,-0.01125700856629359,0.006105123040968644,False,False,-0.002579628557736413,-0.025226834989426253,False,False
Qwen3.8-27B,20260912,mixed,math,728,True,128,2.928102897285307,2.8615635169643574,-0.022986578289419413,0.0031179414906367772,-2.27243996044809,-2.8799614039011896,-1.6611182476624144,-0.06653938032094953,-0.08432823330832934,-0.04863925153713808,True,True,-0.06653938032094953,-2.27243996044809,True,False
Qwen3.8-27B,20260912,mixed,code,728,True,128,4.2669478476732925,4.227173019920128,-0.009365329053252935,0.0031879929529040397,-0.9321610943722549,-1.5618067997906109,-0.2984879510107272,-0.03977482775316421,-0.0666414816284806,-0.012736325201216337,True,True,-0.03977482775316421,-0.9321610943722549,True,False
Qwen3.8-27B,20260912,consensus,wikitext,1227,True,127,7.689033260261394,7.510891439821112,-0.023440902627359227,0.0022562417090758683,-2.316829884986448,-2.7566305275228693,-1.8750401648787263,-0.17814182044028204,-0.21195823812375256,-0.14417246192078534,True,True,-0.17814182044028204,-2.316829884986448,True,False
Qwen3.8-27B,20260912,consensus,c4,1227,True,256,10.225732077840728,10.204808255521744,-0.002048289403319359,0.00043556296355285964,-0.20461930901091357,-0.2915157981486966,-0.11764708910774063,-0.020923822318984264,-0.029809624483264695,-0.0120302761295361,True,True,-0.020923822318984264,-0.20461930901091357,True,False
Qwen3.8-27B,20260912,consensus,math,1227,True,128,2.928102897285307,2.881184598836951,-0.016153209377080202,0.00301292234991172,-1.6023445928712003,-2.1934907170634697,-1.0076255598540533,-0.046918298448356044,-0.0642276652380197,-0.02950431321187383,True,True,-0.046918298448356044,-1.6023445928712003,True,False
Qwen3.8-27B,20260912,consensus,code,1227,True,128,4.2669478476732925,4.231760122122102,-0.008280770853161812,0.0033294507874906238,-0.824657971162637,-1.4828629192961715,-0.1620554758958298,-0.03518772555119032,-0.06327298741885334,-0.006914822640773821,True,False,-0.03518772555119032,-0.824657971162637,True,False
Qwen3.8-27B,20260913,wiki,wikitext,327,True,127,7.689033260261394,7.280248684259673,-0.0546300401837807,0.005527987831340721,-5.316462579429964,-6.357515930180446,-4.263835506667785,-0.4087845760017208,-0.488831514397991,-0.32784773027052094,True,True,-0.4087845760017208,-5.316462579429964,True,False
Qwen3.8-27B,20260913,wiki,c4,327,True,256,10.225732077840728,10.232101991908477,0.0006227359408512712,0.00043285562859321096,0.06229298811330572,-0.024294580022358726,0.1489555485375882,0.006369914067748894,-0.0024842986625230215,0.01523179530853177,False,False,0.006369914067748894,0.06229298811330572,False,False
Qwen3.8-27B,20260913,wiki,math,327,True,128,2.928102897285307,2.8973498938815627,-0.01055824849754572,0.0026611659993984777,-1.0502705841470137,-1.5755148931010283,-0.5222232980294513,-0.030753003403744206,-0.04613269723205272,-0.015291235519899247,True,True,-0.030753003403744206,-1.0502705841470137,True,False
Qwen3.8-27B,20260913,wiki,code,327,True,128,4.2669478476732925,4.225229237005184,-0.00982526526786387,0.00353110037006451,-0.9777155043237059,-1.6745672056091958,-0.27592507782965336,-0.04171861066810845,-0.07145290933758437,-0.011773579169643252,True,True,-0.04171861066810845,-0.9777155043237059,True,False
Qwen3.8-27B,20260913,c4,wikitext,864,True,127,7.689033260261394,7.611555077794956,-0.01012756411484846,0.0027503602346241117,-1.0076453026528394,-1.5506796650621213,-0.4616156293795106,-0.07747818246643767,-0.11923227520673649,-0.03549377927755554,True,True,-0.07747818246643767,-1.0076453026528394,True,False
