seed,module,tile,domain,predicted,predicted_se,measured,measured_se,stable_wrong_sign
20260912,model.language_model.layers.63.mlp.down_proj,1951,wiki,-0.00010990313603542745,5.491894626175053e-06,-0.0001733154058456421,7.10787591316002e-05,False
20260912,model.language_model.layers.50.linear_attn.in_proj_a,302,wiki,8.310289558721706e-05,2.0694744307547808e-05,-0.002382993698120117,0.0023198034645314012,False
20260912,model.language_model.layers.46.linear_attn.in_proj_qkv,69582,wiki,0.00018034210370387882,5.462337503558956e-05,-0.003680005669593811,0.0032419452877341,False
20260912,model.language_model.layers.42.linear_attn.in_proj_a,462,wiki,0.00010757548443507403,2.4955592380138114e-05,-0.0025326013565063477,0.0016901182992905617,False
20260912,model.language_model.layers.34.linear_attn.in_proj_z,45262,wiki,-0.0018661872018128633,0.0005942720454186201,-0.0027683526277542114,0.0020423677314628645,False
20260912,model.language_model.layers.32.linear_attn.in_proj_qkv,79902,wiki,6.214420136529952e-05,2.260563451272901e-05,-0.0009035617113113403,0.0024718202607639053,False
20260912,model.language_model.layers.30.linear_attn.in_proj_b,462,wiki,-0.0019268798641860485,0.00035316101275384426,0.000588834285736084,0.002565470544134881,False
20260912,model.language_model.layers.28.mlp.up_proj,37742,wiki,-0.0006605731323361397,8.95427874638699e-05,0.0009526461362838745,0.00229224441900007,False
20260912,model.language_model.layers.28.linear_attn.in_proj_z,59902,wiki,-0.0005504750297404826,7.962960080476478e-05,-0.0028201639652252197,0.0034087949351223794,False
20260912,model.language_model.layers.23.self_attn.v_proj,10142,wiki,-0.0003881674201693386,5.3744563047075644e-05,-0.0096358060836792,0.006170210934499794,False
20260912,model.language_model.layers.16.linear_attn.in_proj_a,222,wiki,0.00019160518422722816,8.383857493754476e-05,0.0027542561292648315,0.007011424665024668,False
20260912,model.language_model.layers.11.self_attn.v_proj,3742,wiki,-0.0006762660341337323,0.0001283594756387174,-0.005902290344238281,0.006195535517676607,False
20260912,model.language_model.layers.3.self_attn.q_proj,40942,wiki,-0.0017625397304072976,0.0003279988595750183,-0.009246811270713806,0.0055874984221287,False
20260912,model.language_model.layers.3.self_attn.q_proj,51182,wiki,-0.003679839428514242,0.0007193753845058382,-0.003265202045440674,0.004634587606925414,False
20260912,model.language_model.layers.1.linear_attn.in_proj_qkv,58382,wiki,-0.00010287747136317194,0.00016192930343095213,-0.0062986016273498535,0.0048222608551781185,False
20260912,model.language_model.layers.63.mlp.down_proj,1951,c4,-6.459357973653823e-05,5.261059932073678e-06,4.716217517852783e-05,6.193819480621107e-05,False
20260912,model.language_model.layers.50.linear_attn.in_proj_a,302,c4,-6.453643072745763e-05,4.413983563462387e-05,0.0011392682790756226,0.0014862353434757943,False
20260912,model.language_model.layers.46.linear_attn.in_proj_qkv,69582,c4,-3.137934345431859e-05,5.9671295521528925e-06,0.0008527785539627075,0.0014722980427077433,False
20260912,model.language_model.layers.42.linear_attn.in_proj_a,462,c4,-3.6163273762213066e-05,1.33750959512655e-05,0.0010292977094650269,0.0020443404544646525,False
20260912,model.language_model.layers.34.linear_attn.in_proj_z,45262,c4,1.581199143174672e-06,1.4395787541545926e-06,0.0006665140390396118,0.0010758225020257594,False
20260912,model.language_model.layers.32.linear_attn.in_proj_qkv,79902,c4,-5.59700984013034e-05,1.1997737784720474e-05,0.0013233423233032227,0.0013522769129170882,False
20260912,model.language_model.layers.30.linear_attn.in_proj_b,462,c4,1.08574807882178e-05,8.841492000367663e-06,0.0012347549200057983,0.0017074722913528627,False
20260912,model.language_model.layers.28.mlp.up_proj,37742,c4,1.5013686720521946e-06,6.303154957019029e-07,-0.0002494603395462036,0.0020902915103703577,False
20260912,model.language_model.layers.28.linear_attn.in_proj_z,59902,c4,7.7809577305743e-06,2.3829874595026398e-06,0.0006022006273269653,0.0019188714979029686,False
20260912,model.language_model.layers.23.self_attn.v_proj,10142,c4,1.1287020470263087e-05,4.722159031078594e-06,0.0013304203748703003,0.0033509164188017452,False
20260912,model.language_model.layers.16.linear_attn.in_proj_a,222,c4,-6.41325896140188e-05,1.800425839209653e-05,0.001950293779373169,0.001917516012704063,False
20260912,model.language_model.layers.11.self_attn.v_proj,3742,c4,1.7740340808813926e-05,7.360208383560237e-06,0.003759428858757019,0.0019899457094376158,False
20260912,model.language_model.layers.3.self_attn.q_proj,40942,c4,6.485184940174804e-06,5.566801361173603e-06,0.002450034022331238,0.0035271824141580883,False
20260912,model.language_model.layers.3.self_attn.q_proj,51182,c4,-8.95093899089261e-06,4.109679037614884e-06,0.0029729902744293213,0.002273603736578612,False
20260912,model.language_model.layers.1.linear_attn.in_proj_qkv,58382,c4,-8.069266186794266e-05,2.824902894221982e-05,0.0016857534646987915,0.00205395225408265,False
20260913,model.language_model.layers.63.mlp.down_proj,1951,wiki,-0.00011739577894331887,5.42937459613313e-06,-8.715689182281494e-05,7.444594034490127e-05,False
20260913,model.language_model.layers.50.linear_attn.in_proj_a,302,wiki,7.173940684879199e-05,1.7279167877859436e-05,-0.0007779449224472046,0.0019112472171694491,False
20260913,model.language_model.layers.46.linear_attn.in_proj_z,35902,wiki,1.6236966985161416e-05,6.893778390804073e-06,0.0022031068801879883,0.002933722129160419,False
20260913,model.language_model.layers.46.linear_attn.in_proj_qkv,69582,wiki,6.907626811880618e-05,1.7453166947234422e-05,-0.0008068084716796875,0.0022663561247750303,False
20260913,model.language_model.layers.32.linear_attn.in_proj_qkv,79902,wiki,4.443336365511641e-05,1.0318726708646864e-05,0.0019959360361099243,0.003995189187604673,False
20260913,model.language_model.layers.30.linear_attn.in_proj_b,462,wiki,-0.001517488737590611,0.00020425034745130688,0.0035019218921661377,0.004013555338785774,False
