model,seed,dataset,decision,tiles,baseline_ppl,candidate_ppl,delta_ppl,delta_nll,se
Qwen/Qwen3.8-27B,20260912,wikitext,accepted,226,7.289579973960118,6.9734198938949445,-0.31616008006517315,-0.044340164085914346,0.003813228615321293
Qwen/Qwen3.8-27B,20260912,c4,accepted,226,9.117679424798329,9.118835012943162,0.0011555881448330751,0.0001267334446310997,0.0009541350708850939
Qwen/Qwen3.8-27B,20260913,wikitext,accepted,327,7.289579973960118,6.935030306691499,-0.3545496672686186,-0.04986050375576677,0.004174301254917094
Qwen/Qwen3.8-27B,20260913,c4,accepted,327,9.117679424798329,9.111269415742402,-0.00641000905592648,-0.0007032779976725578,0.0008581593071715576
qwen3-4b,20260912,wikitext,accepted,31,14.212162885731386,13.172388885268395,-1.039774000462991,-0.07597525152441574,0.0023999410509143175
qwen3-4b,20260912,c4,accepted,31,14.532456823928111,14.082534079168008,-0.4499227447601033,-0.03144923783838749,0.0022747985353588893
llama-3.1-8b-local,20260912,wikitext,accepted,1973,6.881153141272018,6.7819463197316425,-0.09920682154037586,-0.01452211708041793,0.0010635211099424783
llama-3.1-8b-local,20260912,c4,accepted,1973,8.413323859370543,8.407306298966288,-0.006017560404254496,-0.0007154976483434439,0.0016726305707906793
qwen3-8b,20260912,wikitext,accepted,288,10.030983471163376,9.328108641619124,-0.7028748295442515,-0.07264637375531131,0.0014885282401002065
qwen3-8b,20260912,c4,accepted,288,11.54865311675814,11.116696166441713,-0.4319569503164278,-0.038120679557323456,0.0016965826096466473
llama-3.1-8b-ins-local,20260912,wikitext,accepted,2805,7.817655518528745,7.565415764225946,-0.2522397543027983,-0.03279739914210976,0.0012190787972791047
llama-3.1-8b-ins-local,20260912,c4,accepted,2805,9.62647936846769,9.547941198203631,-0.07853817026405885,-0.008192019071429968,0.0018081430804043007
